"STAR Table Name: KIDPAN_DATA
Variable Names in red font denote that field has important information in the Comment field

The data files created based on data as of 4/5/2024 will include data for registrations added and/or transplants occurring through 03/31/2024"	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8
END_STAT_KI	KIDNEY STATUS AT TIME OF TRANSPLANT	WAITING LIST DATA	1990-10-01 00:00:00		WAITING LIST DATA	NUM	STAT	
END_STAT_PA	PANCREAS STATUS AT TIME OF TRANSPLANT	WAITING LIST DATA	1990-10-01 00:00:00		WAITING LIST DATA	NUM	STAT	
ENTERIC_DRAIN	RECIPIENT CONVERSION FROM BLADDER TO ENTERIC DRAINAGE @ PA-FOLLOW-UP	TRF	1994-04-01 00:00:00		CLINICAL INFORMATION	CHAR(1)		
ENTERIC_DRAIN_DT	RECIPIENT CONVERSION TO ENTERIC DRAINAGE DATE @PA-FOLLOW-UP	TRF	1994-04-01 00:00:00		CLINICAL INFORMATION	NUM		
ETHCAT	RECIPIENT ETHNICITY CATEGORY	TCR-CALCULATED			CANDIDATE INFORMATION	NUM	ETHCAT	Beginning on 11/04/2001 we started allowing the collection of multiple races.
ETHCAT_DON	DONOR ETHNICITY CATEGORY	DDR/LDR-CALCULATED			DONOR INFORMATION	NUM	ETHCAT	Beginning on 11/04/2001 we started allowing the collection of multiple races.
ETHNICITY	RECIPIENT ETHNICITY	TCR	1994-04-01 00:00:00		CANDIDATE INFORMATION	NUM	ETHN	
EXH_PERIT_ACCESS	RECIPIENT EXHAUSTED VASCULAR ACCESS @ REGISTRATION	TCR	1999-10-25 00:00:00		CLINICAL INFORMATION	CHAR(1)	YNU	
EXH_VASC_ACCESS	RECIPIENT EXHAUSTED PERITONEAL ACCESS @ REGISTRATION	TCR	1999-10-25 00:00:00		CLINICAL INFORMATION	CHAR(1)	YNU	
EXTRACRANIAL_CANCER_DON	DECEASED DONOR-EXTRACANIAL CANCER AT PROCUREMENT	DDR	1994-04-01 00:00:00		DONOR HISTORY	CHAR(1)	YNU	
FAILDATE_KI	GRAFT FAIL DATE-KIDNEY	TRR/TRF-CALCULATED	1987-10-01 00:00:00		POST TRANSPLANT CLINICAL INFORMATION	NUM		
FAILDATE_PA	GRAFT FAIL DATE-PANCREAS	TRR/TRF-CALCULATED	1987-10-01 00:00:00		POST TRANSPLANT CLINICAL INFORMATION	NUM		
FIN_RESIST_TX	FINAL RESTSITANCE AT TRANSPLANT	TRR	2004-06-30 00:00:00	2015-03-31 00:00:00	TRANSPLANT CLINICAL INFORMATION	NUM		
FIRST_WK_DIAL	RECIPIENT DIALYSIS W/IN FIRST WEEK OF KIDNEY TX	TRR	1987-10-01 00:00:00		POST TRANSPLANT CLINICAL INFORMATION	CHAR(1)	YNU	
FREE_DON	LIVING DONOR-FREE CARE AS SECONDARY PAYMENT TYPE	LDR	1999-10-25 00:00:00		DONOR INFORMATION	CHAR(1)	YNU	
FUNC_STAT_TCR	RECIPIENT FUNCTIONAL STATUS @ REGISTRATION	TCR	1994-04-01 00:00:00		CANDIDATE INFORMATION	NUM	FUNCSTAT	
FUNC_STAT_TRF	TRF FUNCTIONAL STATUS @ TRR/FOL	TRR/TRF	1997-04-01 00:00:00		PATIENT STATUS AT TIME OF FOLLOW-UP	NUM	FUNCSTAT	
FUNC_STAT_TRR	RECIPIENT FUNCTIONAL STATUS @TRANSPLANT	TRR	1994-04-01 00:00:00		PATIENT STATUS	NUM	FUNCSTAT	
GENDER	RECIPIENT GENDER	TCR	1987-10-01 00:00:00		CANDIDATE INFORMATION	CHAR(1)	SEX	
GENDER_DON	DONOR GENDER	DDR/LDR	1987-10-01 00:00:00		DONOR INFORMATION	CHAR(1)	SEX	
GFR	CANDIDATE GFR SCORE	WAITING LIST DATA			WAITING LIST DATA	NUM		
GFR_DATE	DATE GFR BECAME <=20 MIL/MIN	WAITING LIST DATA			WAITING LIST DATA	NUM		
GRF_FAIL_CAUSE_TY_KI	RECIPIENT GRAFT FAILURE PRIMARY CAUSE-KI	TRR/TRF	1987-10-01 00:00:00		POST TRANSPLANT CLINICAL INFORMATION	NUM	GRFAILKI	
GRF_FAIL_CAUSE_TY_PA	RECIPIENT GRAFT FAILURE PRIMARY CAUSE-PA	TRR/TRF	1987-10-01 00:00:00		POST TRANSPLANT CLINICAL INFORMATION	NUM	GRFAILPA	
GRF_PLACEM	RECIPIENT GRAFT PLACEMENT PROCEDURE @ TX	TRR	1987-10-01 00:00:00		TRANSPLANT CLINICAL INFORMATION	NUM	PAGRFPLA	
GRF_STAT_KI	RECIPIENT GRAFT STATUS FROM FORM-KI	TRR	1994-04-01 00:00:00		POST TRANSPLANT CLINICAL INFORMATION	CHAR(1)	GRFSTAT	
GRF_STAT_PA	RECIPIENT GRAFT STATUS FROM FORM-PA	TRR	1994-04-01 00:00:00		POST TRANSPLANT CLINICAL INFORMATION	CHAR(1)	GRFSTAT	
GRF_VASC_THROMB_PA	RECIPIENT GRAFT FAILURE CONTRIBUTORY CAUSE:GRAFT/VASCULAR THROMBOSIS-PA	TRR/TRF	1994-04-01 00:00:00		POST TRANSPLANT CLINICAL INFORMATION	CHAR(1)	YNU	
GSTATUS_KI	GRAFT FAILED (1=YES)-KIDNEY	CALCULATED				NUM		
GSTATUS_PA	GRAFT FAILED (1=YES)-PANCREAS	CALCULATED				NUM		
GTIME_KI	GRAFT LIFESPAN-KIDNEY-Days From Transplant to Failure/Death/Last Follow-Up	CALCULATED				NUM		
GTIME_PA	GRAFT LIFESPAN-PANCREAS-Days From Transplant to Failure/Death/Last Follow-Up	CALCULATED				NUM		
HAPLO_TY_MATCH_DON	LIVING DONOR-RECIPIENT HAPLOTYPE MATCH	DH	1987-10-01 00:00:00		RECIPIENT OF A LIVING DONOR INFORMATION	NUM	HAPLOTY	
HASHBVVACCINATION	Did Recipient Receive Hepatitis B Vaccines Prior to Transplant?	TRR	2022-08-30 00:00:00			CHAR	YNU	
HBA1C_PA_TCR	HBA1C AT LISTING (PA KP ONLY)	TCR	2018-02-28 00:00:00		CLINICAL INFORMATION AT LISTING	NUM		
HBA1C_PA_TRR	HBA1C AT TRANSPLANT (PA KP ONLY)	TRR/TRF	2018-02-28 00:00:00		POST TRANSPLANT CLINICAL INFORMATION	NUM		
HBSAB_DON	DECEASED DONOR HBSAB TEST RESULT	DDR	2006-05-03 00:00:00		CLINICAL INFORMATION	CHAR(2)	SERSTAT	
HBV_CORE	RECIPIENT HEPATITIS B-CORE ANTIBODY	TRR	1987-10-01 00:00:00		CLINICAL INFORMATION	CHAR(2)	SERSTAT	
HBV_CORE_DON	DONOR HBV CORE ANTIBODY	DDR/LDR	1994-04-01 00:00:00		CLINICAL INFORMATION	CHAR(2)	SERSTAT	
HBV_DNA_DON	LIVING DONOR HBV DNA	LDR	1994-04-01 00:00:00		CLINICAL INFORMATION	CHAR(2)	SERSTAT	
HBV_NAT	TRR HBV NAT RESULT	TRR	2018-02-28 00:00:00		PRETRANSPLANT CLINICAL INFORMATION	CHAR(2)	SERSTAT	
HBV_NAT_DON	DDR HBV NAT Results:	DDR	2015-03-31 00:00:00		CLINICAL INFORMATION	CHAR(2)	SERSTAT	
HBV_SUR_ANTIGEN	RECIPIENT HEP B SURFACE ANTIGEN	TRR	1987-10-01 00:00:00		CLINICAL INFORMATION	CHAR(2)	SERSTAT	
HBV_SUR_ANTIGEN_DON	DONOR HEP B SURFACE ANTIGEN	DDR/LDR	1987-10-01 00:00:00		CLINICAL INFORMATION	CHAR(2)	SERSTAT	
HBV_SURF_TOTAL	RECIPIENT HBV Surface Antibody Total @ TRANSPLANT	TRR	2015-03-31 00:00:00		CLINICAL INFORMATION	CHAR(2)	SERSTAT	
HBV_TEST_DON	LIVING DONOR HBV TEST DONE	LDR	1994-04-01 00:00:00		CLINICAL INFORMATION	CHAR(1)		
HCV_ANTIBODY_DON	LIVING DONOR HEP C ANTIBODY	LDR	1994-04-01 00:00:00		CLINICAL INFORMATION	CHAR(2)	SERSTAT	
HCV_NAT	TRR HCV NAT RESULT	TRR	2018-02-28 00:00:00		PRETRANSPLANT CLINICAL INFORMATION	CHAR(2)	SERSTAT	
HCV_NAT_DON	DDR HCV NAT Results:	DDR	2015-03-31 00:00:00		CLINICAL INFORMATION	CHAR(2)	SERSTAT	
HCV_RIBA_DON	LIVING DONOR HEP C-RIBA TEST	LDR	1994-04-01 00:00:00		CLINICAL INFORMATION	CHAR(2)	SERSTAT	
HCV_RNA_DON	LIVING DONOR HEP C RNA	LDR	1994-04-01 00:00:00		CLINICAL INFORMATION	CHAR(2)	SERSTAT	
HCV_SEROSTATUS	RECIPIENT HEP C STATUS	TRR	1994-04-01 00:00:00		CLINICAL INFORMATION	CHAR(2)	SERSTAT	
HCV_TEST_DON	LIVING DONOR HEP C TEST DONE?	LDR	1994-04-01 00:00:00		CLINICAL INFORMATION	CHAR(1)		
HEP_C_ANTI_DON	DECEASED DONOR-ANTIBODY TO HEP C VIRUS RESULT	DDR	1994-04-01 00:00:00		CLINICAL INFORMATION	CHAR(2)	SERSTAT	
HEPARIN_DON	DECEASED DONOR MANAGEMENT - HEPARIN (NO COLLECTION BETWEEN 10/25/99 - 1/27/03)	DDR 	1994-04-01 00:00:00		CLINICAL INFORMATION	CHAR(1)	YNU	
HGT_CM_CALC	CALCULATED RECIPIENT HEIGHT(cm)	CALCULATED				NUM		
HGT_CM_DON_CALC	CALCULATED DONOR HEIGHT (CM)	CALCULATED				NUM		
HGT_CM_TCR	RECIPIENT HEIGHT @ REGISTRATION	TCR	1987-10-01 00:00:00		CLINICAL INFORMATION	NUM		
HIST_ALCOHOL_OLD_DON	DECEASED DONOR-HISTORY OF ALCOHOL DEPENDENCY	DDR	1994-04-01 00:00:00	2004-06-29 00:00:00	DONOR HISTORY	CHAR(1)	YNU	
HIST_CANCER_DON	DECEASED DONOR-HISTORY OF CANCER (Y/N)	DDR	1994-04-01 00:00:00		DONOR HISTORY	CHAR(1)	YNU	
HIST_CIG_DON	DECEASED DONOR-HISTORY OF CIGARETTES IN PAST @ >20PACK YRS	DDR	1994-04-01 00:00:00		DONOR HISTORY	CHAR(1)	YNU	
HIST_COCAINE_DON	DECEASED DONOR-HISTORY OF COCAINE USE IN PAST	DDR	1999-10-25 00:00:00		DONOR HISTORY	CHAR(1)	YNU	
HIST_DIABETES_DON	DECEASED DONOR-HISTORY OF DIABETES, INCL. DURATION OF DISEASE	DDR	1994-04-01 00:00:00		DONOR HISTORY	NUM	HISTDIAB	
HIST_HYPERTENS_DON	DECEASED DONOR-HISTORY OF HYPERTENSION (Y,N)	DDR	1994-04-01 00:00:00		DONOR HISTORY	CHAR(1)	YNU	
HIST_INSULIN_DEP_DON	DECEASED DONOR-INSULIN DEPENDENT DIABETES (Y,N)	DDR	1994-04-01 00:00:00		DONOR HISTORY	CHAR(1)	YNU	UNROLLED FROM INSULIN_DUR_DON TO INCLUDE ONLY THE Y,N RESPONSE
HIST_IV_DRUG_OLD_DON	DECEASED DONOR-HISTORY OF IV DRUG USE IN PAST	DDR	1994-04-01 00:00:00	2004-06-29 00:00:00	DONOR HISTORY	CHAR(1)	YNU	
HIST_OTH_DRUG_DON	DECEASED DONOR-HISTORY OF OTHER DRUG USE IN PAST	DDR	1994-04-01 00:00:00		DONOR HISTORY	CHAR(1)	YNU	
HIV_NAT	TRR HIV NAT RESULT	TRR	2018-02-28 00:00:00		PRETRANSPLANT CLINICAL INFORMATION	CHAR(2)	SERSTAT	
HIV_NAT_DON	DDR HIV NAT Results:	DDR	2015-03-31 00:00:00		CLINICAL INFORMATION	CHAR(2)	SERSTAT	
HIV_SEROSTATUS	RECIPIENT HIV SEROSTATUS AT TRANSPLANT	TRR	1987-10-01 00:00:00		CLINICAL INFORMATION	CHAR(2)	SERSTAT	
HLAMIS	HLA MISMATCH LEVEL	CALCULATED				NUM		
HMO_PPO_DON	LIVING DONOR-HMO/PPO AS SECONDARY PAYMENT TYPE	LDR	1999-10-25 00:00:00		DONOR INFORMATION	CHAR(1)	YNU	
HOME_STATE_DON	DR HOME STATE	DDR/LDR	1987-10-01 00:00:00		DONOR INFORMATION	CHAR(2)	STATE	
HTLV1_OLD_DON	DECEASED DONOR-ANTIBODY TO HTLV I RESULT	DDR	1994-04-01 00:00:00		CLINICAL INFORMATION	CHAR(2)	SERSTAT	
HTLV2_OLD_DON	DECEASED DONOR-ANTIBODY TO HTLV II RESULT	DDR	1994-04-01 00:00:00		CLINICAL INFORMATION	CHAR(2)	SERSTAT	
HYPERTENS_DUR_DON	DECEASED DONOR-HYPERTENSION DURATION	DDR	1994-04-01 00:00:00		DONOR HISTORY	NUM	HISTHYPE	
INACT_REASON_CD	REASON FOR INACTIVE STATUS	WAITING LIST DATA	2006-05-24 00:00:00		WAITING LIST DATA	NUM	INACTREA	
INFECT_PA	RECIPIENT GRAFT FAILURE CONTRIBUTORY CAUSE:INFECTION-PA	TRR	1994-04-01 00:00:00		POST TRANSPLANT CLINICAL INFORMATION	CHAR(1)	YNU	
INIT_AGE	CANDIDATE AGE IN YEARS AT TIME OF LISTING	WAITING LIST DATA	1987-10-01 00:00:00		WAITING LIST DATA	NUM		
INIT_BMI_CALC	CALCULATED CANDIDATE BMI AT LISTING	CALCULATED				NUM		
INIT_CPRA	CANDIDATE CALCULATED PRA AT LISTING 	CALCULATED	2007-12-05 00:00:00			NUM		CPRA is used in allocation since to 10/1/2009
INIT_CURRENT_PRA	CANDIDATE FIRST CURRENT PRA	WAITING LIST DATA				NUM		PRA was used in allocation prior to 10/1/2009
INIT_DATE	DATE PLACED ON  WAITING LIST	WAITING LIST DATA	1987-10-01 00:00:00		WAITING LIST DATA	NUM		
INIT_EPTS	Initial Calculated EPTS (since 5/27/2014)	WAITING LIST DATA	2014-05-27 00:00:00		WAITING LIST DATA	NUM		
INIT_HGT_CM	CANDIDATE HEIGHT IN CM AT LISTING	WL/TCR	1987-10-01 00:00:00			NUM		
INIT_OPO_CTR_CODE	ENCRYPTED INITIAL OPO MAPPED FROM LISTING CENTER AND BEGINNING DATE	CALCULATED				CHAR(7)		
INIT_PEAK_PRA	RECIPIENT PEAK PRA AT LISTING 	WAITING LIST DATA	1995-05-01 00:00:00	2009-09-30 00:00:00		NUM		PRA was used in allocation prior to 10/1/2009
INIT_STAT	INITIAL WAITING LIST STATUS CODE	WAITING LIST DATA	1990-01-01 00:00:00		WAITING LIST DATA	NUM	STAT	
INIT_WGT_KG	CANDIDATE WEIGHT IN KG AT LISTING	WL/TCR	1987-10-01 00:00:00			NUM		
INO_PROCURE_AGENT_1	DECEASED DONOR-INOTROPIC MEDICATION AGENT 1	DDR	2003-01-27 00:00:00		CLINICAL INFORMATION	NUM	INOMED	
INO_PROCURE_AGENT_2	DECEASED DONOR-INOTROPIC MEDICATION AGENT 2	DDR	2003-01-27 00:00:00		CLINICAL INFORMATION	NUM	INOMED	
INO_PROCURE_AGENT_3	DECEASED DONOR-INOTROPIC MEDICATION AGENT 3	DDR	2003-01-27 00:00:00		CLINICAL INFORMATION	NUM	INOMED	
INOTROP_AGENTS	DECEASED DONOR-INOTROPIC AGENT SUPPORT	DDR	1999-10-25 00:00:00		HEART DONOR'S CARDIAC FUNCTION	CHAR(1)	YNU	
INOTROP_SUPPORT_DON	DECEASED DONOR INOTROPIC MEDICATION AT PROCUREMENT (Y/N)	DDR	2003-01-27 00:00:00		CLINICAL INFORMATION	CHAR(1)	YNU	
INSULIN_DEP_DON	DECEASED DONOR-INSULIN DEPENDENT DIABETES, INCL. DURATION OF DEPENDENCE	DDR	1994-04-01 00:00:00		DONOR HISTORY	NUM	INSDEPDU	
INSULIN_DON	DECEASED DONOR-WAS DONOR GIVEN INSULIN WITHIN 24 HRS PRE CROSS CLAMP?	DDR	2004-06-30 00:00:00		CLINICAL INFORMATION	CHAR(1)	YNU	
INSULIN_DOSAGE_OLD_PA	PANCREAS OLD TOTAL INSULIN DOSAGE UNITS	TRR/TRF		2021-06-23 00:00:00	CLINICAL INFORMATION	NUM		
INSULIN_DOSAGE_PA	PANCREAS TOTAL INSULIN DOSAGE UNITS	TRR/TRF	2018-02-28 00:00:00		CLINICAL INFORMATION	NUM		
INSULIN_DUR_DON	DECEASED DONOR-INSULIN DEPENDENT DIABETES DURATION	DDR	1994-04-01 00:00:00		DONOR HISTORY	NUM	INSDEPDU	UNROLLED FROM INSULIN_DUR_DON TO INCLUDE DURATION OF DEPENDENCE
INSULIN_DURATION_PA	PANCREAS INSULIN DURATION OF USE	TRR/TRF	2018-02-28 00:00:00		CLINICAL INFORMATION	NUM		
INSULIN_PA	PANCREAS PATIENT ON INSULIN	TRR/TRF	2004-06-30 00:00:00		CLINICAL INFORMATION	CHAR(1)	YNU	
INSULIN_RESUMED_DATE_PA	PANCREAS DATE INSULIN RESUMED	TRR/TRF	2004-06-30 00:00:00		CLINICAL INFORMATION	NUM		
INTRACRANIAL_CANCER_DON	DECEASED DONOR-INTRACANIAL CANCER AT PROCUREMENT	DDR	1994-04-01 00:00:00		DONOR HISTORY	CHAR(1)	YNU	
KDPI	KDPI (ref. population =  2020) Calculated from DDR or from DonorNet: Post 04/01/1994	CALCULATED	1994-04-01 00:00:00			NUM		added with 201409 STAR file (see https://optn.transplant.hrsa.gov/media/1512/guide_to_calculating_interpreting_kdpi.pdf)
KDRI_MED	KDRI Median (ref. donor  = 2020 median)  Calculated from DDR or from DonorNet: Post 04/01/1994	CALCULATED	1994-04-01 00:00:00			NUM		added with 201409 STAR file (see https://optn.transplant.hrsa.gov/media/1512/guide_to_calculating_interpreting_kdpi.pdf)
KDRI_RAO	KDRI Rao  Calculated from DDR or from DonorNet: Post 04/01/1994	CALCULATED	1994-04-01 00:00:00			NUM		added with 201409 STAR file (see https://optn.transplant.hrsa.gov/media/1512/guide_to_calculating_interpreting_kdpi.pdf)
KI_CREAT_PREOP	LIVING KIDNEY DONOR PREOPERATIVE CREATININE	LDR	1999-10-25 00:00:00		CLINICAL INFORMATION	NUM		
KI_PROC_TY	LIVING DONOR KIDNEY PROCEDURE TYPE	LDR	1999-10-25 00:00:00		CLINICAL INFORMATION	NUM	KIPROCTY	
L_FIN_FLOW_RATE_TX	Left Kidney Final Flow Rate at Transplant	TRR	2015-03-31 00:00:00		TRANSPLANT CLINICAL INFORMATION	NUM		
L_FIN_RESIST_TX	Left Kidney Final Resistance at Transplant	TRR	2015-03-31 00:00:00		TRANSPLANT CLINICAL INFORMATION	NUM		
LEFTKIDNEYCHECKINDATE	Left Kidney Check-In Date 	TRR	2023-09-14 00:00:00			NUM		
LEFTKIDNEYCHECKINTIME	Left Kidney Check-In Time	TRR	2023-09-14 00:00:00			NUM		
LEFTKIDNEYCHECKINTIMEZONEID	Left Kidney Check-In //Time Zone	TRR	2023-09-14 00:00:00			NUM	commontz	
LIPASE	DECEASED PANCREAS DONOR SERUM LIPASE (PA DONORS ONLY)	DDR	1999-10-25 00:00:00		CLINICAL INFORMATION	NUM		
LISTING_CTR_CODE	ENCRYPTED WL LISTING CENTER	CALCULATED				CHAR(7)		
LIV_DON_TY	LIVING DONOR RELATION TO RECIPIENT	LDR	1994-04-01 00:00:00		DONOR INFORMATION	NUM	LDONREL	
LOS	RECIPIENT LENGTH OF STAY POST TX	TRR-CALCULATED	1999-10-25 00:00:00		PATIENT STATUS(PRIORITY KIDNEY,THEN PANCREAS TRR)	NUM		
LT_KI_BIOPSY	DECEASED DONOR-LEFT KIDNEY BIOPSY AT RECOVERY	DDR	1999-10-25 00:00:00		ORGAN RECOVERY	CHAR(1)	YNU	
LT_KI_GLOMERUL	DECEASED DONOR-LEFT KIDNEY %GLOMERULOSCLEROSIS AT RECOVERY	DDR	1999-10-25 00:00:00		ORGAN RECOVERY	NUM	KIGLUMER	
LT_ONE_WEEK_DON	Donor Less Than 7 Days Old at Time of Donation	CALCULATED	2016-09-13 00:00:00			CHAR(1)	YNU	
MALIG	ANY PREVIOUS MALIGNANCY?	CALCULATED				CHAR(1)	YNU	
MALIG_TCR_KI	RECIPIENT PREVIOUS MALIG. @ REGISTRATION (KIDNEY)	TCR	1994-04-01 00:00:00		CLINICAL INFORMATION	CHAR(1)	YNU	
MALIG_TCR_PA	RECIPIENT PREVIOUS MALIG. @ REGISTRATION (PANCREAS)	TCR	1994-04-01 00:00:00		CLINICAL INFORMATION	CHAR(1)	YNU	
MALIG_TRR	RECIPIENT ANY KNOWN MALIGNANCIES SINCE LISTING  @ TRANSPLANT	TRR	1999-10-25 00:00:00		PRETRANSPLANT CLINICAL INFORMATION	CHAR(1)	YNU	
MALIG_TY	PREVIOUS MALIGNANCY TYPE	CALCULATED				NUM	MALMULTIPED	
MALIG_TY_TRR	TYPE OF MALIGNANCY BETWEEN LISTING AND TRANSPLANT	TRR	2004-06-30 00:00:00		PRETRANSPLANT CLINICAL INFORMATION	NUM	MALMULTIPED	
MAX_KDPI_IMPORT_NON_ZERO_ABDR	WL Maximum Acceptable KDPI for Import non-0 ABDR Mismatch (since 5/27/2014)	WAITING LIST DATA	2014-05-27 00:00:00		WAITING LIST DATA	NUM		
MAX_KDPI_IMPORT_ZERO_ABDR	WL Maximum Acceptable KDPI for Import 0 ABDR Mismatch (since 5/27/2014)	WAITING LIST DATA	2014-05-27 00:00:00		WAITING LIST DATA	NUM		
MAX_KDPI_LOCAL_NON_ZERO_ABDR	WL Maximum Acceptable KDPI for Local non-0 ABDR Mismatch (since 5/27/2014)	WAITING LIST DATA	2014-05-27 00:00:00		WAITING LIST DATA	NUM		
MAX_KDPI_LOCAL_ZERO_ABDR	WL Maximum Acceptable KDPI for Local 0 ABDR Mismatch (since 5/27/2014)	WAITING LIST DATA	2014-05-27 00:00:00		WAITING LIST DATA	NUM		
MED_COND_TRR	RECIPIENT MEDICAL CONDITION PRE-TRANSPLANT   @ TRANSPLANT	TRR	1987-10-01 00:00:00	2015-03-31 00:00:00	PATIENT STATUS	NUM	MEDCOND	
MEDICAID_DON	LIVING DONOR-MEDICAID AS SECONDARY PAYMENT TYPE	LDR	1999-10-25 00:00:00		DONOR INFORMATION	CHAR(1)	YNU	
MEDICARE_DON	LIVING DONOR-MEDICARE AS SECONDARY PAYMENT TYPE	LDR	1999-10-25 00:00:00		DONOR INFORMATION	CHAR(1)	YNU	
METHOD_BLOOD_SUGAR_CONTROL_PA	PANCREAS PATIENT USING ANY METHOD OF BLOOD SUGAR CONTROL	TRR/TRF	1994-04-01 00:00:00		CLINICAL INFORMATION	CHAR(1)	YNU	
MULTIORG	MULTI-ORGAN TRANSPLANT	CALCULATED				CHAR(1)	YNU	
NON_HRT_DON	DECEASED DONOR-NON-HEART BEATING DONOR	DDR	1994-04-01 00:00:00		ORGAN RECOVERY	CHAR(1)	YNU	
NPKID	NUMBER PREVIOUS TXs -KIDNEY	CALCULATED				NUM		
NPPAN	NUMBER PREVIOUS TXs -PANCREAS	CALCULATED				NUM		
NUM_PREV_TX	THE NUMBER OF PREVIOUS TRANSPLANTS	WAITING LIST DATA	1987-10-01 00:00:00		WAITING LIST DATA	NUM		
ON_DIALYSIS	WL Candidate Has Had Regularly Administered Dialysis for ESRD (Y/N)	WAITING LIST DATA			WAITING LIST DATA	CHAR(1)	YNU	
OPER_TECH	RECIPIENT OPERATIVE TECHNIQUE FOR PANCREAS TX	TRR	1987-10-01 00:00:00		TRANSPLANT CLINICAL INFORMATION	NUM	PATXTY	
OPO_CTR_CODE	ENCRYPTED OPO CENTER CODE (OPO OF THE DECEASED DONOR RECOVERY FROM DDR FORM)	CALCULATED				CHAR(7)		
ORG_REC_ON	KIDNEY RECEIVED ON ICE OR PUMP	TRR	2004-06-30 00:00:00		CLINICAL INFORMATION	NUM	ORGRECON	
ORGAN	ORGAN TYPE TRANSPLANTED	CALCULATED				CHAR(2)	ORGAN	
OTH_GOVT_DON	LIVING DONOR - US/STATE GOVERNMENT AGENCY AS SECONDARY PAYMENT TYPE	LDR	1999-10-25 00:00:00		DONOR INFORMATION	CHAR(1)	YNU	
OTHER_HYPERTENS_MED_DON	DECEASED DONOR-HYPERTENSION CONTROLLED BY NON-DIURETIC MEDS	DDR	1994-04-01 00:00:00		DONOR HISTORY	CHAR(1)	YNU	
OTHER_INF_CONF_DON	DECEASED DONOR INFECTION OTHER SOURCE-CONFIRMED	DDR	1994-04-01 00:00:00	2015-03-31 00:00:00	CLINICAL INFORMATION	CHAR(1)	YNU	
OTHER_INF_DON	DECEASED DONOR INFECTION OTHER SOURCE	DDR	1994-04-01 00:00:00		CLINICAL INFORMATION	NUM		
PA_PRESERV_TM	PANCREAS TOTAL PRESERVATION TIME (HOURS)	TRR	1987-10-01 00:00:00		TRANSPLANT CLINICAL INFORMATION	NUM		
PANCREASCHECKINDATE	Pancreas Check-In Date 	TRR	2023-09-14 00:00:00			NUM		
PANCREASCHECKINTIME	Pancreas Check-In Time	TRR	2023-09-14 00:00:00			NUM		
PANCREASCHECKINTIMEZONEID	Pancreas Check-In //Time Zone	TRR	2023-09-14 00:00:00			NUM	commontz	
PANCREATIT_PA	RECIPIENT GRAFT FAILURE CONTRIBUTORY CAUSE:PANCREATITIS	TRR/TRF	1990-08-30 00:00:00		POST TRANSPLANT CLINICAL INFORMATION	CHAR(1)	YNU	
PAYBACK	TRANSPLANT AS A RESULT OF A PAYBACK?	CALCULATED	2000-07-01 00:00:00			CHAR(1)	YNU	
PEAK_PRA	"CANDIDATE MOST RECENT ""PEAK"" PRA FROM WAITING LIST/ALLOCATION"	WAITING LIST DATA	1987-10-01 00:00:00	2009-09-30 00:00:00	WAITING LIST DATA	NUM		PRA was used in allocation prior to 10/1/2009
PERIP_VASC	RECIPIENT PERIPHERAL VASCULAR DISEASE  @ REGISTRATION	TCR	1994-04-01 00:00:00		CLINICAL INFORMATION	CHAR(1)	YNU	
PERM_STATE	CANDIDATE STATE OF RESIDENCY  @ REGISTRATION	TCR	1997-10-01 00:00:00		CANDIDATE INFORMATION	CHAR(2)	STATE	
PERM_STATE_TRR	RECIPIENT STATE OF RESIDENCY  @ TRANSPLANT	TRR	2004-06-30 00:00:00		CANDIDATE INFORMATION	CHAR(2)	STATE	
PK_DA1	PREVIOUS KIDNEY-DONOR A1 ANTIGEN	CALCULATED				CHAR(6)		
PK_DA2	PREVIOUS KIDNEY-DONOR A2 ANTIGEN	CALCULATED				CHAR(6)		
PK_DB1	PREVIOUS KIDNEY-DONOR B1 ANTIGEN	CALCULATED				CHAR(6)		
PK_DB2	PREVIOUS KIDNEY-DONOR B2 ANTIGEN	CALCULATED				CHAR(6)		
PK_DDR1	PREVIOUS KIDNEY-DONOR DR1 ANTIGEN	CALCULATED				CHAR(6)		
PK_DDR2	PREVIOUS KIDNEY-DONOR DR2 ANTIGEN	CALCULATED				CHAR(6)		
PRE_AVG_INSULIN_USED_OLD_TRR	RECIPIENT OLD AVERAGE DAILY INSULIN UNITS PRE TRANSPLANT  @ TRANSPLANT	TRR		2021-06-23 00:00:00	PRETRANSPLANT CLINICAL INFORMATION	NUM		
PRE_AVG_INSULIN_USED_TRR	RECIPIENT AVERAGE DAILY INSULIN UNITS PRE TRANSPLANT  @ TRANSPLANT	TRR	1999-10-25 00:00:00		PRETRANSPLANT CLINICAL INFORMATION	NUM		
PRE_TX_TXFUS	RECIPIENT # OF PRE-TRANSPLANT TRANSFUSIONS-KI  @ TRANSPLANT	TRR	1987-10-01 00:00:00	2015-03-31 00:00:00	PRETRANSPLANT CLINICAL INFORMATION	CHAR(1)	YNU	
PRETREAT_MED_DON_OLD	DECEASED DONOR PRE-RECOVERY MEDICATION(S) FROM BRAIN DEATH TO 24 HRS PRIOR TO PROCUREMENT	DDR	1994-04-01 00:00:00	2003-01-27 00:00:00	CLINICAL INFORMATION	CHAR(1)	YNU	
