List of distinct SAS Analysis Formats for STAR tables chosen for this report	Unnamed: 1	Unnamed: 2	Unnamed: 3
CHDMULT	2268	Transposition of the Great Arteries; Atrioventricular Septal Defect; Other left Heart Valvar/Structural Hypoplasia; Cong	N
CHDMULT	2269	Atrial Isomerism/Heterotaxy; Transposition of the Great Arteries; Atrioventricular Septal Defect; Other left Heart Valva	N
CHDMULT	2270	Hypoplastic Left Heart Syndrome; Transposition of the Great Arteries; Atrioventricular Septal Defect; Other left Heart V	N
CHDMULT	2271	Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndrome; Transposition of the Great Arteries; Atrioventricular Sept	N
CHDMULT	2272	Truncus Arteriosus; Congenitally Corrected Transposition (L-TGA); Pulmonary Atresia with Intact Ventricular Septum; Othe	N
CHDMULT	2273	Atrial Isomerism/Heterotaxy; Truncus Arteriosus; Congenitally Corrected Transposition (L-TGA); Pulmonary Atresia with In	N
CHDMULT	2274	Hypoplastic Left Heart Syndrome; Truncus Arteriosus; Congenitally Corrected Transposition (L-TGA); Pulmonary Atresia wit	N
CHDMULT	2275	Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndrome; Truncus Arteriosus; Congenitally Corrected Transposition (	N
CHDMULT	2276	Transposition of the Great Arteries; Truncus Arteriosus; Congenitally Corrected Transposition (L-TGA); Pulmonary Atresia	N
CHDMULT	2277	Atrial Isomerism/Heterotaxy; Transposition of the Great Arteries; Truncus Arteriosus; Congenitally Corrected Transpositi	N
CHDMULT	2278	Hypoplastic Left Heart Syndrome; Transposition of the Great Arteries; Truncus Arteriosus; Congenitally Corrected Transpo	N
CHDMULT	2279	Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndrome; Transposition of the Great Arteries; Truncus Arteriosus; C	N
CHDMULT	2280	Atrioventricular Septal Defect; Truncus Arteriosus; Congenitally Corrected Transposition (L-TGA); Pulmonary Atresia with	N
CHDMULT	2281	Atrial Isomerism/Heterotaxy; Atrioventricular Septal Defect; Truncus Arteriosus; Congenitally Corrected Transposition (L	N
CHDMULT	2282	Hypoplastic Left Heart Syndrome; Atrioventricular Septal Defect; Truncus Arteriosus; Congenitally Corrected Transpositio	N
CHDMULT	2283	Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndrome; Atrioventricular Septal Defect; Truncus Arteriosus; Congen	N
CHDMULT	2284	Transposition of the Great Arteries; Atrioventricular Septal Defect; Truncus Arteriosus; Congenitally Corrected Transpos	N
CHDMULT	2285	Atrial Isomerism/Heterotaxy; Transposition of the Great Arteries; Atrioventricular Septal Defect; Truncus Arteriosus; Co	N
CHDMULT	2286	Hypoplastic Left Heart Syndrome; Transposition of the Great Arteries; Atrioventricular Septal Defect; Truncus Arteriosus	N
CHDMULT	2287	Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndrome; Transposition of the Great Arteries; Atrioventricular Sept	N
CHDMULT	2288	Other left Heart Valvar/Structural Hypoplasia; Truncus Arteriosus; Congenitally Corrected Transposition (L-TGA); Pulmona	N
CHDMULT	2289	Atrial Isomerism/Heterotaxy; Other left Heart Valvar/Structural Hypoplasia; Truncus Arteriosus; Congenitally Corrected T	N
CHDMULT	2290	Hypoplastic Left Heart Syndrome; Other left Heart Valvar/Structural Hypoplasia; Truncus Arteriosus; Congenitally Correct	N
CHDMULT	2291	Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndrome; Other left Heart Valvar/Structural Hypoplasia; Truncus Art	N
CHDMULT	2292	Transposition of the Great Arteries; Other left Heart Valvar/Structural Hypoplasia; Truncus Arteriosus; Congenitally Cor	N
CHDMULT	2293	Atrial Isomerism/Heterotaxy; Transposition of the Great Arteries; Other left Heart Valvar/Structural Hypoplasia; Truncus	N
CHDMULT	2294	Hypoplastic Left Heart Syndrome; Transposition of the Great Arteries; Other left Heart Valvar/Structural Hypoplasia; Tru	N
CHDMULT	2295	Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndrome; Transposition of the Great Arteries; Other left Heart Valv	N
CHDMULT	2296	Atrioventricular Septal Defect; Other left Heart Valvar/Structural Hypoplasia; Truncus Arteriosus; Congenitally Correcte	N
CHDMULT	2297	Atrial Isomerism/Heterotaxy; Atrioventricular Septal Defect; Other left Heart Valvar/Structural Hypoplasia; Truncus Arte	N
CHDMULT	2298	Hypoplastic Left Heart Syndrome; Atrioventricular Septal Defect; Other left Heart Valvar/Structural Hypoplasia; Truncus	N
CHDMULT	2299	Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndrome; Atrioventricular Septal Defect; Other left Heart Valvar/St	N
CHDMULT	2300	Transposition of the Great Arteries; Atrioventricular Septal Defect; Other left Heart Valvar/Structural Hypoplasia; Trun	N
CHDMULT	2301	Atrial Isomerism/Heterotaxy; Transposition of the Great Arteries; Atrioventricular Septal Defect; Other left Heart Valva	N
CHDMULT	2302	Hypoplastic Left Heart Syndrome; Transposition of the Great Arteries; Atrioventricular Septal Defect; Other left Heart V	N
CHDMULT	2303	Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndrome; Transposition of the Great Arteries; Atrioventricular Sept	N
CHDMULT	2304	Ventricular Septal Defect(s); Other	N
CHDMULT	2305	Atrial Isomerism/Heterotaxy; Ventricular Septal Defect(s); Other	N
CHDMULT	2306	Hypoplastic Left Heart Syndrome; Ventricular Septal Defect(s); Other	N
CHDMULT	2307	Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndrome; Ventricular Septal Defect(s); Other	N
CHDMULT	2308	Transposition of the Great Arteries; Ventricular Septal Defect(s); Other	N
CHDMULT	2309	Atrial Isomerism/Heterotaxy; Transposition of the Great Arteries; Ventricular Septal Defect(s); Other	N
CHDMULT	2310	Hypoplastic Left Heart Syndrome; Transposition of the Great Arteries; Ventricular Septal Defect(s); Other	N
CHDMULT	2311	Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndrome; Transposition of the Great Arteries; Ventricular Septal De	N
CHDMULT	2312	Atrioventricular Septal Defect; Ventricular Septal Defect(s); Other	N
CHDMULT	2313	Atrial Isomerism/Heterotaxy; Atrioventricular Septal Defect; Ventricular Septal Defect(s); Other	N
CHDMULT	2314	Hypoplastic Left Heart Syndrome; Atrioventricular Septal Defect; Ventricular Septal Defect(s); Other	N
CHDMULT	2315	Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndrome; Atrioventricular Septal Defect; Ventricular Septal Defect(	N
CHDMULT	2316	Transposition of the Great Arteries; Atrioventricular Septal Defect; Ventricular Septal Defect(s); Other	N
CHDMULT	2317	Atrial Isomerism/Heterotaxy; Transposition of the Great Arteries; Atrioventricular Septal Defect; Ventricular Septal Def	N
CHDMULT	2318	Hypoplastic Left Heart Syndrome; Transposition of the Great Arteries; Atrioventricular Septal Defect; Ventricular Septal	N
CHDMULT	2319	Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndrome; Transposition of the Great Arteries; Atrioventricular Sept	N
CHDMULT	2320	Other left Heart Valvar/Structural Hypoplasia; Ventricular Septal Defect(s); Other	N
CHDMULT	2321	Atrial Isomerism/Heterotaxy; Other left Heart Valvar/Structural Hypoplasia; Ventricular Septal Defect(s); Other	N
CHDMULT	2322	Hypoplastic Left Heart Syndrome; Other left Heart Valvar/Structural Hypoplasia; Ventricular Septal Defect(s); Other	N
CHDMULT	2323	Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndrome; Other left Heart Valvar/Structural Hypoplasia; Ventricular	N
CHDMULT	2324	Transposition of the Great Arteries; Other left Heart Valvar/Structural Hypoplasia; Ventricular Septal Defect(s); Other	N
CHDMULT	2325	Atrial Isomerism/Heterotaxy; Transposition of the Great Arteries; Other left Heart Valvar/Structural Hypoplasia; Ventric	N
CHDMULT	2326	Hypoplastic Left Heart Syndrome; Transposition of the Great Arteries; Other left Heart Valvar/Structural Hypoplasia; Ven	N
CHDMULT	2327	Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndrome; Transposition of the Great Arteries; Other left Heart Valv	N
CHDMULT	2328	Atrioventricular Septal Defect; Other left Heart Valvar/Structural Hypoplasia; Ventricular Septal Defect(s); Other	N
CHDMULT	2329	Atrial Isomerism/Heterotaxy; Atrioventricular Septal Defect; Other left Heart Valvar/Structural Hypoplasia; Ventricular	N
CHDMULT	2330	Hypoplastic Left Heart Syndrome; Atrioventricular Septal Defect; Other left Heart Valvar/Structural Hypoplasia; Ventricu	N
CHDMULT	2331	Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndrome; Atrioventricular Septal Defect; Other left Heart Valvar/St	N
CHDMULT	2332	Transposition of the Great Arteries; Atrioventricular Septal Defect; Other left Heart Valvar/Structural Hypoplasia; Vent	N
CHDMULT	2333	Atrial Isomerism/Heterotaxy; Transposition of the Great Arteries; Atrioventricular Septal Defect; Other left Heart Valva	N
CHDMULT	2334	Hypoplastic Left Heart Syndrome; Transposition of the Great Arteries; Atrioventricular Septal Defect; Other left Heart V	N
CHDMULT	2335	Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndrome; Transposition of the Great Arteries; Atrioventricular Sept	N
CHDMULT	2336	Truncus Arteriosus; Ventricular Septal Defect(s); Other	N
CHDMULT	2337	Atrial Isomerism/Heterotaxy; Truncus Arteriosus; Ventricular Septal Defect(s); Other	N
CHDMULT	2338	Hypoplastic Left Heart Syndrome; Truncus Arteriosus; Ventricular Septal Defect(s); Other	N
CHDMULT	2339	Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndrome; Truncus Arteriosus; Ventricular Septal Defect(s); Other	N
CHDMULT	2340	Transposition of the Great Arteries; Truncus Arteriosus; Ventricular Septal Defect(s); Other	N
CHDMULT	2341	Atrial Isomerism/Heterotaxy; Transposition of the Great Arteries; Truncus Arteriosus; Ventricular Septal Defect(s); Othe	N
CHDMULT	2342	Hypoplastic Left Heart Syndrome; Transposition of the Great Arteries; Truncus Arteriosus; Ventricular Septal Defect(s);	N
CHDMULT	2343	Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndrome; Transposition of the Great Arteries; Truncus Arteriosus; V	N
CHDMULT	2344	Atrioventricular Septal Defect; Truncus Arteriosus; Ventricular Septal Defect(s); Other	N
CHDMULT	2345	Atrial Isomerism/Heterotaxy; Atrioventricular Septal Defect; Truncus Arteriosus; Ventricular Septal Defect(s); Other	N
CHDMULT	2346	Hypoplastic Left Heart Syndrome; Atrioventricular Septal Defect; Truncus Arteriosus; Ventricular Septal Defect(s); Other	N
CHDMULT	2347	Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndrome; Atrioventricular Septal Defect; Truncus Arteriosus; Ventri	N
CHDMULT	2348	Transposition of the Great Arteries; Atrioventricular Septal Defect; Truncus Arteriosus; Ventricular Septal Defect(s); O	N
CHDMULT	2349	Atrial Isomerism/Heterotaxy; Transposition of the Great Arteries; Atrioventricular Septal Defect; Truncus Arteriosus; Ve	N
CHDMULT	2350	Hypoplastic Left Heart Syndrome; Transposition of the Great Arteries; Atrioventricular Septal Defect; Truncus Arteriosus	N
CHDMULT	2351	Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndrome; Transposition of the Great Arteries; Atrioventricular Sept	N
CHDMULT	2352	Other left Heart Valvar/Structural Hypoplasia; Truncus Arteriosus; Ventricular Septal Defect(s); Other	N
CHDMULT	2353	Atrial Isomerism/Heterotaxy; Other left Heart Valvar/Structural Hypoplasia; Truncus Arteriosus; Ventricular Septal Defec	N
CHDMULT	2354	Hypoplastic Left Heart Syndrome; Other left Heart Valvar/Structural Hypoplasia; Truncus Arteriosus; Ventricular Septal D	N
CHDMULT	2355	Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndrome; Other left Heart Valvar/Structural Hypoplasia; Truncus Art	N
CHDMULT	2356	Transposition of the Great Arteries; Other left Heart Valvar/Structural Hypoplasia; Truncus Arteriosus; Ventricular Sept	N
CHDMULT	2357	Atrial Isomerism/Heterotaxy; Transposition of the Great Arteries; Other left Heart Valvar/Structural Hypoplasia; Truncus	N
CHDMULT	2358	Hypoplastic Left Heart Syndrome; Transposition of the Great Arteries; Other left Heart Valvar/Structural Hypoplasia; Tru	N
CHDMULT	2359	Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndrome; Transposition of the Great Arteries; Other left Heart Valv	N
CHDMULT	2360	Atrioventricular Septal Defect; Other left Heart Valvar/Structural Hypoplasia; Truncus Arteriosus; Ventricular Septal De	N
CHDMULT	2361	Atrial Isomerism/Heterotaxy; Atrioventricular Septal Defect; Other left Heart Valvar/Structural Hypoplasia; Truncus Arte	N
CHDMULT	2362	Hypoplastic Left Heart Syndrome; Atrioventricular Septal Defect; Other left Heart Valvar/Structural Hypoplasia; Truncus	N
CHDMULT	2363	Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndrome; Atrioventricular Septal Defect; Other left Heart Valvar/St	N
CHDMULT	2364	Transposition of the Great Arteries; Atrioventricular Septal Defect; Other left Heart Valvar/Structural Hypoplasia; Trun	N
CHDMULT	2365	Atrial Isomerism/Heterotaxy; Transposition of the Great Arteries; Atrioventricular Septal Defect; Other left Heart Valva	N
CHDMULT	2366	Hypoplastic Left Heart Syndrome; Transposition of the Great Arteries; Atrioventricular Septal Defect; Other left Heart V	N
CHDMULT	2367	Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndrome; Transposition of the Great Arteries; Atrioventricular Sept	N
CHDMULT	2368	Congenitally Corrected Transposition (L-TGA); Ventricular Septal Defect(s); Other	N
CHDMULT	2369	Atrial Isomerism/Heterotaxy; Congenitally Corrected Transposition (L-TGA); Ventricular Septal Defect(s); Other	N
CHDMULT	2370	Hypoplastic Left Heart Syndrome; Congenitally Corrected Transposition (L-TGA); Ventricular Septal Defect(s); Other	N
CHDMULT	2371	Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndrome; Congenitally Corrected Transposition (L-TGA); Ventricular	N
CHDMULT	2372	Transposition of the Great Arteries; Congenitally Corrected Transposition (L-TGA); Ventricular Septal Defect(s); Other	N
CHDMULT	2373	Atrial Isomerism/Heterotaxy; Transposition of the Great Arteries; Congenitally Corrected Transposition (L-TGA); Ventricu	N
CHDMULT	2374	Hypoplastic Left Heart Syndrome; Transposition of the Great Arteries; Congenitally Corrected Transposition (L-TGA); Vent	N
CHDMULT	2375	Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndrome; Transposition of the Great Arteries; Congenitally Correcte	N
CHDMULT	2376	Atrioventricular Septal Defect; Congenitally Corrected Transposition (L-TGA); Ventricular Septal Defect(s); Other	N
CHDMULT	2377	Atrial Isomerism/Heterotaxy; Atrioventricular Septal Defect; Congenitally Corrected Transposition (L-TGA); Ventricular S	N
CHDMULT	2378	Hypoplastic Left Heart Syndrome; Atrioventricular Septal Defect; Congenitally Corrected Transposition (L-TGA); Ventricul	N
CHDMULT	2379	Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndrome; Atrioventricular Septal Defect; Congenitally Corrected Tra	N
CHDMULT	2380	Transposition of the Great Arteries; Atrioventricular Septal Defect; Congenitally Corrected Transposition (L-TGA); Ventr	N
CHDMULT	2381	Atrial Isomerism/Heterotaxy; Transposition of the Great Arteries; Atrioventricular Septal Defect; Congenitally Corrected	N
CHDMULT	2382	Hypoplastic Left Heart Syndrome; Transposition of the Great Arteries; Atrioventricular Septal Defect; Congenitally Corre	N
CHDMULT	2383	Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndrome; Transposition of the Great Arteries; Atrioventricular Sept	N
CHDMULT	2384	Other left Heart Valvar/Structural Hypoplasia; Congenitally Corrected Transposition (L-TGA); Ventricular Septal Defect(s	N
CHDMULT	2385	Atrial Isomerism/Heterotaxy; Other left Heart Valvar/Structural Hypoplasia; Congenitally Corrected Transposition (L-TGA)	N
CHDMULT	2386	Hypoplastic Left Heart Syndrome; Other left Heart Valvar/Structural Hypoplasia; Congenitally Corrected Transposition (L-	N
CHDMULT	2387	Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndrome; Other left Heart Valvar/Structural Hypoplasia; Congenitall	N
CHDMULT	2388	Transposition of the Great Arteries; Other left Heart Valvar/Structural Hypoplasia; Congenitally Corrected Transposition	N
CHDMULT	2389	Atrial Isomerism/Heterotaxy; Transposition of the Great Arteries; Other left Heart Valvar/Structural Hypoplasia; Congeni	N
CHDMULT	2390	Hypoplastic Left Heart Syndrome; Transposition of the Great Arteries; Other left Heart Valvar/Structural Hypoplasia; Con	N
CHDMULT	2391	Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndrome; Transposition of the Great Arteries; Other left Heart Valv	N
CHDMULT	2392	Atrioventricular Septal Defect; Other left Heart Valvar/Structural Hypoplasia; Congenitally Corrected Transposition (L-T	N
CHDMULT	2393	Atrial Isomerism/Heterotaxy; Atrioventricular Septal Defect; Other left Heart Valvar/Structural Hypoplasia; Congenitally	N
CHDMULT	2394	Hypoplastic Left Heart Syndrome; Atrioventricular Septal Defect; Other left Heart Valvar/Structural Hypoplasia; Congenit	N
CHDMULT	2395	Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndrome; Atrioventricular Septal Defect; Other left Heart Valvar/St	N
CHDMULT	2396	Transposition of the Great Arteries; Atrioventricular Septal Defect; Other left Heart Valvar/Structural Hypoplasia; Cong	N
CHDMULT	2397	Atrial Isomerism/Heterotaxy; Transposition of the Great Arteries; Atrioventricular Septal Defect; Other left Heart Valva	N
CHDMULT	2398	Hypoplastic Left Heart Syndrome; Transposition of the Great Arteries; Atrioventricular Septal Defect; Other left Heart V	N
CHDMULT	2399	Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndrome; Transposition of the Great Arteries; Atrioventricular Sept	N
CHDMULT	2400	Truncus Arteriosus; Congenitally Corrected Transposition (L-TGA); Ventricular Septal Defect(s); Other	N
CHDMULT	2401	Atrial Isomerism/Heterotaxy; Truncus Arteriosus; Congenitally Corrected Transposition (L-TGA); Ventricular Septal Defect	N
CHDMULT	2402	Hypoplastic Left Heart Syndrome; Truncus Arteriosus; Congenitally Corrected Transposition (L-TGA); Ventricular Septal De	N
CHDMULT	2403	Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndrome; Truncus Arteriosus; Congenitally Corrected Transposition (	N
CHDMULT	2404	Transposition of the Great Arteries; Truncus Arteriosus; Congenitally Corrected Transposition (L-TGA); Ventricular Septa	N
CHDMULT	2405	Atrial Isomerism/Heterotaxy; Transposition of the Great Arteries; Truncus Arteriosus; Congenitally Corrected Transpositi	N
CHDMULT	2406	Hypoplastic Left Heart Syndrome; Transposition of the Great Arteries; Truncus Arteriosus; Congenitally Corrected Transpo	N
CHDMULT	2407	Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndrome; Transposition of the Great Arteries; Truncus Arteriosus; C	N
CHDMULT	2408	Atrioventricular Septal Defect; Truncus Arteriosus; Congenitally Corrected Transposition (L-TGA); Ventricular Septal Def	N
CHDMULT	2409	Atrial Isomerism/Heterotaxy; Atrioventricular Septal Defect; Truncus Arteriosus; Congenitally Corrected Transposition (L	N
CHDMULT	2410	Hypoplastic Left Heart Syndrome; Atrioventricular Septal Defect; Truncus Arteriosus; Congenitally Corrected Transpositio	N
CHDMULT	2411	Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndrome; Atrioventricular Septal Defect; Truncus Arteriosus; Congen	N
CHDMULT	2412	Transposition of the Great Arteries; Atrioventricular Septal Defect; Truncus Arteriosus; Congenitally Corrected Transpos	N
CHDMULT	2413	Atrial Isomerism/Heterotaxy; Transposition of the Great Arteries; Atrioventricular Septal Defect; Truncus Arteriosus; Co	N
CHDMULT	2414	Hypoplastic Left Heart Syndrome; Transposition of the Great Arteries; Atrioventricular Septal Defect; Truncus Arteriosus	N
CHDMULT	2415	Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndrome; Transposition of the Great Arteries; Atrioventricular Sept	N
CHDMULT	2416	Other left Heart Valvar/Structural Hypoplasia; Truncus Arteriosus; Congenitally Corrected Transposition (L-TGA); Ventric	N
CHDMULT	2417	Atrial Isomerism/Heterotaxy; Other left Heart Valvar/Structural Hypoplasia; Truncus Arteriosus; Congenitally Corrected T	N
CHDMULT	2418	Hypoplastic Left Heart Syndrome; Other left Heart Valvar/Structural Hypoplasia; Truncus Arteriosus; Congenitally Correct	N
CHDMULT	2419	Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndrome; Other left Heart Valvar/Structural Hypoplasia; Truncus Art	N
CHDMULT	2420	Transposition of the Great Arteries; Other left Heart Valvar/Structural Hypoplasia; Truncus Arteriosus; Congenitally Cor	N
CHDMULT	2421	Atrial Isomerism/Heterotaxy; Transposition of the Great Arteries; Other left Heart Valvar/Structural Hypoplasia; Truncus	N
CHDMULT	2422	Hypoplastic Left Heart Syndrome; Transposition of the Great Arteries; Other left Heart Valvar/Structural Hypoplasia; Tru	N
CHDMULT	2423	Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndrome; Transposition of the Great Arteries; Other left Heart Valv	N
CHDMULT	2424	Atrioventricular Septal Defect; Other left Heart Valvar/Structural Hypoplasia; Truncus Arteriosus; Congenitally Correcte	N
CHDMULT	2425	Atrial Isomerism/Heterotaxy; Atrioventricular Septal Defect; Other left Heart Valvar/Structural Hypoplasia; Truncus Arte	N
CHDMULT	2426	Hypoplastic Left Heart Syndrome; Atrioventricular Septal Defect; Other left Heart Valvar/Structural Hypoplasia; Truncus	N
CHDMULT	2427	Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndrome; Atrioventricular Septal Defect; Other left Heart Valvar/St	N
CHDMULT	2428	Transposition of the Great Arteries; Atrioventricular Septal Defect; Other left Heart Valvar/Structural Hypoplasia; Trun	N
CHDMULT	2429	Atrial Isomerism/Heterotaxy; Transposition of the Great Arteries; Atrioventricular Septal Defect; Other left Heart Valva	N
CHDMULT	2430	Hypoplastic Left Heart Syndrome; Transposition of the Great Arteries; Atrioventricular Septal Defect; Other left Heart V	N
CHDMULT	2431	Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndrome; Transposition of the Great Arteries; Atrioventricular Sept	N
CHDMULT	2432	Pulmonary Atresia with Intact Ventricular Septum; Ventricular Septal Defect(s); Other	N
CHDMULT	2433	Atrial Isomerism/Heterotaxy; Pulmonary Atresia with Intact Ventricular Septum; Ventricular Septal Defect(s); Other	N
CHDMULT	2434	Hypoplastic Left Heart Syndrome; Pulmonary Atresia with Intact Ventricular Septum; Ventricular Septal Defect(s); Other	N
CHDMULT	2435	Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndrome; Pulmonary Atresia with Intact Ventricular Septum; Ventricu	N
CHDMULT	2436	Transposition of the Great Arteries; Pulmonary Atresia with Intact Ventricular Septum; Ventricular Septal Defect(s); Oth	N
CHDMULT	2437	Atrial Isomerism/Heterotaxy; Transposition of the Great Arteries; Pulmonary Atresia with Intact Ventricular Septum; Vent	N
CHDMULT	2438	Hypoplastic Left Heart Syndrome; Transposition of the Great Arteries; Pulmonary Atresia with Intact Ventricular Septum;	N
CHDMULT	2439	Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndrome; Transposition of the Great Arteries; Pulmonary Atresia wit	N
CHDMULT	2440	Atrioventricular Septal Defect; Pulmonary Atresia with Intact Ventricular Septum; Ventricular Septal Defect(s); Other	N
CHDMULT	2441	Atrial Isomerism/Heterotaxy; Atrioventricular Septal Defect; Pulmonary Atresia with Intact Ventricular Septum; Ventricul	N
CHDMULT	2442	Hypoplastic Left Heart Syndrome; Atrioventricular Septal Defect; Pulmonary Atresia with Intact Ventricular Septum; Ventr	N
CHDMULT	2443	Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndrome; Atrioventricular Septal Defect; Pulmonary Atresia with Int	N
CHDMULT	2444	Transposition of the Great Arteries; Atrioventricular Septal Defect; Pulmonary Atresia with Intact Ventricular Septum; V	N
CHDMULT	2445	Atrial Isomerism/Heterotaxy; Transposition of the Great Arteries; Atrioventricular Septal Defect; Pulmonary Atresia with	N
CHDMULT	2446	Hypoplastic Left Heart Syndrome; Transposition of the Great Arteries; Atrioventricular Septal Defect; Pulmonary Atresia	N
CHDMULT	2447	Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndrome; Transposition of the Great Arteries; Atrioventricular Sept	N
CHDMULT	2448	Other left Heart Valvar/Structural Hypoplasia; Pulmonary Atresia with Intact Ventricular Septum; Ventricular Septal Defe	N
CHDMULT	2449	Atrial Isomerism/Heterotaxy; Other left Heart Valvar/Structural Hypoplasia; Pulmonary Atresia with Intact Ventricular Se	N
CHDMULT	2450	Hypoplastic Left Heart Syndrome; Other left Heart Valvar/Structural Hypoplasia; Pulmonary Atresia with Intact Ventricula	N
CHDMULT	2451	Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndrome; Other left Heart Valvar/Structural Hypoplasia; Pulmonary A	N
CHDMULT	2452	Transposition of the Great Arteries; Other left Heart Valvar/Structural Hypoplasia; Pulmonary Atresia with Intact Ventri	N
CHDMULT	2453	Atrial Isomerism/Heterotaxy; Transposition of the Great Arteries; Other left Heart Valvar/Structural Hypoplasia; Pulmona	N
CHDMULT	2454	Hypoplastic Left Heart Syndrome; Transposition of the Great Arteries; Other left Heart Valvar/Structural Hypoplasia; Pul	N
CHDMULT	2455	Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndrome; Transposition of the Great Arteries; Other left Heart Valv	N
CHDMULT	2456	Atrioventricular Septal Defect; Other left Heart Valvar/Structural Hypoplasia; Pulmonary Atresia with Intact Ventricular	N
CHDMULT	2457	Atrial Isomerism/Heterotaxy; Atrioventricular Septal Defect; Other left Heart Valvar/Structural Hypoplasia; Pulmonary At	N
CHDMULT	2458	Hypoplastic Left Heart Syndrome; Atrioventricular Septal Defect; Other left Heart Valvar/Structural Hypoplasia; Pulmonar	N
CHDMULT	2459	Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndrome; Atrioventricular Septal Defect; Other left Heart Valvar/St	N
CHDMULT	2460	Transposition of the Great Arteries; Atrioventricular Septal Defect; Other left Heart Valvar/Structural Hypoplasia; Pulm	N
CHDMULT	2461	Atrial Isomerism/Heterotaxy; Transposition of the Great Arteries; Atrioventricular Septal Defect; Other left Heart Valva	N
CHDMULT	2462	Hypoplastic Left Heart Syndrome; Transposition of the Great Arteries; Atrioventricular Septal Defect; Other left Heart V	N
CHDMULT	2463	Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndrome; Transposition of the Great Arteries; Atrioventricular Sept	N
CHDMULT	2464	Truncus Arteriosus; Pulmonary Atresia with Intact Ventricular Septum; Ventricular Septal Defect(s); Other	N
CHDMULT	2465	Atrial Isomerism/Heterotaxy; Truncus Arteriosus; Pulmonary Atresia with Intact Ventricular Septum; Ventricular Septal De	N
CHDMULT	2466	Hypoplastic Left Heart Syndrome; Truncus Arteriosus; Pulmonary Atresia with Intact Ventricular Septum; Ventricular Septa	N
CHDMULT	2467	Atrial Isomerism/Heterotaxy; Hypoplastic Left Heart Syndrome; Truncus Arteriosus; Pulmonary Atresia with Intact Ventricu	N
CHDMULT	2468	Transposition of the Great Arteries; Truncus Arteriosus; Pulmonary Atresia with Intact Ventricular Septum; Ventricular S	N
CHDMULT	2469	Atrial Isomerism/Heterotaxy; Transposition of the Great Arteries; Truncus Arteriosus; Pulmonary Atresia with Intact Vent	N
CHDMULT	2470	Hypoplastic Left Heart Syndrome; Transposition of the Great Arteries; Truncus Arteriosus; Pulmonary Atresia with Intact	N
