"STAR Table Name: THORACIC_DATA
Variable Names in red font denote that field has important information in the Comment field

The data files created based on data as of 4/5/2024 will include data for registrations added and/or transplants occurring through 03/31/2024"	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8
END_CPRA	CPRA at time of Removal	CALCULATED	2023-01-26 00:00:00			NUM		
END_CREAT	Serum Creatinine at TRR/Offer/Removal/Current Time (HL, LU only) 	WAITING LIST DATA			WAITING LIST DATA	NUM		(HL, LU only) Since May 4, 2005 collected on waitlist as LAS calculation, prior was collected on TCR
END_DATE	EARLIEST OF DATES OF REMOVAL FROM WAITING LIST, TRANSPLANT, DEATH, OR TIME COPY OF DATA CREATED	WAITING LIST DATA	1987-10-01 00:00:00		WAITING LIST DATA	NUM		IF PATIENT TRANSPLANTED OR DIED, BUT WAS REMOVED AFTER THE EVENT, END_DATE IS BACKDATED TO GIVE THE DATE OF EVENT
END_HGT_CM_CALC	Calculated Candidate Height in CM at Removal/Current Time	CALCULATED				NUM		
END_LLU_FLG	LUNG PREFERENCE AT REMOVAL/CURRENT TIME/ TCR - LEFT (1=Y)	WAITING LIST DATA	1995-03-01 00:00:00		WAITING LIST DATA	NUM		
END_MATCH_CAS	Tx Offer/Removal/Current Match Lung CAS Score		2023-03-09 00:00:00			NUM		
END_MATCH_CAS_BIO_SCORE	Tx Offer/Removal/Current Match Lung CAS Biological Disadvantages Score		2023-03-09 00:00:00			NUM		
END_MATCH_CAS_POSTTX_SCORE	Tx Offer/Removal/Current Match Lung CAS Post-transplant Outcomes Score		2023-03-09 00:00:00			NUM		
END_MATCH_CAS_PTACC_SCORE	Tx Offer/Removal/Current Match Lung CAS Patient Access Score		2023-03-09 00:00:00			NUM		
END_MATCH_CAS_SUBSCORE	Tx Offer/Removal/Current Match Lung CAS Sub-Score (without proximity efficiency points)		2023-03-09 00:00:00			NUM		
END_MATCH_CAS_WL_SCORE	Tx Offer/Removal/Current Match Lung CAS Medical Urgency Score		2023-03-09 00:00:00			NUM		
END_MATCH_LAS	REMOVAL/CURRENT LUNG ALLOCATION SCORE AT MATCH TIME	CALCULATED	2005-05-04 00:00:00			NUM		
END_O2	O2 Requirement at Rest at TRR/Offer/Removal/Current Time	WAITING LIST DATA			WAITING LIST DATA	NUM		
END_OPO_CTR_CODE	ENCRYPTED REMOVAL/CURRENT OPO MAPPED FROM LISTING CENTER AND ENDING DATE	CALCULATED				CHAR(7)		
END_PRIORITY	PEDIATRIC LUNG PRIORITY AT OFFER/TX/REMOVAL/CURRENT TIME	CALCULATED				NUM		
END_RLU_FLG	LUNG PREFERENCE AT REMOVAL/CURRENT TIME/ TCR - RIGHT (1=Y)	WAITING LIST DATA	1995-03-01 00:00:00		WAITING LIST DATA	NUM		
END_SHK_ELIGIBLE_FLAG	Safteynet flag indicating if Heart patient is eligible for a kidney transplant at time of Tx Offer/Removal/Current	CALCULATED	2023-06-29 00:00:00			CHAR		
END_SLUK_ELIGIBLE_FLAG	Safteynet flag indicating if Lung patient is eligible for a kidney transplant at time of Tx Offer/Removal/Current	CALCULATED	2023-06-29 00:00:00			CHAR		
END_STAT	CANDIDATE STATUS AT TRANSPLANT OFFER/REMOVALCURRENT TIME	TRR>TCR	1990-01-01 00:00:00		WAITING LIST DATA	NUM	STAT	
END_WGT_KG_CALC	Calculated Candidate Weight in KG at Removal/Current Time	CALCULATED				NUM		
EPINEPHRINEPOSTTX24	POST TRANSPLANT AT 24 HOURS//INOTROPE SUPPORT AT 24 HOURS//EPINEPHRINE:	TRR	2023-09-14 00:00:00			NUM	EPINEPH	
EPINEPHRINEPOSTTX72	POST TRANSPLANT AT 72 HOURS//INOTROPE SUPPORT AT 72 HOURS//EPINEPHRINE:	TRR	2023-09-14 00:00:00			NUM	EPINEPH	
EPOPROSTENOLPOSTTX24	POST TRANSPLANT AT 24 HOURS//EPOPROSTENOL AT 24 HOURS FOLLOWING TRANSPLANT:	TRR	2023-09-14 00:00:00			CHAR(1)		
EPOPROSTENOLPOSTTX72	POST TRANSPLANT AT 72 HOURS//EPOPROSTENOL AT 72 HOURS FOLLOWING TRANSPLANT:	TRR	2023-09-14 00:00:00			CHAR(1)		
ETHCAT	RECIPIENT ETHNICITY CATEGORY	TCR-CALCULATED			CANDIDATE INFORMATION	NUM	ETHCAT	
ETHCAT_DON	DONOR ETHNICITY CATEGORY	DDR/LDR-CALCULATED			DONOR INFORMATION	NUM		
ETHNICITY	RECIPIENT ETHNICITY (HISPANIC VS. NON-HISPANIC)	TCR	1994-04-01 00:00:00		CANDIDATE INFORMATION	NUM	ETHN	
EXERCISE_O2	EXERCISE OXYGEN CONSUMPTION ML/MIN/KG @ REGISTRATION	TCR	1999-10-25 00:00:00		CLINICAL INFORMATION	NUM		
EXTRACRANIAL_CANCER_DON	DECEASED DONOR-EXTRACANIAL CANCER AT PROCUREMENT	DDR	1994-04-01 00:00:00		DONOR HISTORY	CHAR(1)		
FEV1_TRR	PULMONARY STATUS: FEV1 % PREDICTED @ TRANSPLANT	TRR	1990-10-01 00:00:00		PRETRANSPLANT CLINICAL INFORMATION	NUM		
FIO2_72HOURS	Recipient FiO2 at 72 Hours	TRR	2015-03-31 00:00:00		CLINICAL INFORMATION	NUM		
FUNC_STAT_TCR	RECIPIENT FUNCTIONAL STATUS @ REGISTRATION	TCR	1994-04-01 00:00:00		CANDIDATE INFORMATION	NUM	FUNCSTAT	
FUNC_STAT_TRF	TRF FUNCTIONAL STATUS @ TRR/FOL	TRR/TRF	1997-04-01 00:00:00		PATIENT STATUS AT TIME OF FOLLOW-UP	NUM	FUNCSTAT	
FUNC_STAT_TRR	RECIPIENT FUNCTIONAL STATUS @TRANSPLANT	TRR	1994-04-01 00:00:00		PATIENT STATUS	NUM	FUNCSTAT	
FVC_TRR	PULMONARY STATUS: FVC % PREDICTED @ TRANSPLANT	TRR	1990-10-01 00:00:00		PRETRANSPLANT CLINICAL INFORMATION	NUM		
GENDER	RECIPIENT GENDER	TCR	1987-10-01 00:00:00		CANDIDATE INFORMATION	CHAR(1)	SEX	
GENDER_DON	DONOR GENDER	DDR/LDR	1987-10-01 00:00:00		DONOR INFORMATION	CHAR(1)	SEX	
GRF_FAIL_CAUSE	CAUSE OF GRAFT FAILURE	TRR/TRF 	2004-06-30 00:00:00		CLINICAL INFORMATION	NUM	PRIGFAIL	
GRF_FAIL_DATE	DATE OF GRAFT FAILURE	TRR/TRF 	2004-06-30 00:00:00		CLINICAL INFORMATION	NUM		
GRF_STAT	GRAFT STATUS	TRR/TRF 	2004-06-30 00:00:00		CLINICAL INFORMATION	CHAR(1)	GRFSTAT	
GROUPING	LU/HL DIAGNOSIS GROUPING ON WL(ON THORACIC_DGN/TCR_TGN/TRR_DGN)	TCR/TRR				CHAR(1)		
GSTATUS	GRAFT FAILED (1=YES)	CALCULATED				NUM		
GTIME	GRAFT LIFESPAN-Days From Transplant to Failure/Death/Last Follow-Up	CALCULATED				NUM		
HASHBVVACCINATION	Did Recipient Receive Hepatitis B Vaccines Prior to Transplant?	TRR	2022-08-30 00:00:00			Char(1)	YNU	
HBSAB_DON	DECEASED DONOR HBSAB TEST RESULT	DDR	2006-05-03 00:00:00		CLINICAL INFORMATION	CHAR(2)	SERSTAT	
HBV_CORE	RECIPIENT HEPATITIS B-CORE ANTIBODY	TRR	1987-10-01 00:00:00			CHAR(2)	SERSTAT	
HBV_CORE_DON	DONOR HBV CORE ANTIBODY	DDR/LDR	1994-04-01 00:00:00			CHAR(2)	SERSTAT	
HBV_DNA_DON	LIVING DONOR HBV DNA	LDR	1994-04-01 00:00:00			CHAR(2)	SERSTAT	
HBV_NAT	TRR HBV NAT RESULT	TRR	2018-02-28 00:00:00		PRETRANSPLANT CLINICAL INFORMATION	CHAR(2)		
HBV_NAT_DON	DDR HBV NAT Results:	DDR	2015-03-31 00:00:00		CLINICAL INFORMATION	CHAR(2)	SERSTAT	
HBV_SUR_ANTIGEN	RECIPIENT HEP B SURFACE ANTIGEN	TRR	1987-10-01 00:00:00			CHAR(2)	SERSTAT	
HBV_SUR_ANTIGEN_DON	DONOR HEP B SURFACE ANTIGEN	DDR/LDR	1987-10-01 00:00:00			CHAR(2)	SERSTAT	
HBV_SURF_TOTAL	RECIPIENT HBV Surface Antibody Total @ TRANSPLANT	TRR	2015-03-31 00:00:00		CLINICAL INFORMATION	CHAR(2)	SERSTAT	
HBV_TEST_DON	LIVING DONOR HBV TEST DONE	LDR	1994-04-01 00:00:00			CHAR(1)		
HCV_ANTIBODY_DON	LIVING DONOR HEP C ANTIBODY	LDR	1994-04-01 00:00:00			CHAR(2)	SERSTAT	
HCV_NAT	TRR HCV NAT RESULT	TRR	2018-02-28 00:00:00		PRETRANSPLANT CLINICAL INFORMATION	CHAR(2)		
HCV_NAT_DON	DDR HCV NAT Results:	DDR	2015-03-31 00:00:00		CLINICAL INFORMATION	CHAR(2)	SERSTAT	
HCV_RIBA_DON	LIVING DONOR HEP C-RIBA TEST	LDR	1994-04-01 00:00:00			CHAR(2)	SERSTAT	
HCV_RNA_DON	LIVING DONOR HEP C RNA	LDR	1994-04-01 00:00:00			CHAR(2)	SERSTAT	
HCV_SEROSTATUS	RECIPIENT HEP C STATUS	TRR	1994-04-01 00:00:00			CHAR(2)	SERSTAT	
HCV_TEST_DON	LIVING DONOR HEP C TEST DONE?	LDR	1994-04-01 00:00:00			CHAR(1)		
HEARTCHECKINDATE	Heart Check-In Date	TRR	2023-09-14 00:00:00			NUM		
HEARTCHECKINTIME	Heart Check-In Time	TRR	2023-09-14 00:00:00			NUM		
HEARTCHECKINTIMEZONEID	Heart Check-In //Time Zone	TRR	2023-09-14 00:00:00			NUM	commontz	
HEMATOCRIT_DON	DDR:Hematocrit:	DDR	2004-06-30 00:00:00		CLINICAL INFORMATION	NUM		
HEMO_CO_TCR	MOST RECENT HEMODYNAMICS CO L/MIN @ REGISTRATION	TCR	1994-04-01 00:00:00		CLINICAL INFORMATION	NUM		BOTH BEST AND BASELINE COLLECTED BETWEEN 04/01/1994 AND 10/25/1999. AFTER 10/25/1999 ONE VALUE COLLECTED.
HEMO_CO_TRR	MOST RECENT HEMODYNAMICS CO L/MIN @ TRANSPLANT	TRR	1994-04-01 00:00:00		PRETRANSPLANT CLINICAL INFORMATION	NUM		BOTH BEST AND BASELINE COLLECTED BETWEEN 04/01/1994 AND 10/25/1999. AFTER 10/25/1999 ONE VALUE COLLECTED.
HEMO_PA_DIA_TCR	MOST RECENT HEMODYNAMICS PA (DIA) MM/HG @ REGISTRATION	TCR	1994-04-01 00:00:00		CLINICAL INFORMATION	NUM		BOTH BEST AND BASELINE COLLECTED BETWEEN 04/01/1994 AND 10/25/1999. AFTER 10/25/1999 ONE VALUE COLLECTED.
HEMO_PA_DIA_TRR	MOST RECENT HEMODYNAMICS PA (DIA) MM/HG @ TRANSPLANT	TRR	1994-04-01 00:00:00		PRETRANSPLANT CLINICAL INFORMATION	NUM		BOTH BEST AND BASELINE COLLECTED BETWEEN 04/01/1994 AND 10/25/1999. AFTER 10/25/1999 ONE VALUE COLLECTED.
HEMO_PA_MN_TCR	MOST RECENT HEMODYNAMICS PA (MEAN) MM/HG @ REGISTRATION	TCR	1994-04-01 00:00:00		CLINICAL INFORMATION	NUM		BOTH BEST AND BASELINE COLLECTED BETWEEN 04/01/1994 AND 10/25/1999. AFTER 10/25/1999 ONE VALUE COLLECTED.
HEMO_PA_MN_TRR	MOST RECENT HEMODYNAMICS PA (MEAN) MM/HG @ TRANSPLANT	TRR	1994-04-01 00:00:00		PRETRANSPLANT CLINICAL INFORMATION	NUM		BOTH BEST AND BASELINE COLLECTED BETWEEN 04/01/1994 AND 10/25/1999. AFTER 10/25/1999 ONE VALUE COLLECTED.
HEMO_PCW_TCR	MOST RECENT HEMODYNAMICS PCW (MEAN) MM/HG @ REGISTRATION	TCR	1994-04-01 00:00:00		CLINICAL INFORMATION	NUM		BOTH BEST AND BASELINE COLLECTED BETWEEN 04/01/1994 AND 10/25/1999. AFTER 10/25/1999 ONE VALUE COLLECTED.
HEMO_PCW_TRR	MOST RECENT HEMODYNAMICS PCW (MEAN) MM/HG @ TRANSPLANT	TRR	1994-04-01 00:00:00		PRETRANSPLANT CLINICAL INFORMATION	NUM		BOTH BEST AND BASELINE COLLECTED BETWEEN 04/01/1994 AND 10/25/1999. AFTER 10/25/1999 ONE VALUE COLLECTED.
HEMO_SYS_TCR	MOST RECENT HEMODYNAMICS PA (SYS) MM/HG @ REGISTRATION	TCR	1994-04-01 00:00:00		CLINICAL INFORMATION	NUM		BOTH BEST AND BASELINE COLLECTED BETWEEN 04/01/1994 AND 10/25/1999. AFTER 10/25/1999 ONE VALUE COLLECTED.
HEMO_SYS_TRR	MOST RECENT HEMODYNAMICS PA (SYS) MM/HG @ TRANSPLANT	TRR	1994-04-01 00:00:00		PRETRANSPLANT CLINICAL INFORMATION	NUM		BOTH BEST AND BASELINE COLLECTED BETWEEN 04/01/1994 AND 10/25/1999. AFTER 10/25/1999 ONE VALUE COLLECTED.
HEP_C_ANTI_DON	DECEASED DONOR-ANTIBODY TO HEP C VIRUS RESULT	DDR	1994-04-01 00:00:00		CLINICAL INFORMATION	CHAR(2)	SERSTAT	
HEPARIN_DON	DECEASED DONOR MANAGEMENT - HEPARIN (NO COLLECTION BETWEEN 10/25/99 - 1/27/03)	DDR 	1994-04-01 00:00:00		CLINICAL INFORMATION	CHAR(1)		
HGT_CM_CALC	CALCULATED RECIPIENT HEIGHT(cm)	CALCULATED				NUM		
HGT_CM_DON_CALC	CALCULATED DONOR HEIGHT (CM)	CALCULATED				NUM		
HGT_CM_TCR	RECIPIENT HEIGHT @ REGISTRATION	TCR	1987-10-01 00:00:00		CLINICAL INFORMATION	NUM		
HIST_ALCOHOL_OLD_DON	DECEASED DONOR-HISTORY OF ALCOHOL DEPENDENCY	DDR	1994-04-01 00:00:00	2004-06-29 00:00:00	DONOR HISTORY	CHAR(1)		
HIST_CANCER_DON	DECEASED DONOR-HISTORY OF CANCER (Y/N)	DDR	1994-04-01 00:00:00		DONOR HISTORY	CHAR(1)		
HIST_CIG_DON	DECEASED DONOR-HISTORY OF CIGARETTES IN PAST @ >20PACK YRS	DDR	1994-04-01 00:00:00		DONOR HISTORY	CHAR(1)		
HIST_COCAINE_DON	DECEASED DONOR-HISTORY OF COCAINE USE IN PAST	DDR	1999-10-25 00:00:00		DONOR HISTORY	CHAR(1)		
HIST_DIABETES_DON	DECEASED DONOR-HISTORY OF DIABETES, INCL. DURATION OF DISEASE	DDR	1994-04-01 00:00:00		DONOR HISTORY	NUM	HISTDIAB	
HIST_HYPERTENS_DON	DECEASED DONOR-HISTORY OF HYPERTENSION	DDR	1994-04-01 00:00:00		DONOR HISTORY	CHAR(1)		
HIST_INSULIN_DEP_DON	DECEASED DONOR-INSULIN DEPENDENT DIABETES (Y,N)	DDR	1994-04-01 00:00:00		DONOR HISTORY	CHAR(1)		UNROLLED FROM INSULIN_DUR_DON TO INCLUDE ONLY THE Y,N RESPONSE
HIST_IV_DRUG_OLD_DON	DECEASED DONOR-HISTORY OF IV DRUG USE IN PAST	DDR	1994-04-01 00:00:00	2004-06-29 00:00:00	DONOR HISTORY	CHAR(1)		
HIST_MI	DECEASED DONOR HISTORY OF PREVIOUS MI (MYOCARDIAL INFARCTION)	DDR	1999-10-25 00:00:00		HEART DONOR'S CARDIAC FUNCTION	CHAR(1)		
HIST_OTH_DRUG_DON	DECEASED DONOR-HISTORY OF OTHER DRUG USE IN PAST	DDR	1994-04-01 00:00:00		DONOR HISTORY	CHAR(1)		
HISTRY_CIG_OLD	CIGARETTE USE > 20 PACK YRS (PRE-10/25/99)	TCR	1994-04-01 00:00:00	1999-10-25 00:00:00	HEART/LUNG MEDICAL FACTORS	CHAR(1)		
HIV_NAT	TRR HIV NAT RESULT	TRR	2018-02-28 00:00:00		PRETRANSPLANT CLINICAL INFORMATION	CHAR(2)		
HIV_NAT_DON	DDR HIV NAT Results:	DDR	2015-03-31 00:00:00		CLINICAL INFORMATION	CHAR(2)	SERSTAT	
HIV_SEROSTATUS	RECIPIENT HIV SEROSTATUS AT TRANSPLANT	TRR	1987-10-01 00:00:00		CLINICAL INFORMATION	CHAR(2)		
HLAMIS	HLA MISMATCH LEVEL	CALCULATED				NUM		
HOME_STATE_DON	DR HOME STATE	DDR/LDR	1987-10-01 00:00:00		DONOR INFORMATION	CHAR(2)	STATE	
HTLV1_OLD_DON	DECEASED DONOR-ANTIBODY TO HTLV I RESULT	DDR	1994-04-01 00:00:00	2004-06-29 00:00:00	CLINICAL INFORMATION	CHAR(2)	SERSTAT	
HTLV2_OLD_DON	DECEASED DONOR-ANTIBODY TO HTLV II RESULT	DDR	1994-04-01 00:00:00		CLINICAL INFORMATION	CHAR(2)	SERSTAT	
HYPERTENS_DUR_DON	DECEASED DONOR-HYPERTENSION DURATION	DDR	1994-04-01 00:00:00		DONOR HISTORY	NUM	HISTHYPE	
IABP_TCR	PATIENT ON LIFE SUPPORT - IABP @ REGISTRATION	TCR	1994-04-01 00:00:00		CANDIDATE INFORMATION	NUM		
IABP_TRR	PATIENT ON LIFE SUPPORT - IABP @ TRANSPLANT	TRR	1987-10-01 00:00:00		PATIENT STATUS	NUM		
IABPPOSTTX24	POST TRANSPLANT AT 24 HOURS//LIFE SUPPORT: IABP//INTRA AORTIC BALLOON PUMP	TRR	2023-09-14 00:00:00			NUM		
IABPPOSTTX72	POST TRANSPLANT AT 72 HOURS//LIFE SUPPORT: IABP//INTRA AORTIC BALLOON PUMP	TRR	2023-09-14 00:00:00			NUM		
ICU	CANDIDATE IN ICU	WL			WAITING LIST DATA	CHAR(1)		
IMPL_DEFIBRIL	IMPLANTABLE DEFIBRILLATOR Y/N/U @ REGISTRATION	TCR	1994-04-01 00:00:00		CLINICAL INFORMATION	CHAR(1)		
INACT_REASON_CD	REASON FOR INACTIVE STATUS	WAITING LIST DATA	2006-05-24 00:00:00		WAITING LIST DATA	NUM	INACTREA	
INFECT_IV_DRUG_TRR	INFECTION REQUIRING IV DRUG THERAPY (WITHIN 2 WEEKS PRIOR TO TRANSPLANT)	TRR	1994-04-01 00:00:00		PRETRANSPLANT CLINICAL INFORMATION	CHAR(1)		
INHALED_NO	CANDIDATE INHALED NO	WL			WAITING LIST DATA	NUM		
INHALED_NO_TCR	TCR Patient on Life Support://Inhaled NO	TCR	2004-06-30 00:00:00		CANDIDATE INFORMATION	NUM		
INHALED_NO_TRR	TRR Patient on Life Support://Inhaled NO	TRR			PATIENT STATUS	NUM		
INHALEDNITROUSOXIDEPOSTTX24	POST TRANSPLANT AT 24 HOURS//LIFE SUPPORT: INHALED NO//INHALED NO	TRR	2023-09-14 00:00:00			NUM		
INHALEDNITROUSOXIDEPOSTTX72	POST TRANSPLANT AT 72 HOURS//LIFE SUPPORT: INHALED NO//INHALED NO	TRR	2023-09-14 00:00:00			NUM		
INHALEDNO_72HOURS	Recipient Inhaled NO at 72 Hours	TRR	2015-03-31 00:00:00		CLINICAL INFORMATION	CHAR(2)		
INIT_AGE	AGE IN YEARS AT TIME OF LISTING	CALCULATED	1987-10-01 00:00:00			NUM		
INIT_BLU_FLG	LUNG PREFERENCE AT LISTING - BOTH (1=Y)	WAITING LIST DATA	1995-03-01 00:00:00		WAITING LIST DATA	NUM		
INIT_BMI_CALC	Calculated Candidate BMI at Listing	CALCULATED				NUM		
INIT_CALC_CAS_BIO_SCORE	Initial Calculated Lung CAS Biological Disadvantages Score		2023-03-09 00:00:00			NUM		
INIT_CALC_CAS_POSTTX_SCORE	Initial Calculated Lung CAS Post-transplant Outcomes Score		2023-03-09 00:00:00			NUM		
INIT_CALC_CAS_PTACC_SCORE	Initial Calculated Lung CAS Patient Access Score		2023-03-09 00:00:00			NUM		
INIT_CALC_CAS_SUBSCORE	Initial Calculated Lung CAS Sub-Score (without proximity efficiency points)		2023-03-09 00:00:00			NUM		
INIT_CALC_CAS_WL_SCORE	Initial Calculated Lung CAS Medical Urgency Score		2023-03-09 00:00:00			NUM		
INIT_CALC_LAS	INITIAL CALCULATED LUNG ALLOCATION SCORE	CALCULATED	2005-05-04 00:00:00			NUM		
INIT_CPRA	CPRA at time of Listing	CALCULATED	2023-01-26 00:00:00			NUM		
INIT_CREAT	Serum Creatinine at TCR/Listing (HL, LU only) 	WAITING LIST DATA			WAITING LIST DATA	NUM		(HL, LU only) Since May 4, 2005 collected on waitlist as LAS calculation, prior was collected on TCR
INIT_DATE	BEGINNING DATE FOR REGISTRATION	WAITING LIST DATA	1987-10-01 00:00:00		WAITING LIST DATA	NUM		
INIT_HGT_CM_CALC	Calculated Candidate Height in CM at Listing	CALCULATED				NUM		
INIT_LLU_FLG	LUNG PREFERENCE AT LISTING - LEFT (1=Y)	WAITING LIST DATA	1995-03-01 00:00:00		WAITING LIST DATA	NUM		
INIT_MATCH_CAS_BIO_SCORE	Initial Match Lung CAS Biological Disadvantages Score		2023-03-09 00:00:00			NUM		
INIT_MATCH_CAS_POSTTX_SCORE	Initial Match Lung CAS Post-transplant Outcomes Score		2023-03-09 00:00:00			NUM		
INIT_MATCH_CAS_PTACC_SCORE	Initial Match Lung CAS Patient Access Score		2023-03-09 00:00:00			NUM		
INIT_MATCH_CAS_SUBSCORE	Initial Match Lung CAS Sub-Score (without proximity efficiency points)		2023-03-09 00:00:00			NUM		
INIT_MATCH_CAS_WL_SCORE	Initial Match Lung CAS Medical Urgency Score		2023-03-09 00:00:00			NUM		
INIT_MATCH_LAS	INITIAL LUNG ALLOCATION SCORE AT MATCH TIME	CALCULATED	2005-05-04 00:00:00			NUM		
INIT_O2	O2 Requirement at Rest at TCR/Listing	WAITING LIST DATA			WAITING LIST DATA	NUM		
INIT_OPO_CTR_CODE	ENCRYPTED INITIAL OPO MAPPED FROM LISTING CENTER AND BEGINNING DATE	CALCULATED				CHAR(7)		
INIT_PRIORITY	INITIAL PEDIATRIC LUNG PRIORITY	CALCULATED				NUM		
INIT_RLU_FLG	LUNG PREFERENCE AT LISTING - RIGHT (1=Y)	WAITING LIST DATA	1995-03-01 00:00:00		WAITING LIST DATA	NUM		
INIT_SHK_ELIGIBLE_FLAG	Safteynet flag indicating if Heart patient is eligible for a kidney transplant at time of listing	CALCULATED	2023-06-29 00:00:00			NUM		
INIT_SLUK_ELIGIBLE_FLAG	Safteynet flag indicating if Lung patient is eligible for a kidney transplant at time of listing	CALCULATED	2023-06-29 00:00:00			NUM		
INIT_STAT	INITIAL WAITING LIST STATUS CODE	WAITING LIST DATA	1990-01-01 00:00:00		WAITING LIST DATA	NUM	STAT	
INIT_WGT_KG_CALC	Calculated Candidate Weight in KG at Listing	CALCULATED				NUM		
INO_PROCURE_AGENT_1	DECEASED DONOR-INOTROPIC MEDICATION AGENT 1	DDR	2003-01-27 00:00:00		CLINICAL INFORMATION	NUM	INOMED	
INO_PROCURE_AGENT_2	DECEASED DONOR-INOTROPIC MEDICATION AGENT 2	DDR	2003-01-27 00:00:00		CLINICAL INFORMATION	NUM	INOMED	
INO_PROCURE_AGENT_3	DECEASED DONOR-INOTROPIC MEDICATION AGENT 3	DDR	2003-01-27 00:00:00		CLINICAL INFORMATION	NUM	INOMED	
INOTROP_SUPPORT_DON	DECEASED DONOR INOTROPIC MEDICATION AT PROCUREMENT (Y/N)	DDR	2003-01-27 00:00:00		CLINICAL INFORMATION	CHAR(1)		For Heart, this field was collected since 10/25/1999.
INOTROP_VASO_CO_TCR	MOST RECENT CO L/MIN INOTROPES/VASODILATORS YES/NO AT LISTING	TCR	2004-06-30 00:00:00		HEART/LUNG MEDICAL FACTORS	CHAR(1)		
INOTROP_VASO_CO_TRR	TRR CARDIAC OUTPUT MEASUREMENT OBTAINED WHILE ON INOTROPES OR VASODILATERS Y/N 	TRR	1999-10-25 00:00:00		PRETRANSPLANT CLINICAL INFORMATION	CHAR(1)		
INOTROP_VASO_DIA_TCR	MOST RECENT PA (DIA) MM/HG INOTROPES/VAOSDILATORS YES/NO AT LISTING	TCR	2004-06-30 00:00:00		HEART/LUNG MEDICAL FACTORS	CHAR(1)		
INOTROP_VASO_DIA_TRR	TRR DIASTOLIC MEASUREMENT OBTAINED WHILE ON INOTROPES OR VASODILATERS Y/N 	TRR	1999-10-26 00:00:00		PRETRANSPLANT CLINICAL INFORMATION	CHAR(1)		
INOTROP_VASO_MN_TCR	MOST RECENT PA (MEAN) MM/HG INOTROPES/VASODILATORS YES/NO AT LISTING	TCR	2004-06-30 00:00:00		HEART/LUNG MEDICAL FACTORS	CHAR(1)		
INOTROP_VASO_MN_TRR	TRR MEAN PULMONARY ARTERY MEASUREMENT OBTAINED WHILE ON INOTROPES OR VASODILATERS Y/N 	TRR	1999-10-27 00:00:00		PRETRANSPLANT CLINICAL INFORMATION	CHAR(1)		
INOTROP_VASO_PCW_TCR	MOST RECENT PCW (MEAN) MM/HG INOTROPES/VASODILATORS YES/NO AT LISTING	TCR	2004-06-30 00:00:00		HEART/LUNG MEDICAL FACTORS	CHAR(1)		
INOTROP_VASO_PCW_TRR	TRR MEAN PULMONARY CAPILLARY WEDGE MEASUREMENT OBTAINED WHILE ON INOTROPES OR VASODILATERS Y/N 	TRR	1999-10-28 00:00:00		PRETRANSPLANT CLINICAL INFORMATION	CHAR(1)		
INOTROP_VASO_SYS_TCR	Most Recent PA (sys) mm/Hg   Inotropes/Vasodilators YES/NO AT LISTING	TCR	1999-10-25 00:00:00		HEART/LUNG MEDICAL FACTORS	CHAR(1)		
INOTROP_VASO_SYS_TRR	TRR SYSTOLIC MEASUREMENT OBTAINED WHILE ON INOTROPES OR VASODILATERS Y/N	TRR	1999-10-29 00:00:00		PRETRANSPLANT CLINICAL INFORMATION	CHAR(1)		
INOTROPES_TCR	IV INOTROPES @ REGISTRATION	TCR	1994-04-01 00:00:00		CANDIDATE INFORMATION	NUM		
INOTROPES_TRR	IV INOTROPES @ TRANSPLANT	TRR	1994-04-01 00:00:00		PATIENT STATUS	NUM		
INOTROPIC	WL CANDIDATE ON INOTROPIC DRUGS	WL			WAITING LIST DATA	CHAR(1)		
INSULIN_DON	DECEASED DONOR-WAS DONOR GIVEN INSULIN WITHIN 24 HRS PRE CROSS CLAMP?	DDR	2004-06-30 00:00:00		CLINICAL INFORMATION	CHAR(1)		
INSULIN_DUR_DON	DECEASED DONOR-INSULIN DEPENDENT DIABETES DURATION	DDR	1994-04-01 00:00:00		DONOR HISTORY	NUM	INSDEPDU	UNROLLED FROM INSULIN_DUR_DON TO INCLUDE DURATION OF DEPENDENCE
INTRACRANIAL_CANCER_DON	DECEASED DONOR-INTRACANIAL CANCER AT PROCUREMENT	DDR	1994-04-01 00:00:00		DONOR HISTORY	CHAR(1)		
INTUBATED_72HOURS	Recipient Intubated at 72 Hours	TRR	2015-03-31 00:00:00		CLINICAL INFORMATION	CHAR(2)		
INUTERO	WL CANDIDATE IS INUTERO PATIENT?	WL	2004-06-30 00:00:00		WAITING LIST DATA	CHAR(1)		
ISCHTIME	ISCHEMIC TIME IN HOURS	CALCULATED				NUM		
LAST_INACT_REASON	Candidate Reason for Last Inactive Status					NUM		
LASTFUNO	LAST FOLLOWUP NUMBER	CALCULATED				NUM		
LEFT_VENT_REMODEL_OLD	LEFT VENTRICULAR REMODELING OCCURRING BEFORE LISTING	TCR	1999-10-25 00:00:00	2004-06-30 00:00:00	CLINICAL INFORMATION	CHAR(1)		
LEFTATRIALPRESSUREPOSTTX24	POST TRANSPLANT AT 24 HOURS//LEFT ATRIAL (LA) PRESSURE:	TRR	2023-09-14 00:00:00			NUM		
