"STAR Table Name: DECEASED_DONOR_DATA
Variable Names in red font denote that field has important information in the Comment field

The data files created based on data as of 4/5/2024 will include data for registrations added and/or transplants occurring through 03/31/2024"	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8
INS1_BACK_TBL_FLUSH	INTESTINE SEG 1 BACK TABLE FLUSH SOLUTION	DDR	1987-10-01 00:00:00			NUM	FLUSHSOL	
INS1_DISCARD_CD	INTESTINE SEG 1 REASON FOR DISCARD	DDR	1994-04-01 00:00:00			NUM	DISCARD	added with 201409 STAR file (see https://optn.transplant.hrsa.gov/media/1512/guide_to_calculating_interpreting_kdpi.pdf)
INS1_DISPOSITION	INTESTINE SEG 1 DISPOSITION	DDR	1987-10-01 00:00:00			NUM	DONDISP	added with 201409 STAR file (see https://optn.transplant.hrsa.gov/media/1512/guide_to_calculating_interpreting_kdpi.pdf)
INS1_FINAL_FLUSH	INTESTINE SEG 1 FINAL FLUSH SOLUTION	DDR	1987-10-01 00:00:00			NUM	FLUSHSOL	
INS1_INITIAL_FLUSH	INTESTINE SEG 1 INITIAL FLUSH SOLUTION	DDR	1987-10-01 00:00:00			NUM	FLUSHSOL	
INS1_REASON_CD	INTESTINE SEG 1DISPOSITION REASON 	DDR	1987-10-01 00:00:00			NUM	DDREASCD	
INS2_BACK_TBL_FLUSH	INTESTINE SEG 2 BACK TABLE FLUSH SOLUTION	DDR	1987-10-01 00:00:00			NUM	FLUSHSOL	
INS2_DISCARD_CD	INTESTINE SEG 2 REASON FOR DISCARD	DDR	1994-04-01 00:00:00			NUM	DISCARD	
INS2_DISPOSITION	INTESTINE SEG 2 DISPOSITION	DDR	1987-10-01 00:00:00			NUM	DONDISP	
INS2_FINAL_FLUSH	INTESTINE SEG 2 FINAL FLUSH SOLUTION	DDR	1987-10-01 00:00:00			NUM	FLUSHSOL	
INS2_INITIAL_FLUSH	INTESTINE SEG 2 INITIAL FLUSH SOLUTION	DDR	1987-10-01 00:00:00			NUM	FLUSHSOL	
INS2_REASON_CD	INTESTINE SEG 2 DISPOSITION REASON 	DDR	1987-10-01 00:00:00			NUM	DDREASCD	
INSULIN	Insulin? (Y=Yes; N=No)	DonorNet				CHAR(1)		
INSULIN_BEGIN_DT	Insulin Begin Date/Time	DonorNet				NUM		
INSULIN_DEP_DON	INSULIN DEPENDENT	DDR	1994-04-01 00:00:00			NUM	INSDEPDU	
INSULIN_DON	WAS DONOR GIVEN INSULIN WITHIN 24 HRS PRE CROSS CLAMP?	DDR	2004-06-30 00:00:00			CHAR(1)		
INSULIN_END_DT	Insulin End Date/Time	DonorNet				NUM		
INTESTINERESTRICTED	INTESTINE	DDR	2023-09-14 00:00:00			NUM		
INTRACRANIAL_CANCER_DON	INTRACRANIAL CANCER AT PROCUREMENT	DDR	1994-04-01 00:00:00			CHAR(1)		
INTUBATED_DT	Date intubated	DonorNet				NUM		
IV_DEXTROSE	Is there dextrose in I.V. fluids? (Y=Yes; N=No; U=Unknown)	DonorNet				CHAR(1)		
IV_FLUIDS	I.V. Fluids (cc/hour)	DonorNet				NUM		
KDPI	KDPI (ref. population = 2020) Calculated from DDR or from DonorNet: Post 04/01/1994	DDR	1994-04-01 00:00:00			NUM		
KDRI_MED	KDRI Median (ref. donor = 2018 median)  Calculated from DDR or from DonorNet: Post 04/01/1994	DDR	1994-04-01 00:00:00			NUM		
KDRI_RAO	KDRI Rao  Calculated from DDR or from DonorNet: Post 04/01/1994	DDR	1994-04-01 00:00:00			NUM		
KIB_BACK_TBL_FLUSH	DOUBLE KIDNEY BACK TABLE FLUSH SOLUTION	DDR	1987-10-01 00:00:00			NUM	FLUSHSOL	
KIB_DISCARD_CD	DOUBLE KIDNEY REASON FOR DISCARD	DDR	1994-04-01 00:00:00			NUM	DISCARD	
KIB_DISPOSITION	DOUBLE KIDNEY DISPOSITION	DDR	1987-10-01 00:00:00			NUM	DONDISP	
KIB_FINAL_FLUSH	DOUBLE KIDNEY FINAL FLUSH SOLUTION	DDR	1987-10-01 00:00:00			NUM	FLUSHSOL	
KIB_INITIAL_FLUSH	DOUBLE KIDNEY INITIAL FLUSH SOLUTION	DDR	1987-10-01 00:00:00			NUM	FLUSHSOL	
KIB_PUMP	DOUBLE KIDNEY PUMPED USED	DDR	1994-04-01 00:00:00			CHAR(1)		
KIB_REASON_CD	DOUBLE KIDNEY DISPOSITION REASON 	DDR	1987-10-01 00:00:00			NUM	DDREASCD	
KIL_BACK_TBL_FLUSH	LEFT KIDNEY BACK TABLE FLUSH SOLUTION	DDR	1987-10-01 00:00:00			NUM	FLUSHSOL	
KIL_DISCARD_CD	LEFT KIDNEY REASON FOR DISCARD	DDR	1994-04-01 00:00:00			NUM	DISCARD	
KIL_DISPOSITION	LEFT KIDNEY DISPOSITION	DDR	1987-10-01 00:00:00			NUM	DONDISP	
KIL_FINAL_FLUSH	LEFT KIDNEY FINAL FLUSH SOLUTION	DDR	1987-10-01 00:00:00			NUM	FLUSHSOL	
KIL_INITIAL_FLUSH	LEFT KIDNEY INITIAL FLUSH SOLUTION	DDR	1987-10-01 00:00:00			NUM	FLUSHSOL	
KIL_PUMP	LEFT KIDNEY PUMPED USED	DDR	1994-04-01 00:00:00			CHAR(1)		
KIL_REASON_CD	LEFT KIDNEY DISPOSITION REASON 	DDR	1987-10-01 00:00:00			NUM	DDREASCD	
KIR_BACK_TBL_FLUSH	RIGHT KIDNEY BACK TABLE FLUSH SOLUTION	DDR	1987-10-01 00:00:00			NUM	FLUSHSOL	
KIR_DISCARD_CD	RIGHT  KIDNEY REASON FOR DISCARD	DDR	1994-04-01 00:00:00			NUM	DISCARD	
KIR_DISPOSITION	RIGHT  KIDNEY DISPOSITION	DDR	1987-10-01 00:00:00			NUM	DONDISP	
KIR_FINAL_FLUSH	RIGHT  KIDNEY FINAL FLUSH SOLUTION	DDR	1987-10-01 00:00:00			NUM	FLUSHSOL	
KIR_INITIAL_FLUSH	RIGHT  KIDNEY INITIAL FLUSH SOLUTION	DDR	1987-10-01 00:00:00			NUM	FLUSHSOL	
KIR_PUMP	RIGHT KIDNEY PUMPED USED	DDR	1994-04-01 00:00:00			CHAR(1)		
KIR_REASON_CD	RIGHT  KIDNEY DISPOSITION REASON 	DDR	1987-10-01 00:00:00			NUM	DDREASCD	
LE_DISCARD_CD	DDR VCA - Lower Limb Reason for Discard	DDR	2023-09-14 00:00:00			NUM	DISCARD	
LE_DISPOSITION	DDR VCA - Lower Limb Disposition	DDR	2023-09-14 00:00:00			NUM	DONDISP	
LE_REASON_CD	DDR VCA - Lower Limb Reason Code	DDR	2023-09-14 00:00:00			NUM	DDREASCD	
LEFT_KI_PUMP_DEVICE	Left Kidney Pump Device	DonorNet				NUM	PUMPDEV	
LEFT_KI_PUMP_SOLUTION	Left Kidney Pump Solution	DonorNet				NUM	KI_PUMP_SOLUTION	
LEFTKIDNEYARTERIOLARHYALINOSIS	LEFT KIDNEY//ARTERIOLAR HYALINOSIS:	DDR	2023-09-14 00:00:00			NUM	ART_HYALIN                      	
LEFTKIDNEYCORTICALNECROSIS	LEFT KIDNEY//CORTICAL NECROSIS:	DDR	2023-09-14 00:00:00			NUM	CLINICAL_PRES	
LEFTKIDNEYCORTICALNECROSISPCNT	LEFT KIDNEY//(%) CORTICAL NECROSIS:	DDR	2023-09-14 00:00:00			NUM		
LEFTKIDNEYFIBRINTHROMBI	LEFT KIDNEY//(%) THROMBI:	DDR	2023-09-14 00:00:00			NUM	CLINICAL_PRES	
LEFTKIDNEYFIBRINTHROMBIPERCENT	LEFT KIDNEY//PERCENT FIBRIN THROMBI:	DDR	2023-09-14 00:00:00			NUM		
LEFTKIDNEYNODULARMESANGLOM	LEFT KIDNEY//NODULAR MESANGIAL GLOMERULOSCLEROSIS:	DDR	2023-09-14 00:00:00			NUM	CLINICAL_PRES	
LEFTKIDNEYRESTRICTED	LEFT KIDNEY	DDR	2023-09-14 00:00:00			NUM		
LEFTKIDNEYSCLEROTICGLOM	LEFT KIDNEY// NUMBER OF GLOBALLY SCLEROTIC GLOMERULI:	DDR	2023-09-14 00:00:00			NUM		
LEFTKIDNEYTISSUEPREPTECHNIQUE	LEFT KIDNEY//TISSUE PREPARATION TECHNIQUE:	DDR	2023-09-14 00:00:00			NUM	TISSUE_PREP	
LEFTLUNGRESTRICTED	LEFT LUNG	DDR	2023-09-14 00:00:00			NUM		
LEGALLY_BRAIN_DEAD	DONOR WAS DECLARED LEGALLY BRAIN DEAD	DDR	2015-03-31 00:00:00			CHAR(1)		
LEGALLYDOCUMENTDECISION	DID THE PATIENT LEGALLY DOCUMENT THEIR DECISION TO BE A DONOR:	DDR	2023-09-14 00:00:00			CHAR(1)		
LENGTH_LEFT_LUNG	Length of left lung (cm)	DonorNet				NUM		
LENGTH_RIGHT_LUNG	Length of right lung (cm)	DonorNet				NUM		
LI_BACK_TBL_FLUSH	LIVER BACK TABLE FLUSH SOLUTION	DDR	1987-10-01 00:00:00			NUM	FLUSHSOL	
LI_BIOPSY_DON	LIVER BIOPSY	DDR	1999-10-25 00:00:00			CHAR(1)		
LI_BIOPSY_TY	LIVER BIOPSY TYPE	DDR	2015-03-31 00:00:00			NUM	BIOPSYTY	
LI_DISCARD_CD	LIVER REASON FOR DISCARD	DDR	1994-04-01 00:00:00			NUM	DISCARD	
LI_DISPOSITION	LIVER DISPOSITION	DDR	1987-10-01 00:00:00			NUM	DONDISP	
LI_FIBROSIS	Liver Biopsy - Fibrosis	DDR	2015-03-31 00:00:00			NUM	FIBROSIS	
LI_FINAL_FLUSH	LIVER FINAL FLUSH SOLUTION	DDR	1987-10-01 00:00:00			NUM	FLUSHSOL	
LI_INITIAL_FLUSH	LIVER INITIAL FLUSH SOLUTION	DDR	1987-10-01 00:00:00			NUM	FLUSHSOL	
LI_MACHINE_PERFUSION	LIVER MACHINE PERFUSION	DDR	2015-03-31 00:00:00			CHAR(1)		
LI_MACHINE_PERFUSION_TY	LIVER MACHINE PERFUSION TYPE	DDR	2015-03-31 00:00:00			NUM	LIPERF	
LI_PORTAL_INFILTRATES	Liver Biopsy - Portal Infiltrates	DDR	2015-03-31 00:00:00			NUM	PORTINF	
LI_REASON_CD	LIVER DISPOSITION REASON 	DDR	1987-10-01 00:00:00			NUM	DDREASCD	
LIPASE_DON	SERUM LIPASE  (PA DONORS ONLY)	DDR	1999-10-25 00:00:00			NUM		
LIS1_BACK_TBL_FLUSH	LIVER SEG 1 BACK TABLE FLUSH SOLUTION	DDR	1987-10-01 00:00:00			NUM	FLUSHSOL	
LIS1_DISCARD_CD	LIVER SEG 1 REASON FOR DISCARD	DDR	1994-04-01 00:00:00			NUM	DISCARD	
LIS1_DISPOSITION	LIVER SEG 1 DISPOSITION	DDR	1987-10-01 00:00:00			NUM	DONDISP	
LIS1_FINAL_FLUSH	LIVER SEG 1 FINAL FLUSH SOLUTION	DDR	1987-10-01 00:00:00			NUM	FLUSHSOL	
LIS1_INITIAL_FLUSH	LIVER SEG 1 INITIAL FLUSH SOLUTION	DDR	1987-10-01 00:00:00			NUM	FLUSHSOL	
LIS1_REASON_CD	LIVER SEG 1 DISPOSITION REASON 	DDR	1987-10-01 00:00:00			NUM	DDREASCD	
LIS2_BACK_TBL_FLUSH	LIVER SEG 2 BACK TABLE FLUSH SOLUTION	DDR	1987-10-01 00:00:00			NUM	FLUSHSOL	
LIS2_DISCARD_CD	LIVER SEG 2 REASON FOR DISCARD	DDR	1994-04-01 00:00:00			NUM	DISCARD	
LIS2_DISPOSITION	LIVER SEG 2 DISPOSITION	DDR	1987-10-01 00:00:00			NUM	DONDISP	
LIS2_FINAL_FLUSH	LIVER SEG 2 FINAL FLUSH SOLUTION	DDR	1987-10-01 00:00:00			NUM	FLUSHSOL	
LIS2_INITIAL_FLUSH	LIVER SEG 2 INITIAL FLUSH SOLUTION	DDR	1987-10-01 00:00:00			NUM	FLUSHSOL	
LIS2_REASON_CD	LIVER SEG 2 DISPOSITION REASON 	DDR	1987-10-01 00:00:00			NUM	DDREASCD	
LIVERRESTRICTED	LIVER	DDR	2023-09-14 00:00:00			NUM		
LT_KI_BIOPSY_DON	LEFT KIDNEY BIOPSY	DDR	1999-10-25 00:00:00			CHAR(1)		
LT_KI_BIOPSY_TY	LEFT KIDNEY BIOPSY TYPE 	DDR	2015-03-31 00:00:00			NUM	BIOPSYTY	
LT_KI_GLOMERUL_COUNT	LEFT KIDNEY NUMBER OF GLOMERULI VISUALIZED	DDR	2015-03-31 00:00:00			NUM		
LT_KI_GLOMERUL_DON	LEFT KIDNEY GLOMERULOSCLEROSIS	DDR	1999-10-25 00:00:00			NUM	KIGLUMER	
LT_KI_INTERSTITIAL_FIBROSIS	LEFT KIDNEY INTERSTITIAL FIBROSIS	DDR	2015-03-31 00:00:00			NUM	BIOPEXT	
LT_KI_PUMP_TY	LEFT KIDNEY PUMP/MACHINE TYPE	DDR	2015-03-31 00:00:00			NUM	PUMPDEV	
LT_KI_VASCULAR_CHANGES	LEFT KIDNEY VASCULAR CHANGES	DDR	2015-03-31 00:00:00			NUM	BIOPEXT	
LT_LUNG_MACHINE_PERFUSION	LEFT LUNG MACHINE PERFUSION INTENDED OR PERFORMED	DDR	2015-03-31 00:00:00			CHAR(1)		
LT_ONE_WEEK_DON	Donor Less Than 7 Days Old at Time of Donation	DDR	2016-09-13 00:00:00			CHAR(1)		
LUB_BACK_TBL_FLUSH	DOUBLE LUNG BACK TABLE FLUSH SOLUTION	DDR	1987-10-01 00:00:00			NUM	FLUSHSOL	
LUB_DISCARD_CD	DOUBLE LUNG REASON FOR DISCARD	DDR	1994-04-01 00:00:00			NUM	DISCARD	
LUB_DISPOSITION	DOUBLE LUNG DISPOSITION	DDR	1987-10-01 00:00:00			NUM	DONDISP	
LUB_FINAL_FLUSH	DOUBLE LUNG FINAL FLUSH SOLUTION	DDR	1987-10-01 00:00:00			NUM	FLUSHSOL	
LUB_INITIAL_FLUSH	DOUBLE LUNG INITIAL FLUSH SOLUTION	DDR	1987-10-01 00:00:00			NUM	FLUSHSOL	
LUB_REASON_CD	DOUBLE LUNG DISPOSITION REASON 	DDR	1987-10-01 00:00:00			NUM	DDREASCD	
LUL_BACK_TBL_FLUSH	LEFT LUNG BACK TABLE FLUSH SOLUTION	DDR	1987-10-01 00:00:00			NUM	FLUSHSOL	
LUL_DISCARD_CD	LEFT LUNG REASON FOR DISCARD	DDR	1994-04-01 00:00:00			NUM	DISCARD	
LUL_DISPOSITION	LEFT LUNG DISPOSITION	DDR	1987-10-01 00:00:00			NUM	DONDISP	
LUL_FINAL_FLUSH	LEFT LUNG FINAL FLUSH SOLUTION	DDR	1987-10-01 00:00:00			NUM	FLUSHSOL	
LUL_INITIAL_FLUSH	LEFT LUNG INITIAL FLUSH SOLUTION	DDR	1987-10-01 00:00:00			NUM	FLUSHSOL	
LUL_REASON_CD	LEFT LUNG DISPOSITION REASON 	DDR	1987-10-01 00:00:00			NUM	DDREASCD	
LUR_BACK_TBL_FLUSH	RIGHT LUNG BACK TABLE FLUSH SOLUTION	DDR	1987-10-01 00:00:00			NUM	FLUSHSOL	
LUR_DISCARD_CD	RIGHT LUNG REASON FOR DISCARD	DDR	1994-04-01 00:00:00			NUM	DISCARD	
LUR_DISPOSITION	RIGHT LUNG DISPOSITION	DDR	1987-10-01 00:00:00			NUM	DONDISP	
LUR_FINAL_FLUSH	RIGHT LUNG FINAL FLUSH SOLUTION	DDR	1987-10-01 00:00:00			NUM	FLUSHSOL	
LUR_INITIAL_FLUSH	RIGHT LUNG INITIAL FLUSH SOLUTION	DDR	1987-10-01 00:00:00			NUM	FLUSHSOL	
LUR_REASON_CD	RIGHT LUNG DISPOSITION REASON 	DDR	1987-10-01 00:00:00			NUM	DDREASCD	
LV_EJECT_DON	LEFT VENTRICULAR EJECTION FRACTION	DDR	1999-10-25 00:00:00			NUM		
LV_EJECT_METH_DON	LEFT VENTRICULAR EJECTION METHOD	DDR	1999-10-25 00:00:00			NUM	LVEJECTM	
MACRO_FAT_LI_DON	MACRO VESICULAR FAT (%)	DDR	2004-06-30 00:00:00			NUM		
MAP_INIT_DON	DDR:MAP (initial) //Map: (mm/Hg)	DDR	2004-06-30 00:00:00			NUM		
MAP_POST_DON	DDR:MAP (final) //Map:	DDR	2004-06-30 00:00:00			NUM		
MARIJUANADURATIONOFUSEUNITID	TYPE OF DRUG// MARIJUANA: // HOW LONG WAS IT USED: // UNIT:	DDR	2023-09-14 00:00:00			NUM	DUR_USE                         	
MARIJUANADURATIONOFUSEVALUE	TYPE OF DRUG //MARIJUANA://HOW LONG WAS IT USED:	DDR	2023-09-14 00:00:00			NUM	DRUG_USE                        	
MARIJUANALASTUSEDDATE	TYPE OF DRUG //MARIJUANA://LAST USED ON:	DDR	2023-09-14 00:00:00			CHAR(33)		
MARIJUANAUSEROUTEID	TYPE OF DRUG //MARIJUANA://DRUG USE ROUTE:	DDR	2023-09-14 00:00:00			NUM		
MED_EXAM_PERM	MEDICAL EXAMINER PERMISSION	DDR	1994-04-01 00:00:00			CHAR(1)		
MED_EXAM_REPORT	MEDICAL EXAMINER REPORTED	DDR	1994-04-01 00:00:00			CHAR(1)	MEDEXAMR	
MEETS_DBL_KI_CRITERIA	Does donor meet double kidney allocation criteria in Policy 3.5.7? (Y=Yes; N=No; U=Unknown)	DonorNet				NUM		
MICRO_FAT_LI_DON	MICRO VESICULAR FAT (%)	DDR	2004-06-30 00:00:00			NUM		
MS_DISCARD_CD	DDR VCA - Musculoskeletal Composite Graft Segment Reason for Discard	DDR	2023-09-14 00:00:00			NUM	DISCARD	
MS_DISPOSITION	DDR VCA - Musculoskeletal Composite Graft Segment Disposition	DDR	2023-09-14 00:00:00			NUM	DONDISP	
MS_REASON_CD	DDR VCA - Musculoskeletal Composite Graft Segment Reason Code	DDR	2023-09-14 00:00:00			NUM	DDREASCD	
NON_HRT_DON	DCD DONOR	DDR	1994-04-01 00:00:00			CHAR(1)		
NOTIFIEDMEDICALEXAMINER	DID THE OPO NOTIFY THE MEDICAL EXAMINER/CORONER:	DDR	2023-09-14 00:00:00			CHAR(1)		
NUM_HR_DISC	NUMBER OF HEARTS RECOVERED FOR TRANSPLANT AND NOT TRANSPLANTED	DDR				NUM		
NUM_HR_RECOV	NUMBER OF HEARTS RECOVERED FOR TRANSPLANT	DDR				NUM		
NUM_HR_TX	NUMBER OF HEARTS TRANSPLANTED	DDR				NUM		
NUM_IN_DISC	NUMBER OF INTESTINES RECOVERED FOR TRANSPLANT AND NOT TRANSPLANTED	DDR				NUM		
NUM_IN_RECOV	NUMBER OF INTESTINES RECOVERED FOR TRANSPLANT	DDR				NUM		
NUM_IN_TX	NUMBER OF INTESTINES TRANSPLANTED	DDR				NUM		
NUM_KI_DISC	NUMBER OF KIDNEYS RECOVERED FOR TRANSPLANT AND NOT TRANSPLANTED	DDR				NUM		
NUM_KI_RECOV	NUMBER OF KIDNEYS RECOVERED FOR TRANSPLANT	DDR				NUM		
NUM_KI_TX	NUMBER OF KIDNEYS TRANSPLANTED	DDR				NUM		
NUM_LI_DISC	NUMBER OF LIVERS RECOVERED FOR TRANSPLANT AND NOT TRANSPLANTED	DDR				NUM		
NUM_LI_RECOV	NUMBER OF LIVERS RECOVERED FOR TRANSPLANT	DDR				NUM		
NUM_LI_TX	NUMBER OF LIVERS TRANSPLANTED	DDR				NUM		
NUM_LU_DISC	NUMBER OF LUNGS RECOVERED FOR TRANSPLANT AND NOT TRANSPLANTED	DDR				NUM		
NUM_LU_RECOV	NUMBER OF LUNGS RECOVERED FOR TRANSPLANT	DDR				NUM		
NUM_LU_TX	NUMBER OF LUNGS TRANSPLANTED	DDR				NUM		
NUM_ORG_DISC	TOTAL NUMBER OF ORGANS RECOVERED FOR TRANSPLANT AND NOT TRANSPLANTED	DDR				NUM		
NUM_ORG_RECOV	TOTAL NUMBER OF ORGANS RECOVERED FOR TRANSPLANT	DDR				NUM		
NUM_ORG_TX	TOTAL NUMBER OF ORGANS TRANSPLANTED	DDR				NUM		
NUM_PA_DISC	NUMBER OF PANCREAS RECOVERED FOR TRANSPLANT AND NOT TRANSPLANTED	DDR				NUM		
NUM_PA_RECOV	NUMBER OF PANCREAS RECOVERED FOR TRANSPLANT	DDR				NUM		
NUM_PA_TX	NUMBER OF PANCREAS TRANSPLANTED	DDR				NUM		
NUM_VCA_DISC	Number of VCAs Recovered for Transplant and not Transplanted	Calculated	2023-09-14 00:00:00			NUM		
NUM_VCA_RECOV	Number of VCAs Recovered for Transplant	Calculated	2023-09-14 00:00:00			NUM		
NUM_VCA_TX	Number of VCAs Transplanted	Calculated	2023-09-14 00:00:00			NUM		
OG_DISCARD_CD	DDR VCA - Other Genitourinary Organ Reason for Discard	DDR	2023-09-14 00:00:00			NUM	DISCARD	
OG_DISPOSITION	DDR VCA - Other Genitourinary Organ Disposition	DDR	2023-09-14 00:00:00			NUM	DONDISP	
OG_REASON_CD	DDR VCA - Other Genitourinary Organ Reason Code	DDR	2023-09-14 00:00:00			NUM	DDREASCD	
OPIOIDSDURATIONOFUSEUNITID	TYPE OF DRUG// OPIOIDS: // HOW LONG WAS IT USED: // UNIT:	DDR	2023-09-14 00:00:00			NUM	DUR_USE                         	
OPIOIDSDURATIONOFUSEVALUE	TYPE OF DRUG //OPIOIDS://HOW LONG WAS IT USED:	DDR	2023-09-14 00:00:00			NUM	DRUG_USE                        	
OPIOIDSLASTUSEDDATE	TYPE OF DRUG //OPIOIDS://LAST USED ON:	DDR	2023-09-14 00:00:00			CHAR(33)		
OPIOIDSUSEROUTEID	TYPE OF DRUG //OPIOIDS://DRUG USE ROUTE:	DDR	2023-09-14 00:00:00			NUM		
OPO_CTR_CODE	ENCRYPTED OPO CENTER CODE (OPO OF THE DECEASED DONOR RECOVERY FROM DDR FORM)	DDR	1987-10-01 00:00:00			CHAR(7)		
OTHER_BLOOD	Other Blood Products? (Y=Yes; N=No)	DonorNet				CHAR(1)		
OTHER_HYPERTENS_MED_DON	HYPERTENSIVE CONTROLLED WITH OTHER MEDS	DDR	1994-04-01 00:00:00			CHAR(1)		
OTHER_INF_CONF_DON	INFECTION OTHER SOURCE CONFIRMED	DDR	1994-04-01 00:00:00	2015-03-31 00:00:00		CHAR(1)		
OTHER_INF_DON	INFECTION OTHER SOURCE	DDR	1994-04-01 00:00:00			NUM		
PA_BACK_TBL_FLUSH	PANCREAS BACK TABLE FLUSH SOLUTION	DDR	1987-10-01 00:00:00			NUM	FLUSHSOL	
PA_DISCARD_CD	PANCREAS REASON FOR DISCARD	DDR	1994-04-01 00:00:00			NUM	DISCARD	
PA_DISPOSITION	PANCREAS DISPOSITION	DDR	1987-10-01 00:00:00			NUM	DONDISP	
PA_FINAL_FLUSH	PANCREAS FINAL FLUSH SOLUTION	DDR	1987-10-01 00:00:00			NUM	FLUSHSOL	
PA_INITIAL_FLUSH	PANCREAS INITIAL FLUSH SOLUTION	DDR	1987-10-01 00:00:00			NUM	FLUSHSOL	
PA_REASON_CD	PANCREAS DISPOSITION REASON 	DDR	1987-10-01 00:00:00			NUM	DDREASCD	
PANCREASRESTRICTED	PANCREAS	DDR	2023-09-14 00:00:00			NUM		
PAS1_BACK_TBL_FLUSH	PANCREAS SEG 1 BACK TABLE FLUSH SOLUTION	DDR	1987-10-01 00:00:00			NUM	FLUSHSOL	
PAS1_DISCARD_CD	PANCREAS SEG 1 REASON FOR DISCARD	DDR	1994-04-01 00:00:00			NUM	DISCARD	
PAS1_DISPOSITION	PANCREAS SEG 1 DISPOSITION	DDR	1987-10-01 00:00:00			NUM	DONDISP	
PAS1_FINAL_FLUSH	PANCREAS SEG 1 FINAL FLUSH SOLUTION	DDR	1987-10-01 00:00:00			NUM	FLUSHSOL	
PAS1_INITIAL_FLUSH	PANCREAS SEG 1 INITIAL FLUSH SOLUTION	DDR	1987-10-01 00:00:00			NUM	FLUSHSOL	
PAS1_REASON_CD	PANCREAS SEG 1 DISPOSITION REASON 	DDR	1987-10-01 00:00:00			NUM	DDREASCD	
PAS2_BACK_TBL_FLUSH	PANCREAS SEG 2 BACK TABLE FLUSH SOLUTION	DDR	1987-10-01 00:00:00			NUM	FLUSHSOL	
PAS2_DISCARD_CD	PANCREAS SEG 2 REASON FOR DISCARD	DDR	1994-04-01 00:00:00			NUM	DISCARD	
PAS2_DISPOSITION	PANCREAS SEG 2 DISPOSITION	DDR	1987-10-01 00:00:00			NUM	DONDISP	
PAS2_FINAL_FLUSH	PANCREAS SEG 2 FINAL FLUSH SOLUTION	DDR	1987-10-01 00:00:00			NUM	FLUSHSOL	
PAS2_INITIAL_FLUSH	PANCREAS SEG 2 INITIAL FLUSH SOLUTION	DDR	1987-10-01 00:00:00			NUM	FLUSHSOL	
PAS2_REASON_CD	PANCREAS SEG 2 DISPOSITION REASON 	DDR	1987-10-01 00:00:00			NUM	DDREASCD	
PCO2_DON	DDR ABG RESULTS: PCO2:	DDR	2004-06-30 00:00:00			NUM		
PCWP_INIT_DON	DDR PCWP PA CATHETER INITIAL (MM/HG)	DDR	2004-06-30 00:00:00			NUM		
PCWP_POST_DON	DDR PCWP PA CATHETER FINAL (MM/HG)	DDR	2004-06-30 00:00:00			NUM		
PH_DON	DDR ABG RESULTS: BLOOD PH:	DDR	2004-06-30 00:00:00			NUM		
PHSBORNTOMOTHERWITHHIVHBVHCV	CHILD BORN TO A MOTHER WITH HIV, HBV, OR HCV INFECTION	DDR	2023-09-14 00:00:00			CHAR(1)		
PHSBREASTFEDBYMOTHERWITHHIV	CHILD BREASTFED BY A MOTHER WITH HIV INFECTION	DDR	2023-09-14 00:00:00			CHAR(1)		
PHSDRUGINJECTION	DRUG INJECTION FOR NONMEDICAL REASONS	DDR	2023-09-14 00:00:00			CHAR(1)		
PHSINCARCERATION72	INCARCERATION (CONFINEMENT IN JAIL, PRISON, OR JUVENILE CORRECTION FACILITY) FOR 72 OR MORE CONSECUTIVE HOURS	DDR	2023-09-14 00:00:00			CHAR(1)		
PHSSEXUALCONTACTDRUGINJECTION	SEX WITH A PERSON WHO INJECTED DRUGS FOR NONMEDICAL REASONS	DDR	2023-09-14 00:00:00			CHAR(1)		
PHSSEXUALCONTACTHIVHBVHCV	SEX (I.E., ANY METHOD OF SEXUAL CONTACT, INCLUDING VAGINAL, ANAL, AND ORAL) WITH A PERSON KNOWN OR SUSPECTED TO HAVE HIV, HBV, OR HCV INFECTION	DDR	2023-09-14 00:00:00			CHAR(1)		
PHSSEXUALCONTACTMALEMALE	MAN WHO HAS HAD SEX WITH ANOTHER MAN	DDR	2023-09-14 00:00:00			CHAR(1)		
PHSSEXUALCONTACTMONEY	SEX IN EXCHANGE FOR MONEY OR DRUGS	DDR	2023-09-14 00:00:00			CHAR(1)		
PHSSEXUALCONTACTMONEYINDIRECT	SEX WITH A PERSON WHO HAD SEX IN EXCHANGE FOR MONEY OR DRUGS	DDR	2023-09-14 00:00:00			CHAR(1)		
PHSUNKNOWNMEDSOCIALHISTORY	UNKNOWN MEDICAL OR SOCIAL HISTORY	DDR	2023-09-14 00:00:00			CHAR(1)		
PO2_DON	DDR ABG RESULTS: PO2	DDR	1999-10-25 00:00:00			NUM		
PO2_DONE_DON	DDR:Lung - Was pO2 done:	DDR	1999-10-25 00:00:00	2015-03-31 00:00:00		CHAR(1)		
PO2_FIO2_DON	DDR ABG RESULTS: FIO2	DDR	1999-10-25 00:00:00			NUM		
PORTAL_VEIN_COOLING_DATE	DATE OF PORTAL VEIN CORE COOLING	DDR	2008-03-01 00:00:00			NUM		
PORTAL_VEIN_COOLING_TIME	TIME OF PORTAL VEIN CORE COOLING	DDR	2008-03-01 00:00:00			NUM		
