"STAR Table Name: VCA_FOLLOWUP_DATA
Variable Names in red font denote that field has important information in the Comment field

The data files created based on data as of 4/5/2024 will include data for registrations added and/or transplants occurring through 03/31/2024"	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8
MALIG_DENOVO_TUMOR_18_DX	De Novo Tumor: Thyroid	TRF	2015-09-01 00:00:00		POST TRANSPLANT MALIGNANCY	NUM	YN	
MALIG_DENOVO_TUMOR_18_DX_DATE	De Novo Tumor: Thyroid Diagnosis Date	TRF	2015-09-01 00:00:00		POST TRANSPLANT MALIGNANCY	NUM		
MALIG_DENOVO_TUMOR_19_DX	De Novo Tumor: Bladder	TRF	2015-09-01 00:00:00		POST TRANSPLANT MALIGNANCY	NUM	YN	
MALIG_DENOVO_TUMOR_19_DX_DATE	De Novo Tumor: Bladder Diagnosis Date	TRF	2015-09-01 00:00:00		POST TRANSPLANT MALIGNANCY	NUM		
MALIG_DENOVO_TUMOR_2_DX	De Novo Tumor: Skin: Basal Cell	TRF	2015-09-01 00:00:00		POST TRANSPLANT MALIGNANCY	NUM	YN	
MALIG_DENOVO_TUMOR_2_DX_DATE	De Novo Tumor: Skin: Basal Cell Diagnosis Date	TRF	2015-09-01 00:00:00		POST TRANSPLANT MALIGNANCY	NUM		
MALIG_DENOVO_TUMOR_20_DX	De Novo Tumor: Breast	TRF	2015-09-01 00:00:00		POST TRANSPLANT MALIGNANCY	NUM	YN	
MALIG_DENOVO_TUMOR_20_DX_DATE	De Novo Tumor: Breast Diagnosis Date	TRF	2015-09-01 00:00:00		POST TRANSPLANT MALIGNANCY	NUM		
MALIG_DENOVO_TUMOR_21_DX	De Novo Tumor: Prostate	TRF	2015-09-01 00:00:00		POST TRANSPLANT MALIGNANCY	NUM	YN	
MALIG_DENOVO_TUMOR_21_DX_DATE	De Novo Tumor: Prostate Diagnosis Date	TRF	2015-09-01 00:00:00		POST TRANSPLANT MALIGNANCY	NUM		
MALIG_DENOVO_TUMOR_22_DX	De Novo Tumor: ColoRectal	TRF	2015-09-01 00:00:00		POST TRANSPLANT MALIGNANCY	NUM	YN	
MALIG_DENOVO_TUMOR_22_DX_DATE	De Novo Tumor: ColoRectal Diagnosis Date	TRF	2015-09-01 00:00:00		POST TRANSPLANT MALIGNANCY	NUM		
MALIG_DENOVO_TUMOR_23_DX	De Novo Tumor: Primary Hepatic Tumor	TRF	2015-09-01 00:00:00		POST TRANSPLANT MALIGNANCY	NUM	YN	
MALIG_DENOVO_TUMOR_23_DX_DATE	De Novo Tumor: Primary Hepatic Tumor Diagnosis Date	TRF	2015-09-01 00:00:00		POST TRANSPLANT MALIGNANCY	NUM		
MALIG_DENOVO_TUMOR_24_DX	De Novo Tumor: Metastic Liver Tumor	TRF	2015-09-01 00:00:00		POST TRANSPLANT MALIGNANCY	NUM	YN	
MALIG_DENOVO_TUMOR_24_DX_DATE	De Novo Tumor: Metastic Liver Tumor  Diagnosis Date	TRF	2015-09-01 00:00:00		POST TRANSPLANT MALIGNANCY	NUM		
MALIG_DENOVO_TUMOR_25_DX	De Novo Tumor: Lung	TRF	2015-09-01 00:00:00		POST TRANSPLANT MALIGNANCY	NUM	YN	
MALIG_DENOVO_TUMOR_25_DX_DATE	De Novo Tumor: Lung Diagnosis Date	TRF	2015-09-01 00:00:00		POST TRANSPLANT MALIGNANCY	NUM		
MALIG_DENOVO_TUMOR_26_DX	De Novo Tumor: Leukemia	TRF	2015-09-01 00:00:00		POST TRANSPLANT MALIGNANCY	NUM	YN	
MALIG_DENOVO_TUMOR_26_DX_DATE	De Novo Tumor: Leukemia Diagnosis Date	TRF	2015-09-01 00:00:00		POST TRANSPLANT MALIGNANCY	NUM		
MALIG_DENOVO_TUMOR_27_DX	De Novo Tumor: Sarcoma (excluding Kaposi's)	TRF	2015-09-01 00:00:00		POST TRANSPLANT MALIGNANCY	NUM	YN	
MALIG_DENOVO_TUMOR_27_DX_DATE	De Novo Tumor: Sarcoma (excluding Kaposi's) Diagnosis Date	TRF	2015-09-01 00:00:00		POST TRANSPLANT MALIGNANCY	NUM		
MALIG_DENOVO_TUMOR_28_DX	De Novo Tumor: Other Cancers	TRF	2015-09-01 00:00:00		POST TRANSPLANT MALIGNANCY	NUM	YN	
MALIG_DENOVO_TUMOR_28_DX_DATE	De Novo Tumor: Other Cancers Diagnosis Date	TRF	2015-09-01 00:00:00		POST TRANSPLANT MALIGNANCY	NUM		
MALIG_DENOVO_TUMOR_29_DX	De Novo Tumor: Primary Unknown	TRF	2015-09-01 00:00:00		POST TRANSPLANT MALIGNANCY	NUM	YN	
MALIG_DENOVO_TUMOR_29_DX_DATE	De Novo Tumor: Primary Unknown Diagnosis Date	TRF	2015-09-01 00:00:00		POST TRANSPLANT MALIGNANCY	NUM		
MALIG_DENOVO_TUMOR_3_DX	De Novo Tumor: Skin: Melanoma	TRF	2015-09-01 00:00:00		POST TRANSPLANT MALIGNANCY	NUM	YN	
MALIG_DENOVO_TUMOR_3_DX_DATE	De Novo Tumor: Skin: Melanoma Diagnosis Date	TRF	2015-09-01 00:00:00		POST TRANSPLANT MALIGNANCY	NUM		
MALIG_DENOVO_TUMOR_4_DX	De Novo Tumor: Kaposi's Sarcoma: Cutaneous	TRF	2015-09-01 00:00:00		POST TRANSPLANT MALIGNANCY	NUM	YN	
MALIG_DENOVO_TUMOR_4_DX_DATE	De Novo Tumor: Kaposi's Sarcoma: Cutaneous Diagnosis Date	TRF	2015-09-01 00:00:00		POST TRANSPLANT MALIGNANCY	NUM		
MALIG_DENOVO_TUMOR_5_DX	De Novo Tumor: Kaposi's Sarcoma: Visceral	TRF	2015-09-01 00:00:00		POST TRANSPLANT MALIGNANCY	NUM	YN	
MALIG_DENOVO_TUMOR_5_DX_DATE	De Novo Tumor: Kaposi's Sarcoma: Visceral Diagnosis Date	TRF	2015-09-01 00:00:00		POST TRANSPLANT MALIGNANCY	NUM		
MALIG_DENOVO_TUMOR_6_DX	De Novo Tumor: Brain	TRF	2015-09-01 00:00:00		POST TRANSPLANT MALIGNANCY	NUM	BRAINTUM	
MALIG_DENOVO_TUMOR_6_DX_DATE	De Novo Tumor: Brain Diagnosis Date	TRF	2015-09-01 00:00:00		POST TRANSPLANT MALIGNANCY	NUM		
MALIG_DENOVO_TUMOR_7_DX	De Novo Tumor: Renal Carcinoma	TRF	2015-09-01 00:00:00		POST TRANSPLANT MALIGNANCY	NUM	YN	
MALIG_DENOVO_TUMOR_7_DX_DATE	De Novo Tumor: Renal Carcinoma Diagnosis Date	TRF	2015-09-01 00:00:00		POST TRANSPLANT MALIGNANCY	NUM		
MALIG_DENOVO_TUMOR_8_DX	De Novo Tumor: Carcinoma of Vulva, Perineum or Penis, Scrotum	TRF	2015-09-01 00:00:00		POST TRANSPLANT MALIGNANCY	NUM	YN	
MALIG_DENOVO_TUMOR_8_DX_DATE	De Novo Tumor: Carcinoma of Vulva, Perineum or Penis, Scrotum Diagnosis Date	TRF	2015-09-01 00:00:00		POST TRANSPLANT MALIGNANCY	NUM		
MALIG_DENOVO_TUMOR_9_DX	De Novo Tumor: Carcinoma of the Uterus	TRF	2015-09-01 00:00:00		POST TRANSPLANT MALIGNANCY	NUM	YN	
MALIG_DENOVO_TUMOR_9_DX_DATE	De Novo Tumor: Carcinoma of the Uterus Diagnosis Date	TRF	2015-09-01 00:00:00		POST TRANSPLANT MALIGNANCY	NUM		
MALIG_DON_REL	Post Transplant Malignancy - Donor Related	TRF	2015-09-01 00:00:00		POST TRANSPLANT MALIGNANCY	CHAR(1)	YNU	
MALIG_DON_REL_1_DX	Donor Related Tumor: Skin: Squamous Cell	TRF	2015-09-01 00:00:00		POST TRANSPLANT MALIGNANCY	NUM	YN	
MALIG_DON_REL_1_DX_DATE	Donor Related Tumor: Skin: Squamous Cell Diagnosis Date	TRF	2015-09-01 00:00:00		POST TRANSPLANT MALIGNANCY	NUM		
MALIG_DON_REL_10_DX	Donor Related Tumor: Ovarian	TRF	2015-09-01 00:00:00		POST TRANSPLANT MALIGNANCY	NUM	YN	
MALIG_DON_REL_10_DX_DATE	Donor Related Tumor: Ovarian Diagnosis Date	TRF	2015-09-01 00:00:00		POST TRANSPLANT MALIGNANCY	NUM		
MALIG_DON_REL_11_DX	Donor Related Tumor: Testicular	TRF	2015-09-01 00:00:00		POST TRANSPLANT MALIGNANCY	NUM	YN	
MALIG_DON_REL_11_DX_DATE	Donor Related Tumor: Testicular Diagnosis Date	TRF	2015-09-01 00:00:00		POST TRANSPLANT MALIGNANCY	NUM		
MALIG_DON_REL_12_DX	Donor Related Tumor: Esophagus	TRF	2015-09-01 00:00:00		POST TRANSPLANT MALIGNANCY	NUM	YN	
MALIG_DON_REL_12_DX_DATE	Donor Related Tumor: Esophagus Diagnosis Date	TRF	2015-09-01 00:00:00		POST TRANSPLANT MALIGNANCY	NUM		
MALIG_DON_REL_13_DX	Donor Related Tumor: Stomach	TRF	2015-09-01 00:00:00		POST TRANSPLANT MALIGNANCY	NUM	YN	
MALIG_DON_REL_13_DX_DATE	Donor Related Tumor: Stomach Diagnosis Date	TRF	2015-09-01 00:00:00		POST TRANSPLANT MALIGNANCY	NUM		
MALIG_DON_REL_14_DX	Donor Related Tumor: Small Intestine	TRF	2015-09-01 00:00:00		POST TRANSPLANT MALIGNANCY	NUM	YN	
MALIG_DON_REL_14_DX_DATE	Donor Related Tumor: Small Intestine Diagnosis Date	TRF	2015-09-01 00:00:00		POST TRANSPLANT MALIGNANCY	NUM		
MALIG_DON_REL_15_DX	Donor Related Tumor: Pancreas	TRF	2015-09-01 00:00:00		POST TRANSPLANT MALIGNANCY	NUM	YN	
MALIG_DON_REL_15_DX_DATE	Donor Related Tumor: Pancreas Diagnosis Date	TRF	2015-09-01 00:00:00		POST TRANSPLANT MALIGNANCY	NUM		
MALIG_DON_REL_16_DX	Donor Related Tumor: Larynx	TRF	2015-09-01 00:00:00		POST TRANSPLANT MALIGNANCY	NUM	YN	
MALIG_DON_REL_16_DX_DATE	Donor Related Tumor: Larynx Diagnosis Date	TRF	2015-09-01 00:00:00		POST TRANSPLANT MALIGNANCY	NUM		
MALIG_DON_REL_17_DX	Donor Related Tumor: Tongue, Throat	TRF	2015-09-01 00:00:00		POST TRANSPLANT MALIGNANCY	NUM	YN	
MALIG_DON_REL_17_DX_DATE	Donor Related Tumor: Tongue, Throat Diagnosis Date	TRF	2015-09-01 00:00:00		POST TRANSPLANT MALIGNANCY	NUM		
MALIG_DON_REL_18_DX	Donor Related Tumor: Thyroid	TRF	2015-09-01 00:00:00		POST TRANSPLANT MALIGNANCY	NUM	YN	
MALIG_DON_REL_18_DX_DATE	Donor Related Tumor: Thyroid Diagnosis Date	TRF	2015-09-01 00:00:00		POST TRANSPLANT MALIGNANCY	NUM		
MALIG_DON_REL_19_DX	Donor Related Tumor: Bladder	TRF	2015-09-01 00:00:00		POST TRANSPLANT MALIGNANCY	NUM	YN	
MALIG_DON_REL_19_DX_DATE	Donor Related Tumor: Bladder Diagnosis Date	TRF	2015-09-01 00:00:00		POST TRANSPLANT MALIGNANCY	NUM		
MALIG_DON_REL_2_DX	Donor Related Tumor: Skin: Basal Cell	TRF	2015-09-01 00:00:00		POST TRANSPLANT MALIGNANCY	NUM	YN	
MALIG_DON_REL_2_DX_DATE	Donor Related Tumor: Skin: Basal Cell Diagnosis Date	TRF	2015-09-01 00:00:00		POST TRANSPLANT MALIGNANCY	NUM		
MALIG_DON_REL_20_DX	Donor Related Tumor: Breast	TRF	2015-09-01 00:00:00		POST TRANSPLANT MALIGNANCY	NUM	YN	
MALIG_DON_REL_20_DX_DATE	Donor Related Tumor: Breast Diagnosis Date	TRF	2015-09-01 00:00:00		POST TRANSPLANT MALIGNANCY	NUM		
MALIG_DON_REL_21_DX	Donor Related Tumor: Prostate	TRF	2015-09-01 00:00:00		POST TRANSPLANT MALIGNANCY	NUM	YN	
MALIG_DON_REL_21_DX_DATE	Donor Related Tumor: Prostate Diagnosis Date	TRF	2015-09-01 00:00:00		POST TRANSPLANT MALIGNANCY	NUM		
MALIG_DON_REL_22_DX	Donor Related Tumor: ColoRectal	TRF	2015-09-01 00:00:00		POST TRANSPLANT MALIGNANCY	NUM	YN	
MALIG_DON_REL_22_DX_DATE	Donor Related Tumor: ColoRectal Diagnosis Date	TRF	2015-09-01 00:00:00		POST TRANSPLANT MALIGNANCY	NUM		
MALIG_DON_REL_23_DX	Donor Related Tumor: Primary Hepatic Tumor	TRF	2015-09-01 00:00:00		POST TRANSPLANT MALIGNANCY	NUM	YN	
MALIG_DON_REL_23_DX_DATE	Donor Related Tumor: Primary Hepatic Tumor Diagnosis Date	TRF	2015-09-01 00:00:00		POST TRANSPLANT MALIGNANCY	NUM		
MALIG_DON_REL_24_DX	Donor Related Tumor: Metastic Liver Tumor	TRF	2015-09-01 00:00:00		POST TRANSPLANT MALIGNANCY	NUM	YN	
MALIG_DON_REL_24_DX_DATE	Donor Related Tumor: Metastic Liver Tumor  Diagnosis Date	TRF	2015-09-01 00:00:00		POST TRANSPLANT MALIGNANCY	NUM		
MALIG_DON_REL_25_DX	Donor Related Tumor: Lung	TRF	2015-09-01 00:00:00		POST TRANSPLANT MALIGNANCY	NUM	YN	
MALIG_DON_REL_25_DX_DATE	Donor Related Tumor: Lung Diagnosis Date	TRF	2015-09-01 00:00:00		POST TRANSPLANT MALIGNANCY	NUM		
MALIG_DON_REL_26_DX	Donor Related Tumor: Leukemia	TRF	2015-09-01 00:00:00		POST TRANSPLANT MALIGNANCY	NUM	YN	
MALIG_DON_REL_26_DX_DATE	Donor Related Tumor: Leukemia Diagnosis Date	TRF	2015-09-01 00:00:00		POST TRANSPLANT MALIGNANCY	NUM		
MALIG_DON_REL_27_DX	Donor Related Tumor: Sarcoma (excluding Kaposi's)	TRF	2015-09-01 00:00:00		POST TRANSPLANT MALIGNANCY	NUM	YN	
MALIG_DON_REL_27_DX_DATE	Donor Related Tumor: Sarcoma (excluding Kaposi's) Diagnosis Date	TRF	2015-09-01 00:00:00		POST TRANSPLANT MALIGNANCY	NUM		
MALIG_DON_REL_28_DX	Donor Related Tumor: Other Cancers	TRF	2015-09-01 00:00:00		POST TRANSPLANT MALIGNANCY	NUM	YN	
MALIG_DON_REL_28_DX_DATE	Donor Related Tumor: Other Cancers Diagnosis Date	TRF	2015-09-01 00:00:00		POST TRANSPLANT MALIGNANCY	NUM		
MALIG_DON_REL_29_DX	Donor Related Tumor: Primary Unknown	TRF	2015-09-01 00:00:00		POST TRANSPLANT MALIGNANCY	NUM	YN	
MALIG_DON_REL_29_DX_DATE	Donor Related Tumor: Primary Unknown Diagnosis Date	TRF	2015-09-01 00:00:00		POST TRANSPLANT MALIGNANCY	NUM		
MALIG_DON_REL_3_DX	Donor Related Tumor: Skin: Melanoma	TRF	2015-09-01 00:00:00		POST TRANSPLANT MALIGNANCY	NUM	YN	
MALIG_DON_REL_3_DX_DATE	Donor Related Tumor: Skin: Melanoma Diagnosis Date	TRF	2015-09-01 00:00:00		POST TRANSPLANT MALIGNANCY	NUM		
MALIG_DON_REL_4_DX	Donor Related Tumor: Kaposi's Sarcoma: Cutaneous	TRF	2015-09-01 00:00:00		POST TRANSPLANT MALIGNANCY	NUM	YN	
MALIG_DON_REL_4_DX_DATE	Donor Related Tumor: Kaposi's Sarcoma: Cutaneous Diagnosis Date	TRF	2015-09-01 00:00:00		POST TRANSPLANT MALIGNANCY	NUM		
MALIG_DON_REL_5_DX	Donor Related Tumor: Kaposi's Sarcoma: Visceral	TRF	2015-09-01 00:00:00		POST TRANSPLANT MALIGNANCY	NUM	YN	
MALIG_DON_REL_5_DX_DATE	Donor Related Tumor: Kaposi's Sarcoma: Visceral Diagnosis Date	TRF	2015-09-01 00:00:00		POST TRANSPLANT MALIGNANCY	NUM		
MALIG_DON_REL_6_DX	Donor Related Tumor: Brain	TRF	2015-09-01 00:00:00		POST TRANSPLANT MALIGNANCY	NUM	BRAINTUM	
MALIG_DON_REL_6_DX_DATE	Donor Related Tumor: Brain Diagnosis Date	TRF	2015-09-01 00:00:00		POST TRANSPLANT MALIGNANCY	NUM		
MALIG_DON_REL_7_DX	Donor Related Tumor: Renal Carcinoma	TRF	2015-09-01 00:00:00		POST TRANSPLANT MALIGNANCY	NUM	YN	
MALIG_DON_REL_7_DX_DATE	Donor Related Tumor: Renal Carcinoma Diagnosis Date	TRF	2015-09-01 00:00:00		POST TRANSPLANT MALIGNANCY	NUM		
MALIG_DON_REL_8_DX	Donor Related Tumor: Carcinoma of Vulva, Perineum or Penis, Scrotum	TRF	2015-09-01 00:00:00		POST TRANSPLANT MALIGNANCY	NUM	YN	
MALIG_DON_REL_8_DX_DATE	Donor Related Tumor: Carcinoma of Vulva, Perineum or Penis, Scrotum Diagnosis Date	TRF	2015-09-01 00:00:00		POST TRANSPLANT MALIGNANCY	NUM		
MALIG_DON_REL_9_DX	Donor Related Tumor: Carcinoma of the Uterus	TRF	2015-09-01 00:00:00		POST TRANSPLANT MALIGNANCY	NUM	YN	
MALIG_DON_REL_9_DX_DATE	Donor Related Tumor: Carcinoma of the Uterus Diagnosis Date	TRF	2015-09-01 00:00:00		POST TRANSPLANT MALIGNANCY	NUM		
MALIG_PRETX_TUMOR	Recurrence of Pretransplant Malignancy	TRF	2015-09-01 00:00:00		CLINICAL INFORMATION	CHAR(1)	YNU	
MALIG_PRETX_TUMOR_DT	Recurrence of Pretransplant Malignancy Date	TRF	2015-09-01 00:00:00		CLINICAL INFORMATION	NUM		
MALIG_PRETX_TUMOR_TY	Recurrence of Pretransplant Malignancy Type	TRF	2015-09-01 00:00:00		CLINICAL INFORMATION	NUM	RECUR_TUMOR_TY	
MENTAL_HEALTH_SCORE	Mental Heath (MH) Score (0-100 Scale)	TRF	2015-09-01 00:00:00		FUNCTIONAL STATUS	NUM		
MOTOR_DEV	Motor Development (for recipients younger than 18 years of age at transplant and younger than 26 years of age at followup)	TRF	2015-09-01 00:00:00		FUNCTIONAL STATUS	NUM	MOTOR_DEV	
MR_DSA	Donor Specific Antibodies (DSA) detected	TRF	2015-09-01 00:00:00		CLINICAL INFORMATION	NUM	SERSTAT	
MR_HEMOGLOBIN_A1C	Hemoglobin A1c (%)	TRF	2015-09-01 00:00:00		CLINICAL INFORMATION	NUM		
MR_SERUM_CREAT	Serum Creatinine (mg/dL)	TRF	2015-09-01 00:00:00		CLINICAL INFORMATION	NUM		
NON_COMPL_ACTIVITY	Noncompliance: level of activity	TRF	2015-09-01 00:00:00		NONCOMPLIANCE	CHAR(1)	YN	
NON_COMPL_ACTIVITY_LEFT	Noncompliance: level of activity Left Limb	TRF	2015-09-01 00:00:00		NONCOMPLIANCE	CHAR(1)	YN	
NON_COMPL_ACTIVITY_RIGHT	Noncompliance: level of activity Right Limb	TRF	2015-09-01 00:00:00		NONCOMPLIANCE	CHAR(1)	YN	
NON_COMPL_IMMUNO	Noncompliance: immunosuppression	TRF	2015-09-01 00:00:00		NONCOMPLIANCE	CHAR(1)	YN	
NON_COMPL_IMMUNO_LEFT	Noncompliance: immunosuppression Left Limb	TRF	2015-09-01 00:00:00		NONCOMPLIANCE	CHAR(1)	YN	
NON_COMPL_IMMUNO_RIGHT	Noncompliance: immunosuppression Right Limb	TRF	2015-09-01 00:00:00		NONCOMPLIANCE	CHAR(1)	YN	
NON_COMPL_OTH	Noncompliance: Other	TRF	2015-09-01 00:00:00		NONCOMPLIANCE	CHAR(1)	YN	
NON_COMPL_REHAB	Noncompliance: Rehabilitation	TRF	2015-09-01 00:00:00		NONCOMPLIANCE	CHAR(1)	YN	
NON_COMPL_REHAB_LEFT	Noncompliance: Rehabilitation Left Limb	TRF	2015-09-01 00:00:00		NONCOMPLIANCE	CHAR(1)	YN	
NON_COMPL_REHAB_RIGHT	Noncompliance: Rehabilitation Right Limb	TRF	2015-09-01 00:00:00		NONCOMPLIANCE	CHAR(1)	YN	
NUM_ACUTE_REJ_EPI	Acute Rejection Episodes, If yes, number of rejection episodes	TRF	2015-09-01 00:00:00		CLINICAL INFORMATION: POST TRANSPLANT	NUM		
NUM_ACUTE_REJ_EPI_LEFT	Acute Rejection Episodes, If yes, number of rejection episodes Left Limb	TRF	2015-09-01 00:00:00		CLINICAL INFORMATION: POST TRANSPLANT	NUM		
NUM_ACUTE_REJ_EPI_RIGHT	Acute Rejection Episodes, If yes, number of rejection episodes Right Limb	TRF	2015-09-01 00:00:00		CLINICAL INFORMATION: POST TRANSPLANT	NUM		
NUM_HOSP	Recipient hospitalized since the Last Patient Status Date If Yes, number of hospitalizations	TRF	2015-09-01 00:00:00		PATIENT STATUS	NUM		
OLF_FUNC_RESTORED	Olfactory function restored (only collected on 6month followup)	TRF	2015-09-01 00:00:00		HEAD AND NECK: CRANIOFACIAL	CHAR(1)	YN	
ORAL_COMPETENCE	Oral competence	TRF	2015-09-01 00:00:00		FUNCTIONAL STATUS	NUM	VCA_ORALCOMP	
OTHER_COMPLICATIONS	Other Major Transplant Complications	TRF	2015-09-01 00:00:00		Clinical Information: Post Transplant - Major Transplant Complication	NUM	YN	
PERCENT_INTELLIGIBILITY	Percent Intelligibility (0-100% Scale)	TRF	2015-09-01 00:00:00		FUNCTIONAL STATUS	NUM		
PERIOP_ANTICOAG	Peri-operative anticoagulation	TRF	2015-09-01 00:00:00		Treatment	CHAR(1)	YN	
PHYSICAL_FUNC_SCORE	Physical Functioning (PF) Score (0-100 Scale)	TRF	2015-09-01 00:00:00		FUNCTIONAL STATUS	NUM		
PRI_PAYMENT	RECIPIENT PRIMARY SOURCE OF PAYMENT	TRF	2015-09-01 00:00:00		RECIPIENT INFORMATION	NUM	PRIMPAY	
PRI_PAYMENT_CTRY	RECIPIENT FOREIGN GOV'T AS SECONDARY PAYMENT SOURCE	TRF	2015-09-01 00:00:00		RECIPIENT INFORMATION	CHAR(4)	CTRY	
PSYCHO_SOCIAL_CONSULT	Psychosocial consult performed	TRF	2015-09-01 00:00:00		FUNCTIONAL STATUS	CHAR(1)	YN	
PX_STAT	Recipient Status at Time of Follow-Up(Died, ReTX, Lost, Not Seen, Alive)	TRF	2015-09-01 00:00:00		PATIENT STATUS	CHAR(1)	PXSTAT	
PX_STAT_DT	Date Last Seen, Retransplanted, or Death	TRF	2015-09-01 00:00:00		PATIENT STATUS	NUM		
REHAB	Rehabilitation	TRF	2015-09-01 00:00:00		CLINICAL INFORMATION	CHAR(1)	YN	
REJ_ACUTE	Acute Rejection	TRF	2015-09-01 00:00:00		CLINICAL INFORMATION	CHAR(1)	YN	
REJ_ACUTE_BANFF_SCORE	Acute Rejection - If Yes, Banff score	TRF	2015-09-01 00:00:00		CLINICAL INFORMATION	NUM	VCA_BANFF	
REJ_ACUTE_BANFF_SCORE_1	Rejection Episode 1 - If Yes, Banff Score	TRF	2015-09-01 00:00:00		CLINICAL INFORMATION	NUM	VCA_BANFF	
REJ_ACUTE_BANFF_SCORE_2	Rejection Episode 2 - If Yes, Banff Score	TRF	2015-09-01 00:00:00		CLINICAL INFORMATION	NUM	VCA_BANFF	
REJ_ACUTE_BANFF_SCORE_3	Rejection Episode 3 - If Yes, Banff Score	TRF	2015-09-01 00:00:00		CLINICAL INFORMATION	NUM	VCA_BANFF	
REJ_ACUTE_BANFF_SCORE_4	Rejection Episode 4 - If Yes, Banff Score	TRF	2015-09-01 00:00:00		CLINICAL INFORMATION	NUM	VCA_BANFF	
REJ_ACUTE_BANFF_SCORE_5	Rejection Episode 5 - If Yes, Banff Score	TRF	2015-09-01 00:00:00		CLINICAL INFORMATION	NUM	VCA_BANFF	
REJ_ACUTE_BANFF_SCORE_LEFT	Acute Rejection Left Limb - If Yes, Banff score	TRF	2015-09-01 00:00:00		CLINICAL INFORMATION	NUM	VCA_BANFF	
REJ_ACUTE_BANFF_SCORE_LEFT_1	Rejection Episode 1 Left Limb - If Yes, Banff Score	TRF	2015-09-01 00:00:00		CLINICAL INFORMATION	NUM	VCA_BANFF	
REJ_ACUTE_BANFF_SCORE_LEFT_2	Rejection Episode 2 Left Limb - If Yes, Banff Score	TRF	2015-09-01 00:00:00		CLINICAL INFORMATION	NUM	VCA_BANFF	
REJ_ACUTE_BANFF_SCORE_LEFT_3	Rejection Episode 3 Left Limb - If Yes, Banff Score	TRF	2015-09-01 00:00:00		CLINICAL INFORMATION	NUM	VCA_BANFF	
REJ_ACUTE_BANFF_SCORE_LEFT_4	Rejection Episode 4 Left Limb - If Yes, Banff Score	TRF	2015-09-01 00:00:00		CLINICAL INFORMATION	NUM	VCA_BANFF	
REJ_ACUTE_BANFF_SCORE_LEFT_5	Rejection Episode 5 Left Limb - If Yes, Banff Score	TRF	2015-09-01 00:00:00		CLINICAL INFORMATION	NUM	VCA_BANFF	
REJ_ACUTE_BANFF_SCORE_RIGHT	Acute Rejection Right Limb - If Yes, Banff score	TRF	2015-09-01 00:00:00		CLINICAL INFORMATION	NUM	VCA_BANFF	
REJ_ACUTE_BANFF_SCORE_RIGHT_1	Rejection Episode 1 Right Limb - If Yes, Banff Score	TRF	2015-09-01 00:00:00		CLINICAL INFORMATION	NUM	VCA_BANFF	
REJ_ACUTE_BANFF_SCORE_RIGHT_2	Rejection Episode 2 Right Limb - If Yes, Banff Score	TRF	2015-09-01 00:00:00		CLINICAL INFORMATION	NUM	VCA_BANFF	
REJ_ACUTE_BANFF_SCORE_RIGHT_3	Rejection Episode 3 Right Limb - If Yes, Banff Score	TRF	2015-09-01 00:00:00		CLINICAL INFORMATION	NUM	VCA_BANFF	
REJ_ACUTE_BANFF_SCORE_RIGHT_4	Rejection Episode 4 Right Limb - If Yes, Banff Score	TRF	2015-09-01 00:00:00		CLINICAL INFORMATION	NUM	VCA_BANFF	
REJ_ACUTE_BANFF_SCORE_RIGHT_5	Rejection Episode 5 Right Limb - If Yes, Banff Score	TRF	2015-09-01 00:00:00		CLINICAL INFORMATION	NUM	VCA_BANFF	
REJ_ACUTE_BIOPSY_DONE_1	Rejection Episode 1 - Biopsy was done to confirm acute rejection	TRF	2015-09-01 00:00:00		CLINICAL INFORMATION	CHAR(1)	YN	
REJ_ACUTE_BIOPSY_DONE_2	Rejection Episode 2 - Biopsy was done to confirm acute rejection	TRF	2015-09-01 00:00:00		CLINICAL INFORMATION	CHAR(1)	YN	
REJ_ACUTE_BIOPSY_DONE_3	Rejection Episode 3 - Biopsy was done to confirm acute rejection	TRF	2015-09-01 00:00:00		CLINICAL INFORMATION	CHAR(1)	YN	
REJ_ACUTE_BIOPSY_DONE_4	Rejection Episode 4 - Biopsy was done to confirm acute rejection	TRF	2015-09-01 00:00:00		CLINICAL INFORMATION	CHAR(1)	YN	
REJ_ACUTE_BIOPSY_DONE_5	Rejection Episode 5 - Biopsy was done to confirm acute rejection	TRF	2015-09-01 00:00:00		CLINICAL INFORMATION	CHAR(1)	YN	
REJ_ACUTE_BIOPSY_DONE_LEFT_1	Rejection Episode 1 Left Limb - Biopsy was done to confirm acute rejection	TRF	2015-09-01 00:00:00		CLINICAL INFORMATION	CHAR(1)	YN	
REJ_ACUTE_BIOPSY_DONE_LEFT_2	Rejection Episode 2 Left Limb - Biopsy was done to confirm acute rejection	TRF	2015-09-01 00:00:00		CLINICAL INFORMATION	CHAR(1)	YN	
REJ_ACUTE_BIOPSY_DONE_LEFT_3	Rejection Episode 3 Left Limb - Biopsy was done to confirm acute rejection	TRF	2015-09-01 00:00:00		CLINICAL INFORMATION	CHAR(1)	YN	
REJ_ACUTE_BIOPSY_DONE_LEFT_4	Rejection Episode 4 Left Limb - Biopsy was done to confirm acute rejection	TRF	2015-09-01 00:00:00		CLINICAL INFORMATION	CHAR(1)	YN	
