"STAR Table Name: LIVER_DATA
Variable Names in red font denote that field has important information in the Comment field

The data files created based on data as of 4/5/2024 will include data for registrations added and/or transplants occurring through 03/31/2024"	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8
GSTATUS	GRAFT FAILED (1=YES)	CALCULATED				NUM		
GTIME	GRAFT LIFESPAN-Days From Transplant to Failure/Death/Last Follow-Up	CALCULATED				NUM		
HASHBVVACCINATION	Did Recipient Receive Hepatitis B Vaccines Prior to Transplant?	TRR	2022-08-30 00:00:00			CHAR(1)	YNU	
HBEAB_OLD	RECIPIENT- Hepatitis B e Antibody SEROLOGY (PRE 10/25/99 DATA)  @ TRANSPLANT	TRR(PRE 10/25/99 VERSION)	1994-04-01 00:00:00	1999-10-25 00:00:00	PRETRANSPLANT SEROLOGY	CHAR(3)	SERSTAT	
HBSAB_DON	DECEASED DONOR HBSAB TEST RESULT	DDR	2006-05-03 00:00:00		CLINICAL INFORMATION	CHAR(2)	SERSTAT	
HBV_CORE	RECIPIENT HEPATITIS B-CORE ANTIBODY	TRR	1987-10-01 00:00:00		CLINICAL INFORMATION	CHAR(2)	SERSTAT	
HBV_CORE_DON	DONOR HBV CORE ANTIBODY	DDR/LDR	1994-04-01 00:00:00		CLINICAL INFORMATION	CHAR(2)	SERSTAT	
HBV_DNA_DON	LIVING DONOR HBV DNA	LDR	1994-04-01 00:00:00		CLINICAL INFORMATION	CHAR(2)	SERSTAT	
HBV_NAT	TRR HBV NAT RESULT	TRR	2018-02-28 00:00:00		PRETRANSPLANT CLINICAL INFORMATION	CHAR(2)	SERSTAT	
HBV_NAT_DON	DDR HBV NAT Results:	DDR	2015-03-31 00:00:00		CLINICAL INFORMATION	CHAR(2)	SERSTAT	
HBV_SUR_ANTIGEN	RECIPIENT HEP B SURFACE ANTIGEN	TRR	1987-10-01 00:00:00		CLINICAL INFORMATION	CHAR(2)	SERSTAT	
HBV_SUR_ANTIGEN_DON	DONOR HEP B SURFACE ANTIGEN	DDR/LDR	1987-10-01 00:00:00		CLINICAL INFORMATION	CHAR(2)	SERSTAT	
HBV_SURF_TOTAL	RECIPIENT HBV Surface Antibody Total @ TRANSPLANT	TRR	2015-03-31 00:00:00		CLINICAL INFORMATION	CHAR(2)	SERSTAT	
HBV_TEST_DON	LIVING DONOR HBV TEST DONE	LDR	1994-04-01 00:00:00		CLINICAL INFORMATION	CHAR(1)		
HCC_DIAG	HAS RECIPIENT EVER HAD A DIAGNOSIS OF HCC?	TRR	2015-03-31 00:00:00		CLINICAL INFORMATION	CHAR(2)	YNU	
HCC_DIAGNOSIS_TCR	HAS CANDIDATE EVER HAD A DIAGNOSIS OF HCC?	TCR	2015-03-31 00:00:00		CLINICAL INFORMATION	CHAR(1)	YNU	
HCC_EVER_APPR	CANDIDATE EVER HAD AN APPROVED HCC EXCEPTION?	WAITING LIST DATA	2002-02-27 00:00:00		WAITING LIST DATA	NUM		
HCV_ANTIBODY_DON	LIVING DONOR HEP C ANTIBODY	LDR	1994-04-01 00:00:00		CLINICAL INFORMATION	CHAR(2)	SERSTAT	
HCV_NAT	TRR HCV NAT RESULT	TRR	2018-02-28 00:00:00		PRETRANSPLANT CLINICAL INFORMATION	CHAR(2)	SERSTAT	
HCV_NAT_DON	DDR HCV NAT Results:	DDR	2015-03-31 00:00:00		CLINICAL INFORMATION	CHAR(2)	SERSTAT	
HCV_RIBA_DON	LIVING DONOR HEP C-RIBA TEST	LDR	1994-04-01 00:00:00		CLINICAL INFORMATION	CHAR(2)	SERSTAT	
HCV_RNA_DON	LIVING DONOR HEP C RNA	LDR	1994-04-01 00:00:00		CLINICAL INFORMATION	CHAR(2)	SERSTAT	
HCV_SEROSTATUS	RECIPIENT HEP C STATUS	TRR	1994-04-01 00:00:00			CHAR(2)	SERSTAT	
HCV_TEST_DON	LIVING DONOR HEP C TEST DONE?	LDR	1994-04-01 00:00:00		CLINICAL INFORMATION	CHAR(1)		
HEMATOCRIT_DON	DDR:Hematocrit:	DDR	2004-06-30 00:00:00		CLINICAL INFORMATION	NUM		
HEP_C_ANTI_DON	DECEASED DONOR-ANTIBODY TO HEP C VIRUS RESULT	DDR	1994-04-01 00:00:00		CLINICAL INFORMATION	CHAR(2)	SERSTAT	
HEP_DENOVO	RECIPIENT CONTRIBUTING CAUSE OF GRAFT FAILURE - HEPATITIS DeNovo	TRF/TRR	1994-04-01 00:00:00		(POST TRANSPLANT) CLINICAL INFORMATION	CHAR(1)	YNU	"The user is asked to check as many contributing causes of failure as apply, there is no ""primary"" cause of failure"
HEP_RECUR	RECIPIENT CONTRIBUTING CAUSE OF GRAFT FAILURE - HEPATITIS RECURRENT	TRF/TRR	1994-04-01 00:00:00		(POST TRANSPLANT) CLINICAL INFORMATION	CHAR(1)	YNU	"The user is asked to check as many contributing causes of failure as apply, there is no ""primary"" cause of failure"
HEPARIN_DON	DECEASED DONOR MANAGEMENT - HEPARIN (NO COLLECTION BETWEEN 10/25/99 - 1/27/03)	DDR 	1994-04-01 00:00:00		CLINICAL INFORMATION	CHAR(1)	YNU	
HEPATIC_ART_THROM	RECIPIENT CONTRIBUTING CAUSE OF GRAFT FAILURE: Hepatic Artery Thrombosis (adult since 3/31/2015)	TRR/TRF	2008-03-01 00:00:00		CLINICAL INFORMATION	CHAR(1)	YNU	
HEPATIC_OUT_OBS	PEDIATRIC RECIPIENT CONTRIBUTING CAUSE OF GRAFT FAILURE: Hepatic Outflow Obstruction	TRR/TRF	2008-03-01 00:00:00		CLINICAL INFORMATION	CHAR(1)	YNU	
HEPD_OLD	RECIPIENT- Hepatitis D SEROLOGY (PRE 10/25/99 DATA)  @ TRANSPLANT	TRR(PRE 10/25/99 VERSION)	1994-04-01 00:00:00	1999-10-25 00:00:00	PRETRANSPLANT SEROLOGY	CHAR(3)	SERSTAT	
HGT_CM_CALC	CALCULATED RECIPIENT HEIGHT(cm)	CALCULATED				NUM		
HGT_CM_DON_CALC	CALCULATED DONOR HEIGHT (CM)	CALCULATED				NUM		
HGT_CM_TCR	RECIPIENT HEIGHT @ REGISTRATION	TCR	1987-10-01 00:00:00		CLINICAL INFORMATION	NUM		
HIST_ALCOHOL_OLD_DON	DECEASED DONOR-HISTORY OF ALCOHOL DEPENDENCY	DDR	1994-04-01 00:00:00		DONOR HISTORY	CHAR(1)	YNU	
HIST_CANCER_DON	DECEASED DONOR-HISTORY OF CANCER (Y/N)	DDR	1994-04-01 00:00:00		DONOR HISTORY	CHAR(1)	YNU	
HIST_CIG_DON	DECEASED DONOR-HISTORY OF CIGARETTES IN PAST @ >20PACK YRS	DDR	1994-04-01 00:00:00		DONOR HISTORY	CHAR(1)	YNU	
HIST_COCAINE_DON	DECEASED DONOR-HISTORY OF COCAINE USE IN PAST	DDR	1999-10-25 00:00:00		DONOR HISTORY	CHAR(1)	YNU	
HIST_DIABETES_DON	DECEASED DONOR-HISTORY OF DIABETES, INCL. DURATION OF DISEASE	DDR	1994-04-01 00:00:00		DONOR HISTORY	NUM	HISTDIAB	
HIST_HYPERTENS_DON	DECEASED DONOR-HISTORY OF HYPERTENSION	DDR	1994-04-01 00:00:00		DONOR HISTORY	CHAR(1)	YNU	
HIST_INSULIN_DEP_DON	DECEASED DONOR-INSULIN DEPENDENT DIABETES (Y,N)	DDR	1994-04-01 00:00:00		DONOR HISTORY	CHAR(1)	YNU	UNROLLED FROM INSULIN_DUR_DON TO INCLUDE ONLY THE Y,N RESPONSE
HIST_IV_DRUG_OLD_DON	DECEASED DONOR-HISTORY OF IV DRUG USE IN PAST	DDR	1994-04-01 00:00:00		DONOR HISTORY	CHAR(1)	YNU	
HIST_OTH_DRUG_DON	DECEASED DONOR-HISTORY OF OTHER DRUG USE IN PAST	DDR	1994-04-01 00:00:00		DONOR HISTORY	CHAR(1)	YNU	
HISTORY_MI_DON	DDR HISTORY OF PRIOR MI	DDR	1999-10-25 00:00:00		ORGAN RECOVERY	CHAR(1)	YNU	
HIV_NAT	TRR HIV NAT RESULT	TRR	2018-02-28 00:00:00		PRETRANSPLANT CLINICAL INFORMATION	CHAR(2)	SERSTAT	
HIV_NAT_DON	DDR HIV NAT Results:	DDR	2015-03-31 00:00:00		CLINICAL INFORMATION	CHAR(2)	SERSTAT	
HIV_SEROSTATUS	RECIPIENT HIV SEROSTATUS AT TRANSPLANT	TRR	1987-10-01 00:00:00		CLINICAL INFORMATION	CHAR(2)	SERSTAT	
HLAMIS	HLA MISMATCH LEVEL	CALCULATED				NUM		
HMO_PPO_DON	LIVING DONOR-HMO/PPO AS SECONDARY PAYMENT TYPE	LDR	1999-10-25 00:00:00		DONOR INFORMATION	CHAR(1)	YNU	
HOME_STATE_DON	DR HOME STATE	DDR/LDR	1987-10-01 00:00:00		DONOR INFORMATION	CHAR(2)	STATE	
HTLV1_OLD_DON	DECEASED DONOR-ANTIBODY TO HTLV I RESULT-PRE 6/04	DDR	1994-04-01 00:00:00	2004-06-30 00:00:00	CLINICAL INFORMATION	CHAR(2)	SERSTAT	
HTLV2_OLD_DON	DECEASED DONOR-ANTIBODY TO HTLV II RESULT-PRE 6/04	DDR	1994-04-01 00:00:00	2004-06-30 00:00:00	CLINICAL INFORMATION	CHAR(2)	SERSTAT	
HYPERTENS_DUR_DON	DECEASED DONOR-HYPERTENSION DURATION	DDR	1994-04-01 00:00:00		DONOR HISTORY	NUM	HISTHYPE	
IABP	RECIPIENT LIFE SUPPORT TYPE IABP @ REGISTRATION	TCR	1994-04-01 00:00:00	2004-06-30 00:00:00	CANDIDATE INFORMATION	NUM		
INACT_REASON_CD	REASON FOR INACTIVE STATUS	WAITING LIST DATA	2006-05-24 00:00:00		WAITING LIST DATA	NUM	INACTREA	
INFECT	RECIPIENT CONTRIBUTING CAUSE OF GRAFT FAILURE - INFECTION	TRF/TRR	1987-10-01 00:00:00		CLINICAL INFORMATION	CHAR(1)	YNU	"The user is asked to check as many contributing causes of failure as apply, there is no ""primary"" cause of failure"
INIT_AGE	AGE IN YEARS AT TIME OF LISTING	CALCULATED	1987-10-01 00:00:00			NUM		
INIT_ALBUMIN	INITIAL WAITING LIST ALBUMIN	WAITING LIST DATA	2002-02-27 00:00:00			NUM		
INIT_ASCITES	INITIAL WAITING LIST ASCITES	WAITING LIST DATA	2002-02-27 00:00:00			NUM	ASCITES	
INIT_BILIRUBIN	INITIAL WAITING LIST BILIRUBIN	WAITING LIST DATA	2002-02-27 00:00:00			NUM		
INIT_BMI_CALC	CALCULATED CANDIDATE BMI AT LISTING	CALCULATED				NUM		
INIT_CTP_SCORE	INITIAL WAITING LIST CTP SCORE	WAITING LIST DATA	2002-02-27 00:00:00			NUM		
INIT_DATE	BEGINNING DATE FOR REGISTRATION	WAITING LIST DATA	1987-10-01 00:00:00		WAITING LIST DATA	NUM		
INIT_DIALYSIS_PRIOR_WEEK	INITIAL WAITING LIST DIALYSIS TWICE IN PRIOR WEEK	WAITING LIST DATA	2002-02-27 00:00:00			CHAR(1)		
INIT_ENCEPH	INITIAL WAITING LIST ENCEPHALOPATHY	WAITING LIST DATA	2002-02-27 00:00:00			NUM	ENCEPH	
INIT_HGT_CM	CANDIDATE HEIGHT IN CM AT LISTING	TCR	1987-10-01 00:00:00			NUM		
INIT_INR	INITIAL WAITING LIST INR	WAITING LIST DATA	2002-02-27 00:00:00			NUM		
INIT_MELD_OR_PELD	INITIAL WAITING LIST USE MELD OR PELD	WAITING LIST DATA	2002-02-27 00:00:00			CHAR(4)		
INIT_MELD_PELD_LAB_SCORE	INITIAL WAITING LIST MELD/PELD LAB SCORE(MAY BE DIFFERENT THAN WHAT USED FOR ALLOCATION/INITSTAT)	WAITING LIST DATA	2002-02-27 00:00:00			NUM		
INIT_OPO_CTR_CODE	ENCRYPTED INITIAL OPO MAPPED FROM LISTING CENTER AND BEGINNING DATE	CALCULATED				CHAR(7)		
INIT_SERUM_CREAT	INITIAL WAITING LIST SERUM CREATININE	WAITING LIST DATA	2002-02-27 00:00:00			NUM		
INIT_SERUM_SODIUM	INITIAL WAITING LIST SERUM SODIUM	WAITING LIST DATA	2004-11-17 00:00:00			NUM		
INIT_STAT	INITIAL WAITING LIST STATUS CODE	WAITING LIST DATA	1990-01-01 00:00:00		WAITING LIST DATA	NUM	STAT	
INIT_WGT_KG	CANDIDATE WEIGHT IN KG AT LISTING	TCR	1987-10-01 00:00:00			NUM		
INO_PROCURE_AGENT_1	DECEASED DONOR-INOTROPIC MEDICATION AGENT 1	DDR	2003-01-27 00:00:00		CLINICAL INFORMATION	NUM	INOMED	
INO_PROCURE_AGENT_2	DECEASED DONOR-INOTROPIC MEDICATION AGENT 2	DDR	2003-01-27 00:00:00		CLINICAL INFORMATION	NUM	INOMED	
INO_PROCURE_AGENT_3	DECEASED DONOR-INOTROPIC MEDICATION AGENT 3	DDR	2003-01-27 00:00:00		CLINICAL INFORMATION	NUM	INOMED	
INOTROP_SUPPORT_DON	DECEASED DONOR INOTROPIC MEDICATION AT PROCUREMENT (Y/N)	DDR	2003-01-27 00:00:00		CLINICAL INFORMATION	CHAR(1)	YNU	
INOTROPES	RECIPIENT LIFE SUPPORT TYPE IV INOTORPES @ REGISTRATION	TCR	1994-04-01 00:00:00	2004-06-30 00:00:00	CANDIDATE INFORMATION	NUM		
INR_TX	RECIPIENT INR AT TRANSPLANT	WAITING LIST DATA	1999-10-25 00:00:00			NUM		
INSULIN_DEP_DON	DECEASED DONOR-INSULIN DEPENDENT DIABETES, INCL. DURATION OF DEPENDENCE	DDR	1994-04-01 00:00:00		DONOR HISTORY	NUM	INSDEPDU	
INSULIN_DON	DECEASED DONOR-WAS DONOR GIVEN INSULIN WITHIN 24 HRS PRE CROSS CLAMP?	DDR	2004-06-30 00:00:00		CLINICAL INFORMATION	CHAR(1)	YNU	
INTRACRANIAL_CANCER_DON	DECEASED DONOR-INTRACANIAL CANCER AT PROCUREMENT	DDR	1994-04-01 00:00:00		DONOR HISTORY	CHAR(1)	YNU	
LI_ALLOC_STAT	Liver Allocation Score or Status at Transplant (Post 6/28/2022)	CALCULATED				NUM	STAT	
LI_BIOPSY	CADAVER DONOR LIVER BIOPSY	DDR	1999-10-25 00:00:00		ORGAN RECOVERY	CHAR(1)	YNU	
LIFE_SUP_TCR	RECIPIENT LIFE SUPPORT @ REGISTRATION	TCR	1987-10-01 00:00:00		CANDIDATE INFORMATION	CHAR(1)	YNU	
LIFE_SUP_TRR	RECIPIENT LIFE SUPPORT PRE-TRANSPLANT @ TRANSPLANT	TRR	1987-10-01 00:00:00		PATIENT STATUS	CHAR(1)	YNU	
LIST_MELD	PATIENT LISTED PRIOR TO MELD/PELD?	CALCULATED				CHAR(3)		
LISTING_CTR_CODE	ENCRYPTED WL LISTING CENTER	CALCULATED				CHAR(7)		
LISTYR	ACTUAL YEAR REGISTRANT LISTED (WITHOUT DATE OFFSET)	CALCULATED	1987-10-01 00:00:00			NUM		
LITYP	RECIPIENT LIVER PARTIAL/SPLIT TYPE	TRR/CALCULATED	1994-04-01 00:00:00		TRANSPLANT CLINICAL INFORMATION	NUM	ALL_LISPLITTYPE	Data field values for LITYP will be found in either format LISPLITTYPE or LISPLITTYPEPART
LIV_DON_TY	LIVING DONOR RELATION TO RECIPIENT	LDR	1994-04-01 00:00:00		DONOR INFORMATION	NUM	LDONREL	
LIVERCHECKINDATE	Liver Check-in Date	TRR	2023-09-14 00:00:00			Num		
LIVERCHECKINTIME	Liver Check-in Time	TRR	2023-09-14 00:00:00			Num		
LIVERCHECKINTIMEZONEID	Liver Check-In //Time Zone:	TRR	2023-09-14 00:00:00			NUM	commontz	
LOS	RECIPIENT LENGTH OF STAY POST TX	TRR-CALCULATED	1999-10-25 00:00:00		PATIENT STATUS	NUM		
LT_ONE_WEEK_DON	Donor Less Than 7 Days Old at Time of Donation	CALCULATED	2016-09-13 00:00:00			CHAR(1)	YNU	
LV_EJECT_DON	DDR LEFT VENTRICULAR EJECTION FRACTION	DDR	1999-10-25 00:00:00		ORGAN RECOVERY	NUM		
LV_EJECT_METH_DON	DDR LEFT VENT. EJECTION FRACTION METHOD	DDR	1999-10-25 00:00:00		ORGAN RECOVERY	NUM	LVEJECTM	
MACRO_FAT_LI_DON	DECEASED DONOR MACRO FAT%	DDR	2004-06-30 00:00:00		CLINICAL INFORMATION	NUM		
MALIG	ANY PREVIOUS MALIGNANCY?	CALCULATED				CHAR(1)	YNU	
MALIG_TCR	CANDIDATE ANY KNOWN MALIGNANCIES @ LISTING	TCR	1994-04-01 00:00:00		CLINICAL INFORMATION	CHAR(1)	YNU	
MALIG_TRR	RECIPIENT ANY KNOWN MALIGNANCIES SINCE LISTING  @ TRANSPLANT	TRR	1999-10-25 00:00:00	2015-03-31 00:00:00	PRETRANSPLANT CLINICAL INFORMATION	CHAR(1)	YNU	
MALIG_TY_TRR	TYPE OF MALIGNANCY BETWEEN LISTING AND TRANSPLANT	TRR	2004-06-30 00:00:00	2015-03-31 00:00:00	PRETRANSPLANT CLINICAL INFORMATION	NUM	MALMULTIPED	
MALIG_TYPE	PREVIOUS MALIGNANCY TYPE	CALCULATED				NUM	MALMULTIPED	
MED_COND_TRR	RECIPIENT MEDICAL CONDITION PRE-TRANSPLANT   @ TRANSPLANT	TRR	1987-10-01 00:00:00		PATIENT STATUS	NUM	MEDCOND	
MEDICAID_DON	LIVING DONOR-MEDICAID AS SECONDARY PAYMENT TYPE	LDR	1999-10-25 00:00:00		DONOR INFORMATION	CHAR(1)	YNU	
MEDICARE_DON	LIVING DONOR-MEDICARE AS SECONDARY PAYMENT TYPE	LDR	1999-10-25 00:00:00		DONOR INFORMATION	CHAR(1)	YNU	
MEETSTANDARDCRITERIA	M/P Meet Standard Criteria of Active Approved/not Approved Exception at Tx Offer/Tx/Removal/Current Time?	WAITING LIST DATA				CHAR(1)	YN	
MELD_DIFF_REASON_CD	REASON ALLOCATION MELD AND LAB MELD DIFFER	WL DATA	2002-02-27 00:00:00			NUM	MELDDIFFREAS	
MELD_PELD_LAB_SCORE	MELD/PELD LAB SCORE AT TIME OF TRANSPLANT	WL DATA	2002-02-27 00:00:00			NUM		
MELDSEXID	Sex used for purposes of adult MELD calculation	Waitlist	2023-06-15 00:00:00			CHAR(1)	MELDSEXID	
MICRO_FAT_LI_DON	DECEASED DONOR MICRO FAT%	DDR	2004-06-30 00:00:00			NUM		
MMAT_ON_MATCH	National Median MELD at Transplant (Post 6/28/2022)	CALCULATED	2022-06-28 00:00:00			NUM		
MPAT_ON_MATCH	National Median PELD at Transplant (Post 6/28/2022)	CALCULATED	2022-06-28 00:00:00			NUM		
MPEXCEPTFORMID	M/P Exception Form ID of Active Approved Exception at Tx Offer/Tx/Removal/Current Time (post 2/27/02)	WAITING LIST DATA	2002-02-27 00:00:00			NUM		
MRCREATG_OLD	RECIPIENT MOST RECENT CREATININE > 2.0 mg/dl @ REGISTRATION (PRE 10/25/99 DATA)	TCR (PRE 10/25/99 VERSION)	1994-04-01 00:00:00	1999-10-25 00:00:00	GENERAL MEDICAL FACTORS	CHAR(1)	YNU	
MULTIORG	MULTI-ORGAN TRANSPLANT	CALCULATED				CHAR(1)	YNU	
MUSCLE_WAST_TCR	RECIPIENT MARKED MUSCLE WASTING @ REGISTRATION	TCR	1994-04-01 00:00:00	2004-06-30 00:00:00	CLINICAL INFORMATION	CHAR(1)	YNU	
NEOADJUVANT_THERAPY_TCR	CANDIDATE CHOLANGIOCARCINOMA//NEOADJUVANT THERAPY?	TCR	2015-03-31 00:00:00		CLINICAL INFORMATION	CHAR(1)	YNU	
NON_HRT_DON	DECEASED DONOR-NON-HEART BEATING DONOR	DDR	1994-04-01 00:00:00		ORGAN RECOVERY	CHAR(1)	YNU	
NUM_PREV_TX	THE NUMBER OF PREVIOUS TRANSPLANTS	WAITING LIST DATA	1987-10-01 00:00:00		WAITING LIST DATA	NUM		
ON_VENT_TRR	RECIPIENT ON VENTILATOR @ TRANSPLANT	TRR	1994-04-01 00:00:00		TRANSPLANT CLINICAL INFORMATION	NUM		
OPO_CTR_CODE	ENCRYPTED OPO CENTER CODE (OPO OF THE DECEASED DONOR RECOVERY FROM DDR FORM)	CALCULATED				CHAR(7)		
OTH_GOVT_DON	LIVING DONOR - US/STATE GOVERNMENT AGENCY AS SECONDARY PAYMENT TYPE	LDR	1999-10-25 00:00:00		DONOR INFORMATION	CHAR(1)	YNU	
OTH_LIFE_SUP_TCR	RECIPIENT LIFE SUPPORT TYPE OTHER @ REGISTRATION	TCR	1994-04-01 00:00:00		CANDIDATE INFORMATION	NUM		
OTH_LIFE_SUP_TRR	RECIPIENT LIFE SUPPORT TYPE OTHER AT TRANSPLANT	TRR	1994-04-01 00:00:00		PATIENT STATUS	NUM		
OTHER_HYPERTENS_MED_DON	DECEASED DONOR-HYPERTENSION CONTROLLED BY NON-DIURETIC MEDS	DDR	1994-04-01 00:00:00		DONOR HISTORY	CHAR(1)	YNU	
OTHER_INF_CONF_DON	DECEASED DONOR INFECTION OTHER SOURCE-CONFIRMED	DDR	1994-04-01 00:00:00	2015-03-31 00:00:00	CLINICAL INFORMATION	CHAR(1)	YNU	
OTHER_INF_DON	DECEASED DONOR INFECTION OTHER SOURCE	DDR	1994-04-01 00:00:00		CLINICAL INFORMATION	NUM		
OTHER_VASC_THROMB	RECIPIENT CONTRIBUTING CAUSE OF GRAFT FAILURE: Other Vascular Thrombosis	TRR/TRF	2015-03-31 00:00:00		CLINICAL INFORMATION	CHAR(1)	YNU	
PERM_STATE	STATE OF RESIDENCY  @ REGISTRATION	TCR	1990-10-01 00:00:00		CANDIDATE INFORMATION	CHAR(2)	STATE	
PERM_STATE_TRR	RECIPIENT STATE OF RESIDENCY  @ TRANSPLANT	TRR	2004-06-30 00:00:00		CANDIDATE INFORMATION	CHAR(2)	STATE	
PGE	RECIPIENT LIFE SUPPORT TYPE PGE @ REGISTRATION	TCR	1995-04-01 00:00:00	2004-06-30 00:00:00	CANDIDATE INFORMATION	NUM		
PH_DON	DDR:Blood PH:	DDR	2004-06-30 00:00:00		CLINICAL INFORMATION	NUM		
PORTAL_VEIN_TCR	RECIPIENT HISTORY OF PORTAL VEIN THROMBOSIS @ REGISTRATION	TCR	1999-10-25 00:00:00		CLINICAL INFORMATION	CHAR(1)	YNU	
PORTAL_VEIN_THROM	PEDIATRIC RECIPIENT CONTRIBUTING CAUSE OF GRAFT FAILURE: Portal Vein Thrombosis	TRR/TRF	2008-03-01 00:00:00		CLINICAL INFORMATION	CHAR(1)	YNU	
PORTAL_VEIN_TRR	RECIPIENT PORTAL VEIN THROMBOSIS @ TRANSPLANT	TRR	1999-10-25 00:00:00		TRANSPLANT CLINICAL INFORMATION	CHAR(1)	YNU	
PRETREAT_MED_DON_OLD	DECEASED DONOR PRE-RECOVERY MEDICATION(S) FROM BRAIN DEATH TO 24 HRS PRIOR TO PROCUREMENT	DDR	1994-04-01 00:00:00	2003-01-27 00:00:00	CLINICAL INFORMATION	CHAR(1)	YNU	
PREV_AB_SURG_TCR	RECIPIENT PREVIOUS UPPER ABDOMINAL SURGERY @ REGISTRATION	TCR	1994-04-01 00:00:00		CLINICAL INFORMATION	CHAR(1)	YNU	
PREV_AB_SURG_TRR	RECIPIENT PREVIOUS UPPER ABDOMINAL SURGERY @ TRANSPLANT	TRR	1994-04-01 00:00:00		TRANSPLANT CLINICAL INFORMATION	CHAR(1)	YNU	
PREV_MALIG_TY	ANY PREVIOUS MALIGANCY TYPE AT REGISTRATION	TCR	2004-06-30 00:00:00		CLINICAL INFORMATION	NUM	MALMULTIPED	
PREV_PI_TX_TCR_ARCHIVE	NUMBER OF PREVIOUS ISLET CELL TRANSPLANTS AT REGISTRATION	TCR	1994-04-01 00:00:00	2003-01-27 00:00:00	CLINICAL INFORMATION	NUM		
PREV_TX	HISTORY of a PREVIOUS TRANSPLANT INVOLVING EXACT SAME ORGAN AS CURRENT TX	CALCULATED				CHAR(1)	YNU	
PREV_TX_ANY	CALCULATED Previous Transplant of Any Organ Type	CALCULATED				CHAR(1)	YNU	
PREV_TX_ANY_N	CALCULATED Number of Previous Transplanted of any Organ Type in OPTN Database	CALCULATED				NUM		
PREV_TX_DATE	DATE of a PREVIOUS TRANSPLANT INVOLVING EXACT SAME ORGAN AS CURRENT TX	CALCULATED				NUM		
PRI_GRF_FAIL	RECIPIENT CONTRIBUTING CAUSE OF GRAFT FAILURE - PRIMARY GRAFT FAILURE	TRF/TRR	1987-10-01 00:00:00	2015-03-31 00:00:00	(POST TRANSPLANT) CLINICAL INFORMATION	CHAR(1)	YNU	"The user is asked to check as many contributing causes of failure as apply, there is no ""primary"" cause of failure"
PRI_NON_FUNC	RECIPIENT CONTRIBUTING CAUSE OF GRAFT FAILURE: Primary non-Function	TRR/TRF	2015-03-31 00:00:00		CLINICAL INFORMATION	CHAR(1)	YNU	
PRI_PAYMENT_CTRY_DON	LIVING DONOR- FOREIGN GOVERNMENT, SPECIFIED	LDR	1999-10-25 00:00:00		DONOR INFORMATION	CHAR(3)	CTRY	
PRI_PAYMENT_CTRY_TCR	RECIPIENT FOREIGN GOV'T AS PROJECTED SECONDARY PAYMENT TYPE @ REGISTRATION	TCR	1994-04-01 00:00:00		CANDIDATE INFORMATION	CHAR(3)	CTRY	Before 10/25/1999, collected as Other(specify).
PRI_PAYMENT_CTRY_TRR	RECIPIENT FOREIGN GOV'T AS SECONDARY PAYMENT SOURCE @ TRANSPLANT	TRR	1994-04-01 00:00:00		PATIENT STATUS	CHAR(3)	CTRY	Before 10/25/1999, collected as Other(specify).
PRI_PAYMENT_DON	LIVING DONOR-PRIMARY PAYMENT TYPE	LDR	1999-10-25 00:00:00		DONOR INFORMATION	NUM	PRIMPAY	
PRI_PAYMENT_TCR	RECIPIENT PRIMARY PROJECTED PAYMENT TYPE @ REGISTRATION	TCR	1994-04-01 00:00:00		CANDIDATE INFORMATION	NUM	PRIMPAY	
PRI_PAYMENT_TRR	RECIPIENT PRIMARY PAYMENT SOURCE @ TRANSPLANT	TRR	1994-04-01 00:00:00		PATIENT STATUS	NUM	PRIMPAY	
PRIV_INS_DON	LIVING DONOR-PRIVATE INSURANCE AS SECONDARY PAYMENT TYPE	LDR	1999-10-25 00:00:00		DONOR INFORMATION	CHAR(1)	YNU	
PROTEIN_URINE	DECEASED DONOR PROTEIN IN URINE	DDR	1999-10-25 00:00:00		CLINICAL INFORMATION	CHAR(1)	YNU	
PRVTXDIF	RECIPIENT DAYS BETWEEN PREVIOUS AND CURRENT TRANSPLANT	CALCULATED				NUM		
PSTATUS	Boolean Most Recent Patient Status (based on composite death date) (1=Dead, 0=Alive)	TRR/TRF-CALCULATED	1987-10-01 00:00:00		PATIENT STATUS	NUM		
PT_CODE	ENCRYPTED RECIPIENT IDENTIFIER	CALCULATED				NUM		
PT_DIURETICS_DON	DECEASED DONOR-DIURETICS B/N BRAIN DEATH W/IN 24 HRS OF PROCUREMENT	DDR	1994-04-01 00:00:00		CLINICAL INFORMATION	CHAR(1)	YNU	
PT_OTH_DON	CADAVER DONOR RECEIVED PRERECOVERY MEDICATION	CALCULATED				CHAR(1)	YNU	
PT_STEROIDS_DON	DECEASED DONOR-STEROIDS B/N BRAIN DEATH W/IN 24 HRS OF PROCUREMENT	DDR	1994-04-01 00:00:00		CLINICAL INFORMATION	CHAR(1)	YNU	
PT_T3_DON	DECEASED DONOR-TRIIODOTHYRONINE-T3 B/N BRAIN DEATH W/IN 24 HRS OF PROCUREMENT	DDR	1999-10-25 00:00:00		CLINICAL INFORMATION	CHAR(1)	YNU	
