"STAR Table Name: VCA_DATA
Variable Names in red font denote that field has important information in the Comment field

The data files created based on data as of 4/5/2024 will include data for registrations added and/or transplants occurring through 03/31/2024"	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8
WARM_ISCH_TM_LEFT	Warm Ischemia Time (include anastomotic time), Left Limb (in minutes)	TRR	2015-09-01 00:00:00		Clinical Information: Transplant Procedure - Preservation Information	NUM		
WARM_ISCH_TM_RIGHT	Warm Ischemia Time (include anastomotic time), Right Limb (in minutes)	TRR	2015-09-01 00:00:00		Clinical Information: Transplant Procedure - Preservation Information	NUM		
WGT_KG_DON_CALC	CALCULATED DONOR WEIGHT (KG)	CALCULATED				NUM		
WGT_KG_TCR	Weight (kg)	WL	2014-07-03 00:00:00		CLINICAL INFORMATION	NUM		
WGT_KG_TRR	TRR Weight (kg)	TRR	2015-09-01 00:00:00		CANDIDATE INFORMATION	NUM		
WL_ID_CODE	ENCRYPTED REGISTRATION IDENTIFIER	CALCULATED				NUM		
WLHL	WAS CANDIDATE LISTED FOR SIMULTANEOUS HEART-LUNG?	CALCULATED				CHAR(1)		
WLHR	WAS CANDIDATE LISTED FOR SIMULTANEOUS HEART?	CALCULATED				CHAR(1)		
WLIN	WAS CANDIDATE LISTED FOR SIMULTANEOUS INTESTINE?	CALCULATED				CHAR(1)		
WLKI	WAS CANDIDATE LISTED FOR SIMULTANEOUS KIDNEY?	CALCULATED				CHAR(1)		
WLKP	WAS CANDIDATE LISTED FOR SIMULTANEOUS KIDNEY-PANCREAS?	CALCULATED				CHAR(1)		
WLLI	WAS CANDIDATE LISTED FOR SIMULTANEOUS LIVER?	CALCULATED				CHAR(1)		
WLLU	WAS CANDIDATE LISTED FOR SIMULTANEOUS LUNG?	CALCULATED				CHAR(1)		
WLPA	WAS CANDIDATE LISTED FOR SIMULTANEOUS PANCREAS?	CALCULATED				CHAR(1)		
WLPI	WAS CANDIDATE LISTED FOR SIMULTANEOUS PANCREAS ISLET?	CALCULATED				CHAR(1)		
WORK_INCOME	Working for income (for recipients 18 years of age or older)	TRR	2015-09-01 00:00:00		Socio-Demographic Information: Pre-Transplant	CHAR(1)	YNU	
WORK_NO_STATUS	Working for income (for recipients 18 years of age or older) - If No, Not Working Due To	TRR	2015-09-01 00:00:00		Socio-Demographic Information: Pre-Transplant	NUM	WORKNO	
WORK_YES_STATUS	Working for income (for recipients 18 years of age or older) - If Yes, indicate the recipient's working status	TRR	2015-09-01 00:00:00		Socio-Demographic Information: Pre-Transplant	NUM	WORKYES	
