"STAR Table Name: INTESTINE_DATA
Variable Names in red font denote that field has important information in the Comment field

The data files created based on data as of 4/5/2024 will include data for registrations added and/or transplants occurring through 03/31/2024"	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8
INO_PROCURE_AGENT_3	DECEASED DONOR-INOTROPIC MEDICATION AGENT 3	DDR	2003-01-27 00:00:00		CLINICAL INFORMATION	NUM	INOMED	
INOTROP_SUPPORT_DON	DECEASED DONOR INOTROPIC MEDICATION AT PROCUREMENT (Y/N)	DDR	2003-01-27 00:00:00		CLINICAL INFORMATION	CHAR(1)		
INOTROPES	RECIPIENT LIFE SUPPORT TYPE IV INOTORPES @ REGISTRATION	TCR	1994-04-01 00:00:00		CANDIDATE INFORMATION	NUM		
INSULIN_DEP_DON	DECEASED DONOR-INSULIN DEPENDENT DIABETES, INCL. DURATION OF DEPENDENCE	DDR	1994-04-01 00:00:00		DONOR HISTORY	NUM	INSDEPDU	
INSULIN_DON	DECEASED DONOR-WAS DONOR GIVEN INSULIN WITHIN 24 HRS PRE CROSS CLAMP?	DDR	2004-06-30 00:00:00		CLINICAL INFORMATION	CHAR(1)		
INTESTINECHECKINDATE	Intestine Check-in Date	TRR	2023-09-14 00:00:00			NUM		
INTESTINECHECKINTIME	Intestine Check-in Time	TRR	2023-09-14 00:00:00			NUM		
INTESTINECHECKINTIME	Intestine Check-In //Time Zone:	TRR	2023-09-14 00:00:00			NUM	commontz	
INTRACRANIAL_CANCER_DON	DECEASED DONOR-INTRACANIAL CANCER AT PROCUREMENT	DDR	1994-04-01 00:00:00		DONOR HISTORY	CHAR(1)		
IV_DEPND	RECIPIENT IV DEPENDENT AT FOLLOWUP	TRF	2004-06-30 00:00:00		CLINICAL INFORMATION	CHAR(1)		
LIFE_SUP_TCR	RECIPIENT LIFE SUPPORT @ REGISTRATION	TCR	1987-10-01 00:00:00		CANDIDATE INFORMATION	CHAR(1)		
LIFE_SUP_TRR	RECIPIENT LIFE SUPPORT PRE-TRANSPLANT   @ TRANSPLANT	TRR	1987-10-01 00:00:00		PATIENT STATUS	CHAR(1)		
LISTING_CTR_CODE	ENCRYPTED WL LISTING CENTER	CALCULATED				CHAR(7)		
LISTYR	ACTUAL YEAR REGISTRANT LISTED (WITHOUT DATE OFFSET)	CALCULATED	1987-10-01 00:00:00			NUM		
LIV_DON_TY	LIVING DONOR RELATION TO RECIPIENT	LDR	1994-04-01 00:00:00		DONOR INFORMATION	NUM	LDONREL	
LOS	RECIPIENT LENGTH OF STAY POST TX	TRR-CALCULATED	1999-10-25 00:00:00		PATIENT STATUS	NUM		
LT_ONE_WEEK_DON	Donor Less Than 7 Days Old at Time of Donation	CALCULATED	2016-09-13 00:00:00			CHAR(1)		
MALIG	ANY PREVIOUS MALIGNANCY?	CALCULATED				CHAR(1)		
MALIG_TCR	CANDIDATE ANY KNOWN PREVIOUS MALIGNANCIES AT LISTING 	TCR	1994-04-01 00:00:00		CLINICAL INFORMATION	CHAR(1)		
MALIG_TRR	RECIPIENT ANY KNOWN MALIGNANCIES SINCE LISTING  @ TRANSPLANT	TRR	1999-10-25 00:00:00	2015-03-31 00:00:00	PRETRANSPLANT CLINICAL INFORMATION	CHAR(1)		
MALIG_TY	PREVIOUS MALIGNANCY TYPE	CALCULATED				NUM	MALMULTIPED	
MALIG_TY_TRR	TYPE OF MALIGNANCY BETWEEN LISTING AND TRANSPLANT	TRR	2004-06-30 00:00:00	2015-03-31 00:00:00	PRETRANSPLANT CLINICAL INFORMATION	NUM	MALMULTIPED	
MED_COND_TRR	RECIPIENT MEDICAL CONDITION PRE-TRANSPLANT   @ TRANSPLANT	TRR	1987-10-01 00:00:00		PATIENT STATUS	NUM	MEDCOND	
MULTIORG	MULTI-ORGAN TRANSPLANT	CALCULATED				CHAR(1)		
NAT_VISC_VENDRAIN	RECIPIENT NATIVE VISCERA VENOUS DRAINAGE	TRR	1994-04-01 00:00:00		CLINICAL INFORMATION	NUM	VENDRAIN	
NON_HRT_DON	DECEASED DONOR-NON-HEART BEATING DONOR	DDR	1994-04-01 00:00:00		ORGAN RECOVERY	CHAR(1)		
NUM_PREV_TX	THE NUMBER OF PREVIOUS TRANSPLANTS	WAITING LIST DATA	1987-10-01 00:00:00		WAITING LIST DATA	NUM		
OPO_CTR_CODE	ENCRYPTED OPO CENTER CODE (OPO OF THE DECEASED DONOR RECOVERY FROM DDR FORM)	CALCULATED				CHAR(7)		
ORAL_FEED	RECIPIENT ORAL FEEDING @ FOLLOW-UP	TRF	1994-04-01 00:00:00		CLINICAL INFORMATION	CHAR(1)		
ORG_TY_DOUDENUM	ORGAN TYPE: DUODENUM	TRR	1994-04-01 00:00:00		CLINICAL INFORMATION	NUM		
ORG_TY_LG_IN	ORGAN TYPE: LARGE INTESTINE	TRR	1994-04-01 00:00:00		CLINICAL INFORMATION	NUM		
ORG_TY_SM_IN	ORGAN TYPE: SMALL INTESTINE	TRR	1994-04-01 00:00:00		CLINICAL INFORMATION	NUM		
ORG_TY_STOMACH	ORGAN TYPE: STOMACH	TRR	1994-04-01 00:00:00		CLINICAL INFORMATION	NUM		
OTH_LIFE_SUP_TCR	RECIPIENT LIFE SUPPORT TYPE OTHER @ REGISTRATION	TCR	1994-04-01 00:00:00		CANDIDATE INFORMATION	NUM		
OTHER_HYPERTENS_MED_DON	DECEASED DONOR-HYPERTENSION CONTROLLED BY NON-DIURETIC MEDS	DDR	1994-04-01 00:00:00		DONOR HISTORY	CHAR(1)		
OTHER_INF_CONF_DON	DECEASED DONOR INFECTION OTHER SOURCE-CONFIRMED	DDR	1994-04-01 00:00:00	2015-03-31 00:00:00	CLINICAL INFORMATION	CHAR(1)		
OTHER_INF_DON	DECEASED DONOR INFECTION OTHER SOURCE	DDR	1994-04-01 00:00:00		CLINICAL INFORMATION	NUM		
PERM_STATE	RECIPIENT STATE OF RESIDENCY  @ REGISTRATION	TCR	1990-10-01 00:00:00		CANDIDATE INFORMATION	CHAR(2)	STATE	
PERM_STATE_TRR	RECIPIENT STATE OF RESIDENCY  @ TRANSPLANT	TRR	2004-06-30 00:00:00		CANDIDATE INFORMATION	CHAR(2)	STATE	
PGE	RECIPIENT LIFE SUPPORT TYPE PGE @ REGISTRATION	TCR	1995-04-01 00:00:00		CANDIDATE INFORMATION	NUM		
PORTAL_VEIN_TCR	RECIPIENT HISTORY OF PORTAL VEIN THROMBOSIS @ REGISTRATION	TCR	1999-10-25 00:00:00	2007-01-01 00:00:00	CLINICAL INFORMATION	CHAR(1)		
PRETREAT_MED_DON_OLD	DECEASED DONOR PRE-RECOVERY MEDICATION(S) FROM BRAIN DEATH TO 24 HRS PRIOR TO PROCUREMENT	DDR	1994-04-01 00:00:00	2003-01-27 00:00:00	CLINICAL INFORMATION	CHAR(1)		
PREV_AB_SURG_TCR	RECIPIENT PREVIOUS UPPER ABDOMINAL SURGERY @ REGISTRATION	TCR	1994-04-01 00:00:00		CLINICAL INFORMATION	CHAR(1)		
PREV_AB_SURG_TRR	RECIPIENT PREVIOUS UPPER ABDOMINAL SURGERY @ TRANSPLANT	TRR	1994-04-01 00:00:00		TRANSPLANT CLINICAL INFORMATION	CHAR(1)		
PREV_MALIG_TY	CANDIDATE TYPE OF PREVIOUS MALIGNANCY AT LISTING	TCR	2004-06-30 00:00:00		CLINICAL INFORMATION	NUM	MALMULTIPED	
PREV_TX	HISTORY of a PREVIOUS TRANSPLANT INVOLVING EXACT SAME ORGAN AS CURRENT TX	CALCULATED				CHAR(1)		
PREV_TX_ANY	CALCULATED Previous Transplant of Any Organ Type	CALCULATED				CHAR(1)		
PREV_TX_ANY_N	CALCULATED Number of Previous Transplanted of any Organ Type in OPTN Database	CALCULATED				NUM		
PREV_TX_DATE	DATE of a PREVIOUS TRANSPLANT INVOLVING EXACT SAME ORGAN AS CURRENT TX	CALCULATED				NUM		
PRI_PAYMENT_CTRY_TCR	RECIPIENT FOREIGN GOV'T AS PROJECTED SECONDARY PAYMENT TYPE @ REGISTRATION	TCR	1994-04-01 00:00:00		CANDIDATE INFORMATION	CHAR(3)	CTRY	Before 10/25/1999, collected as Other(specify).
PRI_PAYMENT_CTRY_TRR	RECIPIENT FOREIGN GOV'T AS SECONDARY PAYMENT SOURCE @ TRANSPLANT	TRR	1994-04-01 00:00:00		PATIENT STATUS	CHAR(3)	CTRY	Before 10/25/1999, collected as Other(specify).
PRI_PAYMENT_TCR	RECIPIENT PRIMARY PROJECTED PAYMENT TYPE @ REGISTRATION	TCR	1994-04-01 00:00:00		CANDIDATE INFORMATION	NUM	PRIMPAY	
PRI_PAYMENT_TRR	RECIPIENT PRIMARY PAYMENT SOURCE @ TRANSPLANT	TRR	1994-04-01 00:00:00		PATIENT STATUS	NUM	PRIMPAY	
PROTEIN_URINE	DECEASED DONOR PROTEIN IN URINE	DDR	1999-10-25 00:00:00		CLINICAL INFORMATION	CHAR(1)		
PRVTXDIF	RECIPIENT DAYS BETWEEN PREVIOUS AND CURRENT TRANSPLANT	CALCULATED				NUM		
PSTATUS	Boolean Most Recent Patient Status (based on composite death date) (1=Dead, 0=Alive)	TRR/TRF-CALCULATED	1987-10-01 00:00:00		PATIENT STATUS	NUM		
PT_CODE	ENCRYPTED RECIPIENT IDENTIFIER	CALCULATED				NUM		
PT_DIURETICS_DON	DECEASED DONOR-DIURETICS B/N BRAIN DEATH W/IN 24 HRS OF PROCUREMENT	DDR	1994-04-01 00:00:00		CLINICAL INFORMATION	CHAR(1)		
PT_OTH_DON	CADAVER DONOR RECEIVED PRERECOVERY MEDICATION	CALCULATED				CHAR(1)		
PT_STEROIDS_DON	DECEASED DONOR-STEROIDS B/N BRAIN DEATH W/IN 24 HRS OF PROCUREMENT	DDR	1994-04-01 00:00:00		CLINICAL INFORMATION	CHAR(1)		
PT_T3_DON	DECEASED DONOR-TRIIODOTHYRONINE-T3 B/N BRAIN DEATH W/IN 24 HRS OF PROCUREMENT	DDR	1999-10-25 00:00:00		CLINICAL INFORMATION	CHAR(1)		
PT_T4_DON	DECEASED DONOR-THYROXINE-T4 B/N BRAIN DEATH W/IN 24 HRS OF PROCUREMENT	DDR	1994-04-01 00:00:00		CLINICAL INFORMATION	CHAR(1)		
PTIME	Patient Survival Time in days (based on composite death date)	CALCULATED				NUM		
PULM_INF_CONF_DON	DECEASED DONOR-INFECTION PULMONARY SOURCE-CONFIRMED	DDR	1994-04-01 00:00:00	2015-03-31 00:00:00	CLINICAL INFORMATION	CHAR(1)		
PULM_INF_DON	DECEASED DONOR-INFECTION PULMONARY SOURCE	DDR	1994-04-01 00:00:00		CLINICAL INFORMATION	NUM		
PX_STAT	RECIPIENT STATUS(Died, ReTX, Lost, Alive)	TRR/TRF-CALCULATED	1987-10-01 00:00:00		PATIENT STATUS	CHAR(1)	PXSTAT	
PX_STAT_DATE	RECIPIENT STATUS DATE	TRR/TRF-CALCULATED	1987-10-01 00:00:00		PATIENT STATUS	NUM		
RA1	RECIPIENT A1 ANTIGEN	RH	1987-10-01 00:00:00		RECIPIENT HLA TYPING	NUM	ALOCUS	
RA2	RECIPIENT A2 ANTIGEN	RH	1987-10-01 00:00:00		RECIPIENT HLA TYPING	NUM	ALOCUS	
RB1	RECIPIENT B1 ANTIGEN	RH	1987-10-01 00:00:00		RECIPIENT HLA TYPING	NUM	BLOCUS	
RB2	RECIPIENT B2 ANTIGEN	RH	1987-10-01 00:00:00		RECIPIENT HLA TYPING	NUM	BLOCUS	
RDR1	RECIPIENT DR1 ANTIGEN	RH	1987-10-01 00:00:00		RECIPIENT HLA TYPING	NUM	DRLOCUS	
RDR2	RECIPIENT DR2 ANTIGEN	RH	1987-10-01 00:00:00		RECIPIENT HLA TYPING	NUM	DRLOCUS	
REASONNOHBVVACCINATIONID	Reason not Vaccinated against Hepatitis B	TRR	2022-08-30 00:00:00			NUM	LOOKUPNOVACCINATIONREASON	
REC_SEPT	RECIPIENT RECENT SEPTICEMIA	TRR	1994-04-01 00:00:00		CLINICAL INFORMATION	CHAR(1)		
RECOV_COUNTRY	DONOR-COUNTRY OF ORGAN RECOVERY IF NOT U.S.	DDR/LDR	1999-10-25 00:00:00		ORGAN RECOVERY	CHAR(3)	CTRY	
RECOV_OUT_US	DONOR-ORGAN RECOVERED OUTSIDE U.S.	DDR/LDR	1999-10-25 00:00:00		ORGAN RECOVERY	CHAR(1)		
RECOVERY_DATE_DON	CADAVER ORGAN RECOVERY DATE	DDR	1987-10-01 00:00:00		ORGAN RECOVERY	NUM		
REFERRAL_DATE	DECEASED DONOR-REFERRAL DATE	DDR	1994-04-01 00:00:00		PROVIDER INFORMATION	NUM		
REGION	UNOS REGION WHERE TRANSPLANTED	CALCULATED				NUM		
REM_CD	REASON FOR REMOVAL FROM THE WAITING LIST	WAITING LIST DATA	1987-10-01 00:00:00		WAITING LIST DATA	NUM	REMCD	THIS IS MISSING IF PATIENT IS STILL WAITING AT TIME DATASET CREATED
RESUSCIT_DUR	DECEASED DONOR-RESUSCITATION FOLLOWING CARDIAC ARREST POST BRAIN DEATH	DDR	1999-10-25 00:00:00		CLINICAL INFORMATION	NUM		
RETXDATE	DATE RE-TRANSPLANTED	CALCULATED				NUM		
SGOT_DON	DECEASED DONOR-TERMINAL SGOT/AST	DDR	1994-04-01 00:00:00		CLINICAL INFORMATION	NUM		
SGPT_DON	DECEASED DONOR-TERMINAL SGPT/ALT	DDR	1994-04-01 00:00:00		CLINICAL INFORMATION	NUM		
SHARE_TY	ALLOCATION TYPE- 3=LOCAL/4=REGIONAL/5=NATIONAL/6=FOREIGN	CALCULATED				NUM	SHARETY	3 = Local, 4 = Regional, 5 = National, 6 = Foreign
SKIN_CANCER_DON	DECEASED DONOR-SKIN CANCER AT PROCUREMENT (Y/N)	DDR	1994-04-01 00:00:00		DONOR HISTORY	CHAR(1)		
STATUS_DDR	DDR Form Status	DDR				CHAR(1)	FRMSTAT	
STATUS_LDR	LDR Form Status	LDR				CHAR(1)	FRMSTAT	
STATUS_TCR	TCR Form Status	TCR				CHAR(1)	FRMSTAT	
STATUS_TRR	TRR Form Status	TRR				CHAR(1)	FRMSTAT	
TATTOOS	DECEASED DONOR-TATOOS	DDR	1999-10-25 00:00:00		DONOR HISTORY	CHAR(1)		
TBILI_DON	DECEASED DONOR-TERMINAL TOTAL BILIRUBIN	DDR	1994-04-01 00:00:00		CLINICAL INFORMATION	NUM		
TBILI_TRR	RECIPIENT TOTAL BILIRUBIN @ TRANSPLANT	TRR	1987-10-01 00:00:00		PRETRANSPLANT CLINICAL INFORMATION	NUM		
TOTISCH	TOTAL ISCHEMIC TIME (HOURS)	TRR	1994-04-01 00:00:00		CLINICAL INFORMATION	NUM		
TPN_DEPND	RECIPIENT TPN DEPENDENT @ FOLLOW-UP	TRF	1994-04-01 00:00:00		CLINICAL INFORMATION	CHAR(1)		
TRANSPLANT_TIME	TRR Transplant Time	TRR	2023-09-14 00:00:00			NUM		
TRANSPLANTTIMEZONEID	Transplant Time Zone	TRR	2023-09-14 00:00:00			NUM	commontz	
TRR_ID_CODE	ENCRYPTED TRANSPLANT IDENTIFIER	CALCULATED				CHAR(15)		
TRTREJ1Y	TREATED FOR REJECTION WITHIN 1 YEAR	CALCULATED				CHAR(1)		
TRTREJ6M	TREATED FOR REJECTION WITHIN 6 MONTHS	CALCULATED				CHAR(1)		
TUBE_FEED	RECIPIENT TUBE FEEDING @ FOLLOW-UP	TRF	1994-04-01 00:00:00		CLINICAL INFORMATION	CHAR(1)		
TX_DATE	TRANSPLANT DATE	TRR	1987-10-01 00:00:00		RECIPIENT INFORMATION	NUM		
TX_PROCEDUR_TY	PROCEDURE TYPE (Whole/Segment)	TRR	1994-04-01 00:00:00		TRANSPLANT CLINICAL INFORMATION	NUM	INTXPROC	
TX_YEAR	TRANSPLANT YEAR	CALCULATED				NUM		
TXHRT	SIMULTANEOUS HEART	CALCULATED				CHAR(1)		
TXINT	TYPE OF INTESTINE (W,S)	CALCULATED				CHAR(1)		W-Whole, S-Segment  (This is organ placement data from OPO, use TX_PROCEDUR_TY to identify transplant procedure types)
TXKID	SIMULTANEOUS KIDNEY	CALCULATED				CHAR(1)		R-Right, L-Left, E-En-Bloc (This field to determines the type of multi-organ transplant performed) 
TXLIV	SIMULTANEOUS LIVER TX (W, S )	CALCULATED				CHAR(1)		W-Whole, S-Segment/Split  (This field to determines the type of multi-organ transplant performed) 
TXLNG	SIMULTANEOUS LUNG	CALCULATED				CHAR(1)		R-Right, L-Left, D-Double (This field to determines the type of multi-organ transplant performed) 
TXPAN	SIMULTANEOUS PANCREAS	CALCULATED				CHAR(1)		W-Whole, S-Segment  (This field to determines the type of multi-organ transplant performed) 
TXVCA	SIMULTANEOUS VCA	CALCULATED				CHAR(1)	VCA_SIMULTX	
URINE_INF_CONF_DON	DECEASED DONOR-INFECTION URINE SOURCE-CONFIRMED	DDR	1994-04-01 00:00:00	2015-03-31 00:00:00	CLINICAL INFORMATION	CHAR(1)		
URINE_INF_DON	DECEASED DONOR-INFECTION URINE SOURCE	DDR	1994-04-01 00:00:00		CLINICAL INFORMATION	NUM		
VAD_TAH	RECIPIENT LIFE SUPPORT TYPE VAD BRAND  @ REGISTRATION	TCR	1994-04-01 00:00:00		CANDIDATE INFORMATION	NUM	VADTAH	
VAL_DT_DDR	DDR Validation Date	DDR				NUM		
VAL_DT_LDR	LDR Validation Date	LDR				NUM		
VAL_DT_TCR	TCR Validation Date	TCR				NUM		
VAL_DT_TRR	TRR Validation Date	TRR				NUM		
VASODIL_DON	DECEASED DONOR-VASODILATORS W/IN 24HRS PRE-CROSS CLAMP	DDR	1994-04-01 00:00:00		CLINICAL INFORMATION	CHAR(1)		
VDRL_DON	DECEASED DONOR-RPR-VDRL RESULT	DDR	1987-10-01 00:00:00		CLINICAL INFORMATION	CHAR(2)	SERSTAT	
VENTILATOR_TCR	PATIENT ON LIFE SUPPORT - VENTILATOR @ REGISTRATION	TCR	1994-04-01 00:00:00		CANDIDATE INFORMATION	NUM		
WGT_KG_CALC	CALCULATED RECIPIENT WEIGHT (kg)	CALCULATED				NUM		
WGT_KG_DON_CALC	CALCULATED DONOR WEIGHT (KG)	CALCULATED				NUM		
WGT_KG_TCR	RECIPIENT WEIGHT (kg) @ REGISTRATION	TCR	1987-10-01 00:00:00		CLINICAL INFORMATION	NUM		
WL_ID_CODE	ENCRYPTED REGISTRATION IDENTIFIER	CALCULATED				NUM		
WLHL	WAS CANDIDATE LISTED FOR SIMULTANEOUS HEART-LUNG?	CALCULATED				CHAR(1)		
WLHR	WAS CANDIDATE LISTED FOR SIMULTANEOUS HEART?	CALCULATED				CHAR(1)		
WLIN	WAS CANDIDATE LISTED FOR SIMULTANEOUS INTESTINE?	CALCULATED				CHAR(1)		
WLKI	WAS CANDIDATE LISTED FOR SIMULTANEOUS KIDNEY?	CALCULATED				CHAR(1)		
WLKP	WAS CANDIDATE LISTED FOR SIMULTANEOUS KIDNEY-PANCREAS?	CALCULATED				CHAR(1)		
WLLI	WAS CANDIDATE LISTED FOR SIMULTANEOUS LIVER?	CALCULATED				CHAR(1)		
WLLU	WAS CANDIDATE LISTED FOR SIMULTANEOUS LUNG?	CALCULATED				CHAR(1)		
WLPA	WAS CANDIDATE LISTED FOR SIMULTANEOUS PANCREAS?	CALCULATED				CHAR(1)		
WLPI	WAS CANDIDATE LISTED FOR SIMULTANEOUS PANCREAS ISLET?	CALCULATED				CHAR(1)		
WLVC	WAS CANDIDATE LISTED FOR SIMULTANEOUS VCA?	CALCULATED				CHAR(1)		
WORK_INCOME_TCR	WORK FOR INCOME AT REGISTRATION?	TCR	2004-06-30 00:00:00		CANDIDATE INFORMATION	CHAR(1)		
WORK_INCOME_TRR	RECIPIENT WORK FOR INCOME AT TRANSPLANT?	TRR	2004-06-30 00:00:00		PATIENT STATUS	CHAR(1)		
YR_ENTRY_US_TCR	YEAR OF ENTRY TO THE U.S.	TCR	2004-06-30 00:00:00		CANDIDATE INFORMATION	NUM		
